Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,split
5.26174,0.299624,0.538318,23.4053,0.059999,0.571442,All
5.38108,0.289332,0.573476,23.9592,0.0575338,0.604003,All
5.50041,0.277472,0.607308,24.5131,0.0548505,0.635136,All
5.61974,0.264389,0.639649,25.067,0.052011,0.664737,All
5.73907,0.250412,0.670372,25.6209,0.0490715,0.692734,All
5.8584,0.235842,0.69939,26.1748,0.0460822,0.719088,All
5.97773,0.220953,0.726646,26.7287,0.0430869,0.743782,All
6.09706,0.205987,0.75212,27.2826,0.040123,0.766824,All
6.21639,0.191148,0.775813,27.8364,0.0372216,0.788241,All
6.33572,0.176612,0.797752,28.3903,0.034408,0.808074,All
6.45506,0.162519,0.817981,28.9442,0.031702,0.826377,All
6.57439,0.148982,0.836561,29.4981,0.0291188,0.843215,All
6.69372,0.136083,0.853563,30.052,0.0266688,0.858659,All
6.81305,0.123884,0.869067,30.6059,0.0243591,0.872784,All
6.93238,0.112422,0.883159,31.1598,0.0221932,0.88567,All
7.05171,0.101718,0.895928,31.7137,0.020172,0.897396,All
7.17104,0.0917758,0.907465,32.2676,0.0182943,0.908042,All
7.29037,0.0825877,0.917861,32.8214,0.0165569,0.917688,All
7.4097,0.0741357,0.927205,33.3753,0.0149554,0.926409,All
7.52904,0.0663937,0.935583,33.9292,0.0134843,0.934279,All
7.64837,0.0593299,0.943078,34.4831,0.0121371,0.941369,All
7.7677,0.0529082,0.949768,35.037,0.0109071,0.947746,All
7.88703,0.0470899,0.955729,35.5909,0.00978701,0.953472,All
8.00636,0.0418347,0.961029,36.1448,0.00876967,0.958607,All
8.12569,0.0371019,0.965734,36.6987,0.00784776,0.963205,All
8.24502,0.0328511,0.969903,37.2526,0.00701413,0.967317,All
8.36435,0.0290429,0.973592,37.8064,0.00626184,0.97099,All
8.48368,0.0256392,0.976851,38.3603,0.00558422,0.974267,All
8.60302,0.0226037,0.979726,38.9142,0.00497491,0.977189,All
8.72235,0.0199022,0.982259,39.4681,0.00442791,0.97979,All
8.84168,0.0175025,0.984488,40.022,0.00393759,0.982104,All
8.96101,0.0153748,0.986447,40.5759,0.00349868,0.984161,All
9.08034,0.0134914,0.988167,41.1298,0.00310632,0.985989,All
9.19967,0.0118269,0.989675,41.6837,0.00275599,0.98761,All
9.319,0.0103581,0.990997,42.2376,0.00244354,0.989049,All
9.43833,0.00906365,0.992154,42.7914,0.00216517,0.990323,All
9.55766,0.00792443,0.993166,43.3453,0.00191742,0.991453,All
9.677,0.00692304,0.994051,43.8992,0.0016971,0.992453,All
9.79633,0.0060438,0.994824,44.4531,0.00150136,0.993337,All
9.91566,0.00527263,0.995498,45.007,0.00132759,0.99412,All
10.035,0.00459694,0.996086,45.5609,0.00117343,0.994812,All
10.1543,0.00400545,0.996598,46.1148,0.00103677,0.995423,All
10.2737,0.00348814,0.997045,46.6687,0.000915705,0.995963,All
10.393,0.00303606,0.997433,47.2226,0.000808508,0.99644,All
10.5123,0.00264131,0.997772,47.7764,0.000713647,0.996861,All
10.6316,0.00229685,0.998066,48.3303,0.000629744,0.997232,All
10.751,0.00199649,0.998321,48.8842,0.000555569,0.99756,All
10.8703,0.00173473,0.998544,49.4381,0.000490023,0.99785,All
10.9896,0.00150677,0.998737,49.992,0.000432123,0.998105,All
11.109,0.00130833,0.998905,50.5459,0.000380997,0.998329,All
11.2283,0.00113568,0.99905,51.0998,0.000335868,0.998528,All
11.3476,0.000985547,0.999176,51.6537,0.000296043,0.998703,All
11.467,0.000855046,0.999286,52.2076,0.00026091,0.998857,All
11.5863,0.000741656,0.999381,52.7614,0.000229924,0.998992,All
11.7056,0.000643171,0.999464,53.3153,0.000202601,0.999112,All
11.825,0.00055766,0.999535,53.8692,0.000178512,0.999217,All
11.9443,0.000483439,0.999597,54.4231,0.00015728,0.99931,All
12.0636,0.000419035,0.999651,54.977,0.000138568,0.999392,All
12.1829,0.000363165,0.999698,55.5309,0.000122079,0.999464,All
12.3023,0.000314709,0.999738,56.0848,0.000107552,0.999528,All
12.4216,0.000272693,0.999773,56.6387,9.47532e-05,0.999584,All
12.5409,0.000236268,0.999803,57.1926,8.34789e-05,0.999633,All
12.6603,0.000204696,0.99983,57.7464,7.35481e-05,0.999676,All
12.7796,0.000177334,0.999852,58.3003,6.4801e-05,0.999715,All
12.8989,0.000153625,0.999872,58.8542,5.70969e-05,0.999748,All
13.0183,0.000133082,0.999889,59.4081,5.03116e-05,0.999778,All
13.1376,0.000115286,0.999904,59.962,4.43357e-05,0.999804,All
13.2569,9.98694e-05,0.999917,60.5159,3.90725e-05,0.999827,All
13.3763,8.65159e-05,0.999928,61.0698,3.4437e-05,0.999848,All
13.4956,7.49498e-05,0.999937,61.6237,3.03542e-05,0.999865,All
13.6149,6.49323e-05,0.999946,62.1776,2.67582e-05,0.999881,All
13.7343,5.62563e-05,0.999953,62.7314,2.35907e-05,0.999895,All
