iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q2_pop,V2_pop,Q3_pop,V3_pop,omega_Cl,omega_V1,omega_Q2,omega_V2,omega_Q3,omega_V3,a
45,972.293,1,3.84374,30.1953,6.78238,149.604,0.000598913,24.8824,0.506985,0.717982,1.37487,1.14837,1.63382,2.32006,1.08131
46,957.904,1,3.61582,40.0531,6.39193,175.563,0.000593454,35.4712,0.494148,0.699802,1.34006,1.11929,1.59245,2.26132,1.05393
47,971.363,1,3.5534,46.2498,4.57164,170.916,0.000549639,30.3129,0.481636,0.682083,1.38564,1.18138,1.58302,2.68141,1.02725
48,962.816,1,3.68612,44.8563,4.06502,175.75,0.000728424,14.7934,0.469441,0.664812,1.36926,1.15147,1.69854,2.62817,1.00124
49,938.773,1,3.65534,40.1614,4.97295,174.505,0.000460798,13.9223,0.457554,0.647978,1.33459,1.12231,1.65553,2.56163,0.975885
50,943.924,1,3.64882,39.5996,3.44485,158.129,0.000405283,27.2876,0.445969,0.631571,1.30079,1.0939,1.61361,2.64761,0.951175
51,945.19,1,3.66739,38.162,4.23794,164.628,0.000474502,27.2459,0.434677,0.618331,1.26786,1.11827,1.57275,2.58058,0.927091
52,925.415,1,3.71806,37.2056,3.88766,158.28,0.00064287,43.5875,0.42367,0.65431,1.23575,1.08995,1.53293,2.51523,0.903616
53,930.991,1,3.76282,43.4306,2.84408,210.898,0.000733821,53.4932,0.412943,0.653259,1.20446,1.06235,1.69447,2.76028,0.880736
54,926.232,1,3.81652,37.437,3.40289,270.816,0.000489071,49.6966,0.402487,0.636718,1.24897,1.03545,1.74337,2.76903,0.858435
55,918.184,1,3.90513,40.4486,3.26446,214.435,0.000561609,82.4654,0.392296,0.670124,1.21735,1.00923,1.69922,2.69891,0.836699
56,902.176,1,3.92366,44.1177,2.89686,206.038,0.000542084,60.0269,0.382362,0.653156,1.18652,0.98368,1.6562,2.63058,0.815514
57,906.226,1,4.30445,46.521,2.46399,190.649,0.000718163,50.6505,0.372681,0.636618,1.15648,0.978874,1.62944,2.56397,0.794864
58,904.303,1,4.02765,46.9839,2.175,215.366,0.000700131,48.2036,0.363244,0.620498,1.1272,0.954089,1.66228,3.04729,0.774738
59,906.086,1,3.79033,38.671,2.55821,196.366,0.000362299,36.7567,0.354047,0.604787,1.11095,0.961146,1.87696,3.16274,0.755121
60,903.455,1,3.87606,34.5338,2.41395,206.588,0.00030266,48.3954,0.345082,0.611365,1.08282,0.936809,1.95564,3.26085,0.736001
61,881.544,1,3.55824,32.4282,2.40182,273.553,0.000187032,19.7655,0.336344,0.595885,1.0554,0.913088,1.92193,3.17828,0.717365
62,869.475,1,3.4226,31.7131,2.92518,277.487,0.00031858,16.8066,0.327828,0.580797,1.02868,0.889968,1.87326,3.4824,0.699201
63,870.733,1,3.38658,35.8077,4.0768,277.429,0.000265392,13.479,0.319527,0.566091,1.00263,0.916985,1.82583,3.39422,0.681497
64,875.687,1,3.48066,33.7071,3.99339,258.639,0.000318998,14.9883,0.317798,0.551757,0.977247,0.893767,1.91199,3.49368,0.664241
65,877.796,1,3.84164,30.2621,3.94693,263.924,0.000265453,15.5234,0.309751,0.537786,0.952502,0.924037,2.05298,3.81102,0.647422
66,867.335,1,3.71274,29.1673,3.07732,250.732,0.00024225,16.2427,0.301908,0.524169,1.06356,0.90064,2.36085,3.94831,0.631029
67,873.63,1,3.8646,29.5588,3.02426,198.939,0.000248236,25.2771,0.294264,0.510897,1.03663,0.906613,2.71771,4.82867,0.615051
68,863.536,1,4.01246,30.0691,2.76343,195.787,0.000303511,36.7758,0.30143,0.497961,1.01039,0.883657,2.64889,5.03105,0.599477
69,854.787,1,3.90139,27.6406,2.63018,187.919,0.000198191,54.7631,0.293798,0.485352,0.984802,0.861282,3.01479,4.97303,0.584298
70,848.1,1,3.82841,28.4977,2.46636,188.256,0.000225704,29.1666,0.286358,0.473063,0.959866,0.839474,2.93845,5.58794,0.569504
71,841.677,1,3.90363,28.5219,2.74492,200.744,0.000135033,21.0883,0.279108,0.461084,0.935562,0.893303,3.02668,5.59353,0.555083
72,838.648,1,3.95355,29.3668,3.01886,185.329,0.00012065,5.61231,0.27204,0.449409,0.911873,0.870684,2.95005,5.47995,0.541028
73,834.623,1,3.95837,27.263,2.88541,216.994,0.000155729,7.86771,0.265152,0.43803,0.954628,0.848638,2.87535,5.77058,0.527329
74,822.546,1,4.01857,28.1915,3.04927,216.349,9.32741e-05,10.8112,0.258438,0.426939,0.930456,0.82715,2.80254,6.17706,0.513977
75,827.565,1,3.86137,26.8225,2.90686,202.66,3.85655e-05,11.4121,0.251895,0.416129,0.906897,0.842023,2.73158,6.22945,0.500963
76,817.816,1,4.00015,26.6877,2.85119,174.884,4.93462e-05,17.8959,0.245517,0.405592,0.883933,0.848588,2.73124,6.17234,0.488278
77,816.045,1,3.9775,27.5611,2.80603,170.418,5.43295e-05,16.655,0.2393,0.395322,0.861552,0.863488,2.93986,6.01606,0.475915
78,801.625,1,4.04763,27.2888,3.03225,155.754,7.0929e-05,26.3468,0.233241,0.385312,0.839737,0.841624,3.168,5.86373,0.463864
79,799.762,1,4.24779,27.3714,3.43616,145.871,4.34504e-05,13.8013,0.227335,0.375556,0.818474,0.820314,3.08778,5.71525,0.452119
80,796.92,1,4.198,27.2997,3.42332,111.476,6.28693e-05,9.45782,0.25039,0.366047,0.79775,0.799543,3.0096,5.75121,0.440671
81,788.739,1,4.23111,25.3168,3.24575,102.574,5.3863e-05,4.98143,0.24405,0.356778,0.77755,0.779298,3.12798,5.60559,0.429513
82,786.471,1,4.3311,24.6015,3.2336,100.818,7.10057e-05,2.59952,0.237871,0.347744,0.757862,0.887789,3.83567,5.46365,0.418637
83,782.003,1,4.3293,25.3122,3.3506,103.256,9.87964e-05,4.45724,0.231848,0.338939,0.822287,0.865309,3.73855,5.32531,0.408037
84,790.844,1,4.48147,25.9165,3.51417,91.3619,0.000104751,5.86389,0.227827,0.356229,0.801466,0.89916,3.74667,5.42578,0.397706
85,779.972,1,4.63888,27.1616,3.41227,79.3643,8.29663e-05,26.4057,0.222058,0.347209,0.781172,0.998131,3.65181,5.2884,0.387635
86,782.906,1,4.3264,26.0406,3.38923,82.0264,0.000107566,30.3308,0.238802,0.358967,0.761393,1.0711,3.57528,5.32289,0.37782
87,773.163,1,4.24228,26.2592,3.58797,89.0457,9.60114e-05,27.0835,0.240017,0.349878,0.742114,1.10881,3.48475,5.18812,0.368254
88,750.168,1,4.27887,25.758,3.07021,105.03,0.000145895,35.6672,0.23394,0.341019,0.723323,1.08074,3.39652,5.05675,0.358929
89,750.55,1,4.35387,24.1553,3.09826,93.2604,0.000141365,32.0152,0.228016,0.332384,0.705008,1.09009,3.31051,4.95618,0.349841
90,746.93,1,4.27919,24.8386,3.2437,91.2025,0.000283655,7.33326,0.234898,0.323968,0.689181,1.06249,3.22669,4.83069,0.340983
91,747.094,1,4.45361,24.8384,3.09146,68.2762,0.000391174,1.73849,0.238848,0.315765,0.802874,1.03559,3.14499,5.12008,0.332349
92,742.804,1,4.61136,24.2628,3.09991,50.1521,0.000449971,3.14715,0.236806,0.331127,0.782545,1.08201,3.06536,5.11851,0.323934
93,726.136,1,4.80413,24.0833,3.59385,45.6309,0.00057287,2.55592,0.23081,0.322743,0.762731,1.05461,2.98774,5.38325,0.315731
94,721.413,1,4.75334,24.4167,3.2371,41.5176,0.000542382,4.29957,0.224966,0.314571,0.743418,1.11823,2.91209,5.24694,0.307737
95,718.97,1,4.74816,24.3612,2.68957,34.9927,0.000963407,16.8191,0.220339,0.306606,0.724594,1.08992,2.83835,5.20226,0.299945
96,709.392,1,4.83367,24.5973,2.51127,41.3419,0.000800594,4.54545,0.21476,0.298842,0.706247,1.06232,2.85713,5.11479,0.29235
97,698.236,1,4.74155,24.7354,2.81629,41.4889,0.000531169,3.89404,0.231351,0.291275,0.688364,1.03542,2.89515,4.98528,0.284948
98,696.354,1,4.79842,23.6878,3.18997,36.9764,0.000321843,3.62254,0.225493,0.2839,0.670935,1.0092,2.82184,5.47103,0.277733
99,693.111,1,4.7425,24.5678,3.40139,38.6363,0.000243971,4.6664,0.238678,0.276712,0.653946,0.98365,2.77743,5.85825,0.2707
100,690.149,1,4.73991,24.5683,3.08083,48.0463,0.000367785,2.76461,0.248823,0.269705,0.637388,0.958744,2.92932,5.70992,0.263846
101,696.437,1,4.79961,24.5513,3.06236,38.1696,0.000475846,3.23683,0.258012,0.262876,0.621249,0.997294,2.94279,5.56534,0.257165
102,669.663,1,4.81627,25.129,3.51746,30.8027,0.0003568,1.94828,0.255311,0.25622,0.605518,0.972042,2.86827,5.42442,0.250654
103,673.349,1,5.03401,25.3528,3.51805,30.0942,0.000254197,1.08685,0.248846,0.249732,0.590186,1.00264,2.83661,5.28707,0.244307
104,681.672,1,4.97336,24.7084,3.66477,28.5017,0.000281021,0.799546,0.242545,0.267324,0.575243,0.97725,3.17019,5.19123,0.238121
105,667.528,1,4.90032,23.3017,3.71101,29.0827,0.000355737,1.35795,0.236404,0.260555,0.560677,0.952505,3.26029,5.79388,0.232092
106,667.194,1,4.90158,24.383,3.97848,33.1763,0.000769258,0.74185,0.23282,0.255886,0.54648,0.958653,3.17774,5.64717,0.226215
107,667.045,1,4.93387,24.1558,3.77787,33.6743,0.000871654,0.399586,0.251977,0.26172,0.553612,0.940289,3.1392,6.05354,0.220487
108,653.666,1,4.97742,24.3902,3.41481,30.139,0.00107544,0.198298,0.24734,0.260566,0.539594,0.916481,3.05971,6.25352,0.214904
109,645.525,1,5.01409,23.7424,3.60205,29.2327,0.000925302,0.179468,0.258659,0.253968,0.525932,0.893275,2.98224,6.69334,0.209463
110,643.554,1,4.86062,23.9551,3.71903,29.0525,0.0006604,0.623213,0.252735,0.247538,0.512615,0.870657,3.20569,6.52386,0.204159
111,630.638,1,4.85077,23.1993,3.98488,39.0582,0.00107563,0.227106,0.246336,0.24127,0.499635,0.848611,3.12452,6.36011,0.19899
112,636.947,1,4.82132,22.727,4.04908,38.8811,0.00102818,0.154205,0.264846,0.235161,0.486984,0.827124,3.22004,6.34441,0.193951
113,629.715,1,4.83642,22.5443,4.10883,39.3342,0.000448025,0.6628,0.25814,0.229206,0.474653,0.853161,3.21543,6.2092,0.18904
114,622.989,1,4.96894,22.8099,4.42745,35.5169,0.000524515,0.441719,0.251604,0.223403,0.462635,0.894662,3.19054,6.21967,0.184254
115,612.903,1,5.04422,23.2304,4.71116,32.9057,0.000944492,0.458028,0.245233,0.217746,0.450921,0.872009,3.19169,6.06218,0.179588
116,625.037,1,4.99024,22.4827,5.2531,34.937,0.00149733,0.4012,0.239023,0.212233,0.472341,0.953332,3.62788,5.90868,0.175041
117,608.684,1,5.00587,22.3204,5.00899,32.8492,0.00357593,0.089794,0.257007,0.206859,0.460381,0.929193,3.66129,5.75907,0.170609
118,605.29,1,4.95886,22.719,5.34922,33.9058,0.00247393,0.0649324,0.263542,0.201621,0.448724,0.905665,3.56858,6.25975,0.166289
119,593.001,1,4.94222,21.9933,5.21731,36.5736,0.0039087,0.186046,0.256869,0.196516,0.437362,0.882733,3.47822,6.10125,0.162078
120,589.775,1,4.91369,21.6591,5.19139,35.3933,0.00425731,0.226589,0.265547,0.19154,0.450117,0.860382,3.39015,5.94676,0.157974
121,591.251,1,4.92718,21.432,4.86526,35.616,0.00700041,0.159264,0.261457,0.195741,0.453102,0.838597,3.30431,5.94579,0.153974
122,584.914,1,4.99923,21.5802,5.16715,31.7044,0.00805344,0.0796957,0.267259,0.190784,0.447996,0.817363,3.8952,5.79524,0.150076
123,589.351,1,4.95098,21.4442,5.20139,28.8947,0.0181778,0.19063,0.260492,0.188803,0.436652,0.796667,4.11741,6.15467,0.146276
124,585.085,1,5.08441,21.6744,5.32517,29.059,0.0109489,0.154121,0.262864,0.188215,0.446865,0.776495,4.48146,5.99883,0.142572
125,575.671,1,5.01574,21.7399,5.20474,30.6368,0.0120854,0.0753989,0.256208,0.183449,0.442539,0.756834,4.36799,5.84694,0.138962
126,573.357,1,5.05714,21.923,4.85973,34.5978,0.0222176,0.032381,0.253699,0.194783,0.431334,0.73767,4.25739,5.69889,0.135443
127,571.577,1,5.00656,21.814,4.83552,31.5674,0.0171295,0.0334585,0.261497,0.189851,0.420412,0.755954,4.14959,5.5613,0.132014
128,569.438,1,5.00913,21.4517,4.54622,27.5469,0.00788788,0.0250754,0.254876,0.226667,0.429487,0.836993,4.58942,5.42049,0.128671
129,562.125,1,5.01421,21.7111,4.41079,28.009,0.0144977,0.033517,0.248422,0.226518,0.418612,0.8158,5.15844,5.28324,0.125413
130,563.084,1,5.01183,21.927,4.52095,29.778,0.0154004,0.0379573,0.242132,0.236832,0.408013,0.795143,5.10337,5.14946,0.122238
131,552.096,1,5.02615,21.5077,4.77223,30.0061,0.0180182,0.0468842,0.253115,0.230835,0.397682,0.77501,5.29703,5.01908,0.119142
132,550.215,1,5.01203,21.6543,5.11483,29.9331,0.00711137,0.043002,0.257113,0.238859,0.387612,0.755386,5.29163,4.89199,0.116126
133,545.271,1,4.99183,21.7459,5.04434,27.953,0.0143205,0.0431577,0.263421,0.233511,0.377798,0.736259,5.48824,4.76812,0.113185
134,554.331,1,5.04335,21.1463,5.10438,30.5705,0.00465453,0.128617,0.259784,0.258585,0.384941,0.724065,5.34927,5.04117,0.110319
135,554.645,1,5.03934,22.2132,5.35643,29.83,0.00150035,0.105874,0.269735,0.252037,0.398297,0.757194,5.22842,4.98754,0.107526
136,537.779,1,5.08312,22.2279,5.28974,30.4302,0.000349145,0.196338,0.262905,0.253435,0.388212,0.738022,5.45941,4.86125,0.104803
137,534.334,1,5.10458,22.5252,5.43811,28.0866,0.000231579,0.198575,0.260774,0.259965,0.384314,0.760003,5.32118,4.73816,0.10215
138,532.178,1,5.07933,21.9953,5.04258,29.4932,0.000144033,0.119531,0.263715,0.278264,0.421967,0.74076,5.18644,4.70407,0.0995632
139,532.426,1,5.07572,22.4607,5.02764,27.9637,9.18781e-05,0.0676668,0.264016,0.294918,0.46133,0.722003,5.05512,4.72596,0.0970422
140,528.339,1,5.09375,22.1052,5.10082,27.0355,2.93191e-05,0.0497227,0.258538,0.28745,0.449648,0.703722,4.92712,4.88594,0.0945851
141,535.193,1,5.08788,21.9022,5.03564,28.9591,2.42546e-05,0.0258816,0.254416,0.293106,0.462326,0.685903,5.60557,5.87702,0.0921901
142,536.577,1,5.04068,22.1636,5.27565,30.3352,2.41779e-05,0.0106406,0.268703,0.285684,0.450619,0.668536,6.36014,6.7051,0.0898558
143,535.466,1,5.02717,21.4838,5.34795,30.2283,2.02652e-05,0.00195429,0.271634,0.278451,0.439209,0.668456,6.19909,6.86413,0.0875806
144,530.557,1,5.05343,21.3337,5.04814,28.4496,1.44227e-05,0.00247918,0.264756,0.2714,0.479665,0.725783,6.66436,6.88111,0.085363
145,534.441,1,5.00458,21.7867,4.9368,29.3394,1.03534e-05,0.00353199,0.268561,0.264528,0.495114,0.72059,7.27131,8.02141,0.0832016
146,534.298,1,5.01649,21.4826,5.07035,30.6497,3.94526e-06,0.00246792,0.272688,0.25783,0.495988,0.702344,7.76449,8.14374,0.0810949
147,540.229,1,4.99978,21.7404,5.09471,32.3779,4.51896e-06,0.00521459,0.265784,0.25907,0.48647,0.711294,7.56789,7.93754,0.0790415
148,525.269,1,4.94788,21.7374,5.01459,29.3452,4.24184e-06,0.00433759,0.266634,0.253825,0.4759,0.700671,7.37626,7.73655,0.0770401
149,524.837,1,4.9769,21.5944,4.93055,30.3937,2.86993e-06,0.0020289,0.272805,0.260299,0.520369,0.682929,7.18949,8.00496,0.0750894
150,528.343,1,4.98574,21.8316,4.91544,31.7493,1.60981e-06,0.00240813,0.274041,0.265908,0.570972,0.665637,7.00745,8.77453,0.0731881
151,522.669,1,4.96348,21.5104,5.13458,32.7262,2.12795e-06,0.00324877,0.291304,0.259175,0.586561,0.648783,7.20031,8.55235,0.071335
152,527.107,1,4.94887,21.5933,4.85406,34.589,6.12557e-07,0.00233775,0.283928,0.266719,0.642046,0.632355,8.75179,8.56665,0.0695287
153,514.37,1,4.96087,21.196,5.09545,34.3665,1.54086e-06,0.00302931,0.276739,0.265516,0.626937,0.616344,8.53019,8.50627,0.0677682
154,520.349,1,4.94326,21.4146,5.15967,33.8647,2.08097e-06,0.00832347,0.277011,0.26187,0.634193,0.62634,9.05378,8.29089,0.0660523
155,523.41,1,4.91674,21.1398,5.20468,37.6939,3.73672e-07,0.00576771,0.269997,0.262643,0.622319,0.635884,9.38355,8.81907,0.0643798
156,529.042,1,4.97096,21.3783,5.26686,37.4072,4.52782e-07,0.0116368,0.275582,0.275335,0.606562,0.62394,9.14595,8.95998,0.0658685
157,517.031,1,5.00687,21.7284,5.17711,37.3794,3.8371e-07,0.00861934,0.27933,0.269686,0.621332,0.608141,8.91437,8.76239,0.0642007
158,517.402,1,5.00553,21.8096,5.02443,34.7384,1.55587e-07,0.00868781,0.272257,0.270539,0.6056,0.619483,9.28089,8.54052,0.0640527
159,513.142,1,5.01659,21.4525,4.98135,31.2024,9.2451e-07,0.00220279,0.265363,0.285414,0.590266,0.603797,9.04589,8.32427,0.0638069
160,512.075,1,5.00881,21.6506,5.20936,32.1146,8.19585e-07,0.00158888,0.264311,0.278187,0.57532,0.62077,8.81685,8.11349,0.0641639
161,512.666,1,5.0339,21.6139,5.15933,31.403,1.75124e-07,0.00885621,0.268617,0.271144,0.560752,0.605051,8.5936,8.69703,0.0639074
162,516.822,1,5.04018,21.9071,4.99603,29.1935,5.18503e-07,0.00348299,0.281918,0.264278,0.598791,0.594311,8.376,8.79413,0.0636602
163,507.858,1,5.03087,21.768,5.04669,33.0092,2.92525e-07,0.00277306,0.27586,0.257586,0.599203,0.579262,8.41797,8.74203,0.0620483
164,499.052,1,5.05082,21.5905,4.95872,30.0282,7.80665e-07,0.00300385,0.271534,0.255735,0.644674,0.564595,8.20482,8.52068,0.0621788
165,493.965,1,5.04651,21.5511,5.01933,28.2829,5.86333e-07,0.0213969,0.265942,0.278854,0.628351,0.550299,7.99707,8.30493,0.0606044
166,498.159,1,5.03658,21.6682,5.12371,31.1439,5.40386e-07,0.0253457,0.268604,0.271793,0.612441,0.573631,7.79458,8.49556,0.0596477
167,494.337,1,5.06648,21.3578,5.17326,30.1858,3.13287e-07,0.00942331,0.272937,0.264911,0.609323,0.559107,7.87682,8.28045,0.0592251
168,498.791,1,5.08303,21.3708,5.25824,31.652,4.16529e-07,0.01461,0.266687,0.272445,0.595085,0.54495,7.67738,8.07078,0.061443
169,504.043,1,5.03821,21.1964,5.16723,33.002,9.10716e-07,0.00185469,0.279019,0.291115,0.600625,0.531151,7.99564,8.29044,0.0606411
170,494.069,1,5.06546,21.6311,5.29944,32.7526,2.31595e-07,0.00175924,0.271955,0.283744,0.616274,0.517702,7.79318,8.08052,0.0599783
171,493.122,1,5.07726,21.5105,5.14979,32.9644,1.62693e-07,0.00663118,0.271017,0.276559,0.640451,0.504594,7.59586,8.64883,0.0587597
172,492.041,1,5.05329,21.1423,4.94589,31.8198,1.63064e-07,0.0198209,0.269136,0.269557,0.651487,0.491817,8.06629,9.09614,0.0584399
173,499.528,1,5.02017,20.816,4.82215,28.4206,3.18164e-06,0.0117141,0.277925,0.264806,0.634991,0.479364,7.86205,8.86582,0.0617939
174,507.777,1,5.05249,21.4595,5.00963,27.6988,5.29473e-06,0.0203283,0.274141,0.258101,0.65027,0.467226,7.87613,8.85955,0.0638267
175,499.863,1,5.08805,21.2239,5.15764,28.0116,6.15785e-06,0.00509122,0.273302,0.251566,0.633805,0.455396,8.16003,9.06819,0.0622105
176,517.537,1,5.11062,21.4332,5.14541,26.6389,6.9587e-06,0.00495709,0.274859,0.261723,0.617756,0.470517,8.31311,10.2509,0.0647204
177,507.742,1,5.10769,20.9756,5.39676,25.6496,5.18493e-06,0.00452727,0.272088,0.274432,0.637596,0.466319,8.10261,10.1358,0.0630816
178,508.288,1,5.08686,21.0288,5.33829,25.4826,7.74326e-06,0.000663617,0.270662,0.267484,0.686796,0.497537,7.89745,9.87918,0.0619905
179,508.097,1,5.05308,21.2539,5.53332,25.3882,1.00667e-05,0.000285034,0.27118,0.260711,0.669406,0.484939,7.69748,9.62904,0.0637494
180,514.586,1,5.06496,20.8293,5.73066,26.1332,1.53962e-05,0.000558969,0.269873,0.259338,0.739881,0.47266,7.50258,9.38522,0.0650562
181,511.465,1,5.10223,20.8302,6.04996,26.2037,7.72035e-06,0.000775822,0.26562,0.258787,0.724983,0.478293,7.31261,9.18469,0.0638529
182,501.041,1,5.11372,20.6337,5.93465,24.7123,9.69342e-07,0.000948521,0.258895,0.262212,0.706626,0.466182,7.17504,8.95213,0.0623451
183,496.625,1,5.12105,20.2084,6.158,24.2956,1.77574e-06,0.000169366,0.254884,0.255573,0.688734,0.454378,6.99336,8.72546,0.0618398
184,494.887,1,5.15265,20.4779,6.10811,24.4088,1.7692e-06,9.19288e-05,0.261721,0.249102,0.671295,0.442873,6.99625,8.50452,0.0630318
