iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCRMLMIN,V1_pop,Q_pop,V2_pop,bias_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V2_V1,a1,a2
32,889.437,1,5.34435,-0.0479705,27.3643,3.20534,33.3228,0.268,0.677341,0.677341,1.3073,0.677341,0.999,0.677341,0.677341
33,870.977,1,5.47795,-0.0486772,28.1949,3.50554,34.238,0.268,0.66019,0.66019,1.3002,0.66019,0.999,0.66019,0.66019
34,858.836,1,5.30147,-0.04774,27.3751,3.89354,33.373,0.268,0.643474,0.643474,1.26728,0.643474,0.999,0.643474,0.643474
35,846.47,1,5.21537,-0.0472713,26.7853,4.06128,32.7686,0.268,0.627181,0.627181,1.23519,0.627181,0.999,0.627181,0.627181
36,843.838,1,5.24899,0.453221,28.1126,3.26042,34.2479,0.268,0.6113,0.6113,1.20391,0.6113,0.999,0.6113,0.6113
37,819.857,1,5.4405,0.673921,25.9814,3.86795,31.5916,0.268,0.595821,0.595821,1.17343,0.595821,0.999,0.595821,0.595821
38,808.209,1,5.1977,0.69192,29.4328,4.45194,35.7371,0.268,0.580735,0.580735,1.14372,0.580735,0.999,0.580735,0.580735
39,801.222,1,5.16771,0.477923,26.648,4.55151,32.1886,0.268,0.56603,0.56603,1.20776,0.56603,0.999,0.56603,0.56603
40,801.235,1,5.26662,0.577304,26.4889,4.82818,32.1959,0.268,0.551698,0.551698,1.17718,0.551698,0.999,0.551698,0.551698
41,788.195,1,5.35272,0.627195,28.2645,4.22747,34.2542,0.268,0.537729,0.537729,1.14737,0.537729,0.999,0.537729,0.537729
42,775.737,1,5.61891,0.674824,29.8948,4.99904,36.2132,0.268,0.524113,0.524113,1.11832,0.524113,0.999,0.524113,0.524113
43,766.968,1,5.50083,0.549525,29.5846,5.84166,35.7385,0.268,0.510842,0.510842,1.09,0.510842,0.999,0.510842,0.510842
44,749.882,1,5.57638,0.475909,26.1236,6.51009,31.4871,0.268,0.497908,0.497908,1.06241,0.497908,0.999,0.497908,0.497908
45,728.636,1,5.42754,0.679472,25.2713,5.49785,30.5839,0.268,0.4853,0.4853,1.0355,0.4853,0.999,0.4853,0.4853
46,720.349,1,5.40549,0.619796,24.0454,6.12158,29.0974,0.268,0.473012,0.473012,1.00928,0.473012,0.999,0.473012,0.473012
47,706.654,1,5.51921,0.559939,23.5771,7.28797,28.5143,0.268,0.461035,0.461035,0.983729,0.461035,0.999,0.461035,0.461035
48,686.434,1,5.4287,0.531131,23.2564,7.0882,28.2231,0.268,0.449362,0.449362,0.958821,0.449362,0.999,0.449362,0.449362
49,687.145,1,5.45117,0.572651,22.289,7.47821,27.0314,0.268,0.437984,0.437984,0.977866,0.437984,0.999,0.437984,0.437984
50,682.734,1,5.47078,0.580347,23.374,6.49611,28.4876,0.268,0.426894,0.426894,0.953106,0.426894,0.999,0.426894,0.426894
51,667.816,1,5.34469,0.482551,22.6178,6.17519,27.531,0.268,0.416084,0.416084,0.942892,0.416084,0.999,0.416084,0.416084
52,651.457,1,5.30585,0.566279,23.2137,5.85279,28.258,0.268,0.405549,0.405549,0.919017,0.405549,0.999,0.405549,0.405549
53,650.116,1,5.32646,0.501435,22.9894,6.0453,27.9527,0.268,0.39528,0.39528,0.907697,0.39528,0.999,0.39528,0.39528
54,636.174,1,5.29523,0.530096,22.9732,5.3792,27.9906,0.268,0.385271,0.385271,0.884713,0.385271,0.999,0.385271,0.385271
55,628.295,1,5.45353,0.459795,23.7824,5.30852,28.9495,0.268,0.375516,0.375516,0.862312,0.375516,0.999,0.375516,0.375516
56,617.646,1,5.4744,0.461188,24.5352,5.96892,29.7406,0.268,0.366008,0.366008,0.840478,0.366008,0.999,0.366008,0.366008
57,605.514,1,5.44302,0.475305,24.0552,6.11323,29.1287,0.268,0.35674,0.35674,0.862254,0.35674,0.999,0.35674,0.35674
58,597.559,1,5.45823,0.553485,24.0992,5.89432,29.2489,0.268,0.347707,0.347707,0.858445,0.347707,0.999,0.347707,0.347707
59,586.744,1,5.40998,0.513726,23.2202,6.76999,28.0922,0.268,0.338903,0.338903,0.843289,0.338903,0.999,0.338903,0.338903
60,583.185,1,5.50763,0.454337,23.849,6.44888,28.9129,0.268,0.330322,0.330322,0.821937,0.330322,0.999,0.330322,0.330322
61,571.253,1,5.47801,0.546251,24.4071,6.99777,29.6548,0.268,0.321958,0.321958,0.801125,0.321958,0.999,0.321958,0.321958
62,558.192,1,5.51952,0.541992,24.2557,6.66968,29.4987,0.268,0.313806,0.313806,0.78084,0.313806,0.999,0.313806,0.313806
63,550.672,1,5.37397,0.491902,25.3561,5.77365,30.8538,0.268,0.30586,0.30586,0.761068,0.30586,0.999,0.30586,0.30586
64,542.466,1,5.51705,0.509717,26.2575,5.78271,31.8754,0.268,0.298116,0.298116,0.780289,0.298116,0.999,0.298116,0.298116
65,530.199,1,5.52802,0.410521,25.2667,5.44054,30.6559,0.268,0.290567,0.290567,0.760532,0.290567,0.999,0.290567,0.290567
66,521.991,1,5.57066,0.478035,24.6262,5.70295,29.8617,0.268,0.28321,0.28321,0.759332,0.28321,0.999,0.28321,0.28321
67,514.857,1,5.50639,0.401682,24.8237,5.77024,30.082,0.268,0.276039,0.276039,0.774988,0.276039,0.999,0.276039,0.276039
68,512.3,1,5.51476,0.403156,25.0752,5.54026,30.3494,0.268,0.269049,0.269049,0.755365,0.269049,0.999,0.269049,0.269049
69,508.504,1,5.59482,0.447739,24.8981,5.94195,30.2098,0.268,0.262237,0.262237,0.736239,0.262237,0.999,0.262237,0.262237
70,504.252,1,5.50539,0.549131,24.871,5.38336,30.1864,0.268,0.255597,0.255597,0.717597,0.255597,0.999,0.255597,0.255597
71,495.139,1,5.5214,0.481788,24.3299,5.21911,29.5151,0.268,0.249125,0.249125,0.705084,0.249125,0.999,0.249125,0.249125
72,483.973,1,5.50256,0.499115,23.8966,5.35129,28.9549,0.268,0.242817,0.242817,0.724853,0.242817,0.999,0.242817,0.242817
73,469.788,1,5.46452,0.41686,24.1075,5.80142,29.2698,0.268,0.236669,0.236669,0.754013,0.236669,0.999,0.236669,0.236669
74,470.1,1,5.43213,0.462374,24.2372,5.27554,29.4454,0.268,0.230676,0.231619,0.778292,0.230784,0.999,0.230676,0.230676
75,467.394,1,5.46575,0.424714,23.2444,5.68553,28.2739,0.268,0.224835,0.225754,0.758585,0.224941,0.999,0.224835,0.224835
76,464.03,1,5.49391,0.425951,23.5304,5.41157,28.5736,0.268,0.219142,0.229814,0.739378,0.228499,0.999,0.219142,0.219142
77,456.545,1,5.5208,0.48971,23.7064,4.89332,28.8464,0.268,0.213594,0.223995,0.720656,0.222714,0.999,0.213594,0.213594
78,454.776,1,5.44879,0.46102,23.5817,4.99851,28.6923,0.268,0.208185,0.218323,0.762726,0.217075,0.999,0.208185,0.208185
79,445.398,1,5.34456,0.479675,23.5948,4.83163,28.6417,0.268,0.202914,0.212795,0.743414,0.211578,0.999,0.202914,0.202914
80,443.036,1,5.39905,0.444634,23.8686,5.3513,28.9942,0.268,0.199685,0.207407,0.72459,0.206221,0.999,0.206868,0.197776
81,449.06,1,5.37024,0.422376,24.0654,5.01621,29.1794,0.268,0.199285,0.202155,0.706243,0.200999,0.999,0.202063,0.192768
82,434.209,1,5.39978,0.476892,24.1085,4.7239,29.2069,0.268,0.194239,0.197037,0.688361,0.19591,0.999,0.197537,0.187887
83,426.023,1,5.47149,0.543884,23.8489,5.66247,28.8457,0.268,0.194569,0.195222,0.670931,0.192472,0.999,0.203072,0.18313
84,421.685,1,5.46292,0.543385,23.8217,5.48494,28.8529,0.268,0.19153,0.204311,0.653943,0.199282,0.999,0.203469,0.178493
85,427.584,1,5.46187,0.473495,23.6567,5.35104,28.6227,0.268,0.18668,0.207307,0.637384,0.202761,0.999,0.201985,0.173973
86,435.963,1,5.39233,0.484905,23.897,4.97566,28.9493,0.268,0.184537,0.202058,0.716819,0.197627,0.999,0.200813,0.174368
87,423.68,1,5.40563,0.522571,23.6267,5.21976,28.6129,0.268,0.187403,0.196942,0.698669,0.192622,0.999,0.208997,0.169953
88,421.615,1,5.3632,0.545264,23.6998,4.82982,28.7294,0.268,0.184213,0.191955,0.680978,0.188164,0.999,0.220044,0.16565
89,423.504,1,5.41387,0.551385,23.4492,5.23631,28.4059,0.268,0.191204,0.18851,0.663736,0.18368,0.999,0.217742,0.161455
90,413.417,1,5.36231,0.549847,23.7526,4.74396,28.7521,0.268,0.186639,0.184194,0.646929,0.179886,0.999,0.222083,0.157367
91,408.106,1,5.39859,0.56183,23.8955,4.70538,28.8834,0.268,0.181913,0.17953,0.630549,0.175331,0.999,0.230403,0.153382
92,399.156,1,5.41242,0.544771,23.8802,4.50875,28.8545,0.268,0.192747,0.174985,0.614583,0.170892,0.999,0.230364,0.149499
93,401.132,1,5.36099,0.544573,23.7828,4.46304,28.7789,0.268,0.192344,0.174163,0.599021,0.16841,0.999,0.238971,0.145713
94,414.989,1,5.4106,0.574003,23.8143,4.60138,28.7965,0.268,0.187474,0.174561,0.598726,0.167367,0.999,0.244422,0.142024
95,408.692,1,5.38965,0.605804,23.3056,4.46551,28.2065,0.268,0.191246,0.172352,0.619618,0.165264,0.999,0.252241,0.138428
96,400.32,1,5.37813,0.60341,23.2846,4.46501,28.2077,0.268,0.191323,0.16878,0.603929,0.163006,0.999,0.255548,0.134923
97,390.106,1,5.45063,0.616026,23.4703,4.81785,28.4539,0.268,0.186478,0.171586,0.588637,0.166494,0.999,0.26189,0.131506
98,399.573,1,5.40568,0.627917,23.2233,4.44833,28.1756,0.268,0.194369,0.167241,0.573733,0.162278,0.999,0.265242,0.128176
99,393.509,1,5.31471,0.629745,23.0649,4.44453,27.9652,0.268,0.197988,0.163007,0.596967,0.158169,0.999,0.269552,0.124931
100,391.917,1,5.35017,0.633881,23.0965,4.19765,28.0244,0.268,0.192975,0.158879,0.581852,0.154165,0.999,0.269798,0.121768
101,385.193,1,5.36743,0.662412,22.9613,4.2967,27.9217,0.268,0.197891,0.154856,0.584333,0.150261,0.999,0.273098,0.118684
102,383.988,1,5.3681,0.617752,22.965,4.52439,27.9347,0.268,0.19288,0.150935,0.602668,0.146456,0.999,0.266816,0.115679
103,381.133,1,5.37544,0.627699,22.5095,4.71769,27.3652,0.268,0.188932,0.147113,0.702399,0.142748,0.999,0.270272,0.11275
104,369.951,1,5.33629,0.634189,22.5092,4.94573,27.3927,0.268,0.190004,0.143987,0.684613,0.141336,0.999,0.269307,0.109895
105,369.15,1,5.35093,0.624698,22.1079,5.24542,26.9298,0.268,0.186403,0.141501,0.667279,0.138695,0.999,0.272261,0.107113
106,378.884,1,5.38993,0.647624,22.3105,5.5088,27.1905,0.268,0.197974,0.143321,0.650383,0.13883,0.999,0.281393,0.104401
107,372.625,1,5.40857,0.620398,22.1316,5.4615,26.9725,0.268,0.198549,0.1446,0.700108,0.139862,0.999,0.276637,0.101757
108,379.685,1,5.4094,0.606747,22.114,5.63461,26.9385,0.268,0.201879,0.140939,0.682381,0.136321,0.999,0.282131,0.0991805
109,370.809,1,5.40147,0.63077,22.1002,5.63803,26.9273,0.268,0.196767,0.144019,0.691887,0.138629,0.999,0.280276,0.0966692
110,367.113,1,5.36211,0.636618,22.0787,5.20655,26.9169,0.268,0.203144,0.147883,0.706013,0.142732,0.999,0.278849,0.0949213
111,359.618,1,5.39193,0.641885,21.9948,5.37365,26.8276,0.268,0.205218,0.146689,0.699177,0.141378,0.999,0.280749,0.0925178
112,359.013,1,5.38579,0.653073,21.8777,5.18019,26.7256,0.268,0.206265,0.14303,0.681473,0.137798,0.999,0.283345,0.0905218
113,360.725,1,5.3801,0.67813,21.8872,5.48104,26.7329,0.268,0.211386,0.147967,0.715122,0.142822,0.999,0.281862,0.0891739
114,368.898,1,5.35793,0.670817,21.8713,5.27783,26.7163,0.268,0.206033,0.150027,0.713083,0.145047,0.999,0.289353,0.0869159
115,358.069,1,5.36592,0.675461,22.0237,5.12111,26.8831,0.268,0.211208,0.146548,0.741684,0.142582,0.999,0.292186,0.0865677
116,358.792,1,5.37774,0.635413,21.9808,5.40959,26.8162,0.268,0.208425,0.142837,0.764194,0.138972,0.999,0.292543,0.0861345
117,356.821,1,5.37344,0.632737,22.1201,5.28946,26.9524,0.268,0.203148,0.143297,0.807127,0.139493,0.999,0.286239,0.0853186
118,357.946,1,5.35389,0.620571,22.1631,5.32456,26.9797,0.268,0.20928,0.144736,0.78669,0.141325,0.999,0.28622,0.0835155
119,351.496,1,5.33119,0.665061,22.2065,4.84633,27.0285,0.268,0.209036,0.151001,0.766771,0.148895,0.999,0.294523,0.0820564
120,359.134,1,5.32418,0.662115,22.2423,5.06869,27.0672,0.268,0.203743,0.156192,0.747356,0.154051,0.999,0.293746,0.083841
121,359.07,1,5.34864,0.676557,22.2507,4.8766,27.0875,0.268,0.20444,0.154334,0.728432,0.151972,0.999,0.299016,0.0817181
122,354.194,1,5.34463,0.66395,22.1848,4.92755,26.971,0.268,0.204014,0.155953,0.709988,0.153724,0.999,0.296075,0.0808535
123,349.389,1,5.37596,0.681647,22.319,5.33269,27.1516,0.268,0.210975,0.162138,0.716442,0.159481,0.999,0.297574,0.0788062
124,347.343,1,5.36817,0.649965,22.2938,5.35859,27.1195,0.268,0.214273,0.165402,0.698301,0.161966,0.999,0.296353,0.0771037
125,342.897,1,5.35162,0.670222,22.1947,5.25198,27.0022,0.268,0.214518,0.166365,0.710018,0.1634,0.999,0.298324,0.0753459
126,345.117,1,5.33767,0.624054,22.0255,5.17921,26.8061,0.268,0.211362,0.166922,0.692856,0.164808,0.999,0.293437,0.0763934
127,353.408,1,5.35282,0.620166,21.7072,5.17615,26.3926,0.268,0.216757,0.173741,0.675313,0.171054,0.999,0.298341,0.0754532
128,344.78,1,5.33276,0.624843,21.6991,5.19439,26.3896,0.268,0.211269,0.169341,0.65919,0.166723,0.999,0.296656,0.0741539
129,346.809,1,5.33461,0.639752,21.81,5.07209,26.5049,0.268,0.214219,0.172181,0.681251,0.167048,0.999,0.296738,0.0737703
130,346.216,1,5.3612,0.644357,21.6608,5.30972,26.2764,0.268,0.213371,0.168265,0.704452,0.162818,0.999,0.295458,0.0743346
131,342.737,1,5.37666,0.651778,21.6147,5.49619,26.2626,0.268,0.207969,0.168016,0.70402,0.161766,0.999,0.29473,0.0749021
132,346.126,1,5.36729,0.654233,21.479,5.63715,26.0988,0.268,0.217991,0.168515,0.746887,0.161836,0.999,0.301001,0.0730055
133,342.668,1,5.3454,0.638736,21.5178,5.59669,26.1826,0.268,0.213269,0.16843,0.763789,0.16202,0.999,0.298583,0.0723654
134,346.149,1,5.32605,0.639006,21.5952,5.21279,26.2667,0.268,0.20872,0.16583,0.768676,0.160496,0.999,0.29319,0.0747839
135,347.859,1,5.35665,0.662458,21.563,5.11758,26.2415,0.268,0.214896,0.165011,0.771479,0.161177,0.999,0.300501,0.0744126
136,343.734,1,5.34263,0.656246,21.492,5.5754,26.1728,0.268,0.215231,0.161403,0.781281,0.158288,0.999,0.301623,0.0725284
137,344.228,1,5.34333,0.626519,21.3394,5.6196,25.9807,0.268,0.210048,0.163399,0.768713,0.159182,0.999,0.299239,0.0718737
138,351.182,1,5.35383,0.635288,21.3739,5.56817,26.0115,0.268,0.211122,0.165105,0.749249,0.159995,0.999,0.29272,0.0751097
139,344.124,1,5.33599,0.629893,21.4531,5.6585,26.1104,0.268,0.216076,0.163334,0.759801,0.1584,0.999,0.295716,0.0733831
140,344.428,1,5.34382,0.622721,21.3615,5.53849,25.9798,0.268,0.210605,0.167145,0.759729,0.162293,0.999,0.292073,0.075546
141,335.76,1,5.3237,0.603725,21.3523,5.41207,25.971,0.268,0.208344,0.169166,0.740493,0.163776,0.999,0.292794,0.0736332
142,341.632,1,5.33023,0.620383,21.3963,5.33518,26.0384,0.268,0.204087,0.169932,0.732087,0.165051,0.999,0.287564,0.0736433
143,337.754,1,5.34394,0.631023,21.3985,5.11371,26.0277,0.268,0.206342,0.175314,0.71355,0.170555,0.999,0.294368,0.0724645
144,344.434,1,5.35345,0.649138,21.2684,5.42197,25.8871,0.268,0.205135,0.183115,0.695483,0.179503,0.999,0.29229,0.0735438
145,339.243,1,5.34145,0.637674,21.3113,5.40864,25.8723,0.268,0.209974,0.182677,0.681426,0.179862,0.999,0.294456,0.0718865
146,348.608,1,5.32035,0.633605,21.167,5.53194,25.7285,0.268,0.209061,0.184357,0.748858,0.182177,0.999,0.295288,0.0731018
147,344.716,1,5.36541,0.626492,21.2634,5.59828,25.8141,0.268,0.212206,0.184576,0.73478,0.182998,0.999,0.295379,0.0720058
148,344.964,1,5.3492,0.619499,21.341,5.49331,25.9015,0.268,0.207837,0.186537,0.716175,0.184023,0.999,0.291095,0.0749179
149,347.036,1,5.38784,0.663826,21.3626,5.84335,25.9373,0.268,0.211202,0.190415,0.698041,0.187228,0.999,0.290775,0.0739061
150,339.463,1,5.36988,0.645245,21.4276,5.51234,26.0043,0.268,0.214473,0.188703,0.680366,0.184601,0.999,0.29603,0.0720347
151,345.046,1,5.35998,0.629067,21.1257,5.62273,25.6313,0.268,0.214824,0.184002,0.701195,0.179926,0.999,0.300749,0.0708166
152,336.137,1,5.35742,0.6332,21.1982,5.54896,25.7383,0.268,0.209548,0.186626,0.68344,0.18292,0.999,0.296789,0.0701026
153,332.489,1,5.34542,0.623326,21.1763,5.50486,25.7067,0.268,0.213554,0.181901,0.713869,0.179259,0.999,0.298057,0.0683276
154,341.004,1,5.37423,0.644305,21.1424,5.43122,25.6872,0.268,0.209101,0.17972,0.695794,0.178567,0.999,0.292761,0.0729274
155,345.76,1,5.39853,0.633293,21.1512,5.92234,25.663,0.268,0.216154,0.182039,0.722316,0.180525,0.999,0.29892,0.0716347
156,341.662,1,5.37586,0.623887,21.0974,6.02093,25.6317,0.268,0.210681,0.181949,0.728077,0.179051,0.999,0.295995,0.0713175
157,339.411,1,5.3622,0.646408,20.7511,5.98935,25.2113,0.268,0.214598,0.182676,0.730068,0.180207,0.999,0.299132,0.0695117
158,345.982,1,5.3575,0.654426,20.8019,6.22021,25.2518,0.268,0.21761,0.185083,0.759169,0.181615,0.999,0.301695,0.0700167
159,344.493,1,5.36459,0.629879,20.7929,5.98978,25.2612,0.268,0.2121,0.184468,0.740982,0.178712,0.999,0.299219,0.0719274
160,346.512,1,5.38117,0.622311,20.8464,5.93319,25.2954,0.268,0.207303,0.179797,0.751077,0.174564,0.999,0.295897,0.0722577
161,341.873,1,5.35951,0.620982,20.7913,5.9763,25.2657,0.268,0.212673,0.181979,0.794445,0.175289,0.999,0.296458,0.0728248
162,347.646,1,5.33475,0.62349,20.6206,5.81265,25.0363,0.268,0.216301,0.192975,0.774329,0.18574,0.999,0.298345,0.0709808
163,346.308,1,5.34078,0.624823,20.6705,5.54613,25.1174,0.268,0.211363,0.198406,0.754722,0.191328,0.999,0.298697,0.0709271
164,350.768,1,5.34969,0.626975,20.8966,5.46418,25.4109,0.268,0.206012,0.201417,0.777751,0.193802,0.999,0.293868,0.0729744
165,340.47,1,5.36212,0.631795,20.8349,5.6755,25.3505,0.268,0.206141,0.200893,0.78978,0.194101,0.999,0.297671,0.0711266
166,342.124,1,5.35418,0.606545,20.9212,5.61176,25.4417,0.268,0.207186,0.198999,0.780489,0.190343,0.999,0.296324,0.0699954
167,338.541,1,5.33029,0.626957,21.0179,5.65718,25.5229,0.268,0.205636,0.199566,0.80691,0.191564,0.999,0.297867,0.0683745
168,342.21,1,5.30585,0.638371,21.0291,5.59112,25.4973,0.268,0.210488,0.20173,0.8077,0.195007,0.999,0.292816,0.0708396
169,355.522,1,5.35567,0.635888,21.0326,5.61149,25.4815,0.268,0.212284,0.201269,0.787249,0.193357,0.999,0.294442,0.0726149
170,350.967,1,5.3356,0.655812,21.0014,5.41694,25.4776,0.268,0.210453,0.201599,0.777794,0.19326,0.999,0.296587,0.0713753
171,347.145,1,5.32793,0.633689,20.9155,5.85545,25.3768,0.268,0.209915,0.196495,0.796618,0.189211,0.999,0.295411,0.0696961
172,337.151,1,5.36149,0.642158,20.8767,5.75504,25.333,0.268,0.213893,0.194202,0.807209,0.188188,0.999,0.30461,0.0679313
173,337.377,1,5.37218,0.633134,20.8486,5.79083,25.3238,0.268,0.209726,0.191081,0.841744,0.1856,0.999,0.296897,0.0716377
174,347.352,1,5.3529,0.644741,20.9926,5.41245,25.499,0.268,0.212367,0.188125,0.820431,0.182465,0.999,0.296629,0.0713179
175,340.651,1,5.32583,0.657254,21.035,5.62454,25.5088,0.268,0.214099,0.187006,0.799657,0.183467,0.999,0.301825,0.0695121
176,353.087,1,5.32454,0.653002,21.0321,5.74426,25.5132,0.268,0.209894,0.187447,0.783723,0.182522,0.999,0.301568,0.0724531
177,338.813,1,5.33178,0.663188,20.8418,5.64117,25.284,0.268,0.209729,0.193019,0.763878,0.187815,0.999,0.295266,0.0706994
178,344.23,1,5.33757,0.671193,20.7622,5.66052,25.1828,0.268,0.206989,0.19276,0.744537,0.186097,0.999,0.294671,0.0715636
179,333.37,1,5.34127,0.656877,20.7287,5.39381,25.1487,0.268,0.208761,0.194313,0.734016,0.187203,0.999,0.296798,0.0697516
180,338.091,1,5.35012,0.62449,20.9197,5.50804,25.3617,0.268,0.206276,0.199802,0.71543,0.192083,0.999,0.2997,0.069091
181,343.909,1,5.32966,0.63259,20.9076,5.54436,25.3039,0.268,0.214828,0.201382,0.718868,0.191066,0.999,0.304489,0.0673416
182,337.137,1,5.35216,0.630399,20.9348,5.68507,25.3862,0.268,0.209388,0.196328,0.736011,0.187382,0.999,0.302434,0.0679545
183,342.946,1,5.35685,0.627979,20.9135,5.92745,25.3307,0.268,0.21323,0.199109,0.717375,0.188544,0.999,0.303457,0.0676518
184,336.375,1,5.36183,0.622732,20.8164,5.98998,25.2388,0.268,0.214402,0.197165,0.69921,0.186504,0.999,0.301685,0.0679615
185,342.141,1,5.36521,0.6504,20.7783,5.82091,25.1711,0.268,0.208973,0.195712,0.692517,0.185941,0.999,0.304552,0.0692057
186,345.684,1,5.36308,0.647155,20.6582,5.96363,25.028,0.268,0.20544,0.196217,0.681945,0.186104,0.999,0.300408,0.0711866
187,347.294,1,5.35779,0.626159,20.754,5.66117,25.1149,0.268,0.201173,0.202431,0.664678,0.188807,0.999,0.298982,0.0735773
188,351.724,1,5.34904,0.65576,20.8285,5.67583,25.1983,0.268,0.203165,0.204382,0.678139,0.190353,0.999,0.301741,0.0731193
189,348.06,1,5.34811,0.640408,20.7623,5.52418,25.1682,0.268,0.204588,0.204312,0.660968,0.191966,0.999,0.29635,0.0722904
190,337.458,1,5.35574,0.625489,20.4956,5.95756,24.8614,0.268,0.202683,0.199998,0.685866,0.187971,0.999,0.293689,0.0704599
191,345.249,1,5.38379,0.645935,20.5443,6.59599,24.9301,0.268,0.204465,0.205486,0.776503,0.193467,0.999,0.302968,0.0686933
192,337.184,1,5.3732,0.64016,20.4007,6.39642,24.7702,0.268,0.206492,0.208766,0.756842,0.196217,0.999,0.299356,0.0691965
193,347.215,1,5.36804,0.64197,20.4252,6.27875,24.7793,0.268,0.205512,0.213166,0.737678,0.200918,0.999,0.300433,0.0705713
194,353.479,1,5.33512,0.660622,20.6729,5.73862,25.0696,0.268,0.213441,0.210987,0.741108,0.197932,0.999,0.304109,0.0695292
