standEta_fi_abscissa,standEta_fi_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,split
-0.492126,0.307143,-0.112624,0.307143,-0.647706,0.307143,-0.432672,0.314286,-0.357482,0.307143,All
-0.470038,0.314286,-0.0950542,0.314286,-0.631586,0.314286,-0.412306,0.321429,-0.333202,0.314286,All
-0.44245,0.321429,-0.0736248,0.321429,-0.60255,0.321429,-0.408228,0.328571,-0.330081,0.321429,All
-0.429662,0.328571,-0.0716853,0.328571,-0.600678,0.328571,-0.406337,0.335714,-0.311557,0.328571,All
-0.420993,0.335714,-0.0612738,0.335714,-0.595574,0.335714,-0.405434,0.342857,-0.291171,0.335714,All
-0.408506,0.342857,-0.048006,0.342857,-0.585856,0.342857,-0.381486,0.35,-0.288438,0.342857,All
-0.401232,0.35,-0.0476546,0.35,-0.538743,0.35,-0.379775,0.357143,-0.26489,0.35,All
-0.379298,0.357143,-0.0436333,0.357143,-0.511716,0.357143,-0.371084,0.364286,-0.264727,0.357143,All
-0.368175,0.364286,-0.0415598,0.364286,-0.489763,0.364286,-0.37012,0.371429,-0.246989,0.364286,All
-0.349509,0.371429,-0.0402726,0.371429,-0.48223,0.371429,-0.367063,0.378571,-0.226935,0.371429,All
-0.3356,0.378571,-0.0387659,0.378571,-0.47689,0.378571,-0.337771,0.385714,-0.224223,0.378571,All
-0.315524,0.385714,-0.0213995,0.385714,-0.455556,0.385714,-0.325724,0.392857,-0.214602,0.385714,All
-0.303029,0.392857,-0.0139484,0.392857,-0.414649,0.392857,-0.312851,0.4,-0.209838,0.392857,All
-0.287323,0.4,-0.00740355,0.4,-0.413419,0.4,-0.280477,0.407143,-0.187263,0.4,All
-0.261812,0.407143,0.00863599,0.407143,-0.400557,0.407143,-0.249119,0.414286,-0.181035,0.407143,All
-0.259245,0.414286,0.0128286,0.414286,-0.400311,0.414286,-0.24772,0.421429,-0.162693,0.414286,All
-0.216248,0.421429,0.0196463,0.421429,-0.400175,0.421429,-0.243981,0.428571,-0.137758,0.421429,All
-0.176045,0.428571,0.0249042,0.428571,-0.366373,0.428571,-0.231837,0.435714,-0.131528,0.428571,All
-0.123426,0.435714,0.055279,0.435714,-0.318919,0.435714,-0.206266,0.442857,-0.123724,0.435714,All
-0.0984738,0.442857,0.0605765,0.442857,-0.298833,0.442857,-0.204586,0.45,-0.120171,0.442857,All
-0.0701683,0.45,0.065069,0.45,-0.289151,0.45,-0.193331,0.457143,-0.0931816,0.45,All
-0.00768928,0.457143,0.071076,0.457143,-0.283432,0.457143,-0.174489,0.464286,-0.0872357,0.457143,All
0.00313566,0.464286,0.0743088,0.464286,-0.27516,0.464286,-0.144568,0.471429,-0.0836366,0.464286,All
0.0344739,0.471429,0.0794279,0.471429,-0.258396,0.471429,-0.129701,0.478571,-0.0697752,0.471429,All
0.0355172,0.478571,0.0805467,0.478571,-0.235213,0.478571,-0.124035,0.485714,-0.0618459,0.478571,All
0.074575,0.485714,0.103148,0.485714,-0.205904,0.485714,-0.105374,0.492857,-0.0450712,0.485714,All
0.120658,0.492857,0.107683,0.492857,-0.190153,0.492857,-0.095605,0.5,-0.029398,0.492857,All
0.125267,0.5,0.140545,0.5,-0.181344,0.5,-0.0380825,0.507143,-0.0150632,0.5,All
0.139663,0.507143,0.147838,0.507143,-0.181,0.507143,0.0141989,0.514286,-0.0132294,0.507143,All
0.14711,0.514286,0.158061,0.514286,-0.164672,0.514286,0.0190269,0.521429,-0.0048814,0.514286,All
0.15688,0.521429,0.178573,0.521429,-0.142112,0.521429,0.026035,0.528571,0.00168292,0.521429,All
0.202303,0.528571,0.228952,0.528571,-0.0680133,0.528571,0.0285707,0.535714,0.0411427,0.528571,All
0.205277,0.535714,0.232862,0.535714,-0.0371839,0.535714,0.0353289,0.542857,0.0430425,0.535714,All
0.228082,0.542857,0.239963,0.542857,-0.0273085,0.542857,0.0419617,0.55,0.0500489,0.542857,All
0.273682,0.55,0.270807,0.55,-0.00326633,0.55,0.0532136,0.557143,0.0808268,0.55,All
0.29978,0.557143,0.283179,0.557143,0.0160836,0.557143,0.0901654,0.564286,0.0826524,0.557143,All
0.319016,0.564286,0.294361,0.564286,0.136138,0.564286,0.155724,0.571429,0.0832024,0.564286,All
0.348424,0.571429,0.30576,0.571429,0.153922,0.571429,0.179597,0.578571,0.0835292,0.571429,All
0.348704,0.578571,0.318371,0.578571,0.176989,0.578571,0.18593,0.585714,0.0918457,0.578571,All
0.373411,0.585714,0.3384,0.585714,0.211809,0.585714,0.194835,0.592857,0.0984223,0.585714,All
0.382861,0.592857,0.345692,0.592857,0.216521,0.592857,0.197772,0.6,0.107583,0.592857,All
0.409474,0.6,0.349036,0.6,0.228869,0.6,0.203755,0.607143,0.120248,0.6,All
0.426707,0.607143,0.418739,0.607143,0.235644,0.607143,0.217538,0.614286,0.128721,0.607143,All
0.437177,0.614286,0.440431,0.614286,0.238171,0.614286,0.238642,0.621429,0.19086,0.614286,All
0.451313,0.621429,0.476512,0.621429,0.255117,0.621429,0.240613,0.628571,0.198982,0.621429,All
0.4518,0.628571,0.481664,0.628571,0.26917,0.628571,0.257816,0.635714,0.237665,0.628571,All
0.465688,0.635714,0.519267,0.635714,0.270491,0.635714,0.269597,0.642857,0.291504,0.635714,All
0.493233,0.642857,0.540507,0.642857,0.318569,0.642857,0.299035,0.65,0.315211,0.642857,All
0.527646,0.65,0.548678,0.65,0.393956,0.65,0.302492,0.657143,0.321855,0.65,All
0.529493,0.657143,0.566082,0.657143,0.396273,0.657143,0.327373,0.664286,0.349573,0.657143,All
0.534333,0.664286,0.5662,0.664286,0.402104,0.664286,0.328196,0.671429,0.352487,0.664286,All
0.556517,0.671429,0.606229,0.671429,0.408383,0.671429,0.353312,0.678571,0.353342,0.671429,All
0.565668,0.678571,0.606583,0.678571,0.412714,0.678571,0.35485,0.685714,0.355422,0.678571,All
0.582761,0.685714,0.632339,0.685714,0.418979,0.685714,0.368959,0.692857,0.376676,0.685714,All
0.59186,0.692857,0.633403,0.692857,0.46161,0.692857,0.379981,0.7,0.393977,0.692857,All
0.593238,0.7,0.648344,0.7,0.489824,0.7,0.380943,0.707143,0.41966,0.7,All
0.594553,0.707143,0.648828,0.707143,0.490003,0.707143,0.425433,0.714286,0.42596,0.707143,All
0.600405,0.714286,0.653856,0.714286,0.495857,0.714286,0.426721,0.721429,0.44238,0.714286,All
0.653106,0.721429,0.654467,0.721429,0.507414,0.721429,0.431818,0.728571,0.451982,0.721429,All
0.705024,0.728571,0.657416,0.728571,0.508792,0.728571,0.45925,0.735714,0.500791,0.728571,All
0.708183,0.735714,0.666756,0.735714,0.566041,0.735714,0.483364,0.742857,0.524988,0.735714,All
0.731473,0.742857,0.676132,0.742857,0.568138,0.742857,0.500503,0.75,0.534692,0.742857,All
0.746146,0.75,0.683746,0.75,0.583144,0.75,0.502876,0.757143,0.552643,0.75,All
0.752624,0.757143,0.684919,0.757143,0.614174,0.757143,0.518823,0.764286,0.56622,0.757143,All
0.761728,0.764286,0.699452,0.764286,0.614528,0.764286,0.571153,0.771429,0.570993,0.764286,All
0.783914,0.771429,0.701731,0.771429,0.617519,0.771429,0.59419,0.778571,0.58065,0.771429,All
0.790343,0.778571,0.733929,0.778571,0.618772,0.778571,0.600285,0.785714,0.59185,0.778571,All
0.809312,0.785714,0.749347,0.785714,0.686485,0.785714,0.618251,0.792857,0.620804,0.785714,All
0.813103,0.792857,0.777572,0.792857,0.7446,0.792857,0.618799,0.8,0.696382,0.792857,All
0.831986,0.8,0.790746,0.8,0.7797,0.8,0.62554,0.807143,0.709884,0.8,All
0.83986,0.807143,0.793154,0.807143,0.88074,0.807143,0.63553,0.814286,0.711264,0.807143,All
0.846777,0.814286,0.801402,0.814286,0.895957,0.814286,0.637385,0.821429,0.731896,0.814286,All
0.855031,0.821429,0.804406,0.821429,0.902577,0.821429,0.738358,0.828571,0.764845,0.821429,All
0.85518,0.828571,0.816154,0.828571,0.903283,0.828571,0.739375,0.835714,0.772937,0.828571,All
0.889927,0.835714,0.835495,0.835714,0.904996,0.835714,0.7795,0.842857,0.832788,0.835714,All
0.894063,0.842857,0.85179,0.842857,0.967943,0.842857,0.784145,0.85,0.852051,0.842857,All
0.907705,0.85,0.857381,0.85,0.995947,0.85,0.794474,0.857143,0.862958,0.85,All
0.910733,0.857143,0.866344,0.857143,1.06225,0.857143,0.809193,0.864286,0.88187,0.857143,All
0.940319,0.864286,0.878675,0.864286,1.10682,0.864286,0.826692,0.871429,0.921677,0.864286,All
1.00633,0.871429,0.884885,0.871429,1.14797,0.871429,0.978727,0.878571,0.940624,0.871429,All
1.01035,0.878571,0.905963,0.878571,1.15,0.878571,1.02804,0.885714,0.967116,0.878571,All
1.02161,0.885714,0.937216,0.885714,1.16491,0.885714,1.04111,0.892857,0.992555,0.885714,All
1.02347,0.892857,0.970087,0.892857,1.17298,0.892857,1.08463,0.9,1.03808,0.892857,All
1.03422,0.9,0.987082,0.9,1.23824,0.9,1.10731,0.907143,1.04952,0.9,All
1.03448,0.907143,1.00662,0.907143,1.25549,0.907143,1.14699,0.914286,1.11507,0.907143,All
1.08033,0.914286,1.01448,0.914286,1.29542,0.914286,1.15376,0.921429,1.14522,0.914286,All
1.12128,0.921429,1.0282,0.921429,1.30177,0.921429,1.15402,0.928571,1.15662,0.921429,All
1.15203,0.928571,1.0292,0.928571,1.35537,0.928571,1.25617,0.935714,1.26872,0.928571,All
1.18131,0.935714,1.0456,0.935714,1.36317,0.935714,1.4665,0.942857,1.35283,0.935714,All
1.21926,0.942857,1.04668,0.942857,1.37911,0.942857,1.93728,0.95,1.38344,0.942857,All
1.22707,0.95,1.04934,0.95,1.38072,0.95,1.96061,0.957143,1.51692,0.95,All
1.27934,0.957143,1.05169,0.957143,1.38085,0.957143,2.0285,0.964286,1.5272,0.957143,All
1.30931,0.964286,1.16697,0.964286,1.53447,0.964286,2.17978,0.971429,1.53292,0.964286,All
1.32243,0.971429,1.17521,0.971429,2.12105,0.971429,2.24084,0.978571,1.76103,0.971429,All
1.38685,0.978571,1.17603,0.978571,2.3346,0.978571,2.36848,0.985714,1.76288,0.978571,All
1.40307,0.985714,1.18907,0.985714,2.43699,0.985714,2.47964,0.992857,1.79855,0.985714,All
1.45538,0.992857,1.2235,0.992857,2.71935,0.992857,3.07478,1,2.21825,0.992857,All
1.5739,1,1.28732,1,3.01497,1,4,1,2.22231,1,All
4,1,4,1,4,1,4,1,4,1,All
