trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_logtCLCRMLMIN_abscissa,trans_Cl_vs_logtCLCRMLMIN_spline,trans_Cl_vs_logtCLCRMLMIN_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_logtCLCRMLMIN_abscissa,trans_Q_vs_logtCLCRMLMIN_spline,trans_Q_vs_logtCLCRMLMIN_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_logtCLCRMLMIN_abscissa,trans_V1_vs_logtCLCRMLMIN_spline,trans_V1_vs_logtCLCRMLMIN_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_logtCLCRMLMIN_abscissa,trans_V2_vs_logtCLCRMLMIN_spline,trans_V2_vs_logtCLCRMLMIN_regression,trans_bias_vs_CLCRMLMIN_abscissa,trans_bias_vs_CLCRMLMIN_spline,trans_bias_vs_CLCRMLMIN_regression,trans_bias_vs_logtCLCRMLMIN_abscissa,trans_bias_vs_logtCLCRMLMIN_spline,trans_bias_vs_logtCLCRMLMIN_regression,split
117.843,1.60081,1.53793,-0.246643,1.56862,1.50652,117.843,1.69871,1.79015,-0.246643,1.68599,1.80045,117.843,3.15547,3.13814,-0.246643,3.13774,3.14088,117.843,3.2945,3.27971,-0.246643,3.2805,3.28704,117.843,-0.95575,-2.20242,-0.246643,-1.68332,-2.7875,All
118.861,1.61216,1.5422,-0.239477,1.57766,1.51112,118.861,1.69104,1.78934,-0.239477,1.68045,1.79943,118.861,3.15713,3.13667,-0.239477,3.13865,3.13956,118.861,3.29526,3.2773,-0.239477,3.28066,3.28478,118.861,-0.704883,-2.14838,-0.239477,-1.47784,-2.72319,All
119.878,1.62313,1.54646,-0.232311,1.58671,1.51571,119.878,1.68388,1.78852,-0.232311,1.67492,1.79841,119.878,3.15869,3.1352,-0.232311,3.13956,3.13824,119.878,3.29593,3.27489,-0.232311,3.28082,3.28253,119.878,-0.461831,-2.09434,-0.232311,-1.27235,-2.65888,All
120.895,1.62962,1.55073,-0.225145,1.59575,1.5203,120.895,1.68291,1.78771,-0.225145,1.66939,1.7974,120.895,3.15889,3.13373,-0.225145,3.14046,3.13692,120.895,3.29539,3.27248,-0.225145,3.28097,3.28027,120.895,-0.313176,-2.0403,-0.225145,-1.06686,-2.59457,All
121.912,1.63611,1.55499,-0.217979,1.6048,1.52489,121.912,1.68193,1.7869,-0.217979,1.66386,1.79638,121.912,3.1591,3.13225,-0.217979,3.14137,3.1356,121.912,3.29485,3.27007,-0.217979,3.28113,3.27802,121.912,-0.16452,-1.98625,-0.217979,-0.861377,-2.53027,All
122.929,1.6426,1.55925,-0.210813,1.61384,1.52949,122.929,1.68095,1.78609,-0.210813,1.65833,1.79537,122.929,3.1593,3.13078,-0.210813,3.14227,3.13428,122.929,3.29431,3.26765,-0.210813,3.28129,3.27576,122.929,-0.0158649,-1.93221,-0.210813,-0.655891,-2.46596,All
123.946,1.64909,1.56352,-0.203647,1.62289,1.53408,123.946,1.67997,1.78527,-0.203647,1.6528,1.79435,123.946,3.15951,3.12931,-0.203647,3.14318,3.13296,123.946,3.29377,3.26524,-0.203647,3.28145,3.2735,123.946,0.132791,-1.87817,-0.203647,-0.450404,-2.40165,All
124.964,1.65558,1.56778,-0.196482,1.63193,1.53867,124.964,1.67899,1.78446,-0.196482,1.64726,1.79333,124.964,3.15971,3.12784,-0.196482,3.14409,3.13163,124.964,3.29323,3.26283,-0.196482,3.28161,3.27125,124.964,0.281446,-1.82412,-0.196482,-0.244918,-2.33734,All
125.981,1.66069,1.57205,-0.189316,1.64098,1.54326,125.981,1.67985,1.78365,-0.189316,1.64173,1.79232,125.981,3.15947,3.12636,-0.189316,3.14499,3.13031,125.981,3.29229,3.26042,-0.189316,3.28177,3.26899,125.981,0.399832,-1.77008,-0.189316,-0.0394315,-2.27303,All
126.998,1.66507,1.57631,-0.18215,1.64869,1.54786,126.998,1.68164,1.78283,-0.18215,1.63833,1.7913,126.998,3.15899,3.12489,-0.18215,3.14575,3.12899,126.998,3.29112,3.25801,-0.18215,3.28181,3.26673,126.998,0.501701,-1.71604,-0.18215,0.13702,-2.20872,All
128.015,1.66819,1.58057,-0.174984,1.65255,1.55245,128.015,1.68503,1.78202,-0.174984,1.64111,1.79028,128.015,3.15809,3.12342,-0.174984,3.14609,3.12767,128.015,3.28956,3.2556,-0.174984,3.28155,3.26448,128.015,0.575014,-1.662,-0.174984,0.229418,-2.14441,All
129.032,1.67132,1.58484,-0.167818,1.65641,1.55704,129.032,1.68841,1.78121,-0.167818,1.64388,1.78927,129.032,3.15718,3.12195,-0.167818,3.14643,3.12635,129.032,3.28799,3.25319,-0.167818,3.28128,3.26222,129.032,0.648326,-1.60795,-0.167818,0.321816,-2.0801,All
130.049,1.67445,1.5891,-0.160652,1.66028,1.56163,130.049,1.6918,1.78039,-0.160652,1.64666,1.78825,130.049,3.15628,3.12047,-0.160652,3.14677,3.12503,130.049,3.28643,3.25078,-0.160652,3.28101,3.25996,130.049,0.721639,-1.55391,-0.160652,0.414214,-2.0158,All
131.067,1.67758,1.59337,-0.153486,1.66414,1.56623,131.067,1.69518,1.77958,-0.153486,1.64943,1.78723,131.067,3.15537,3.119,-0.153486,3.14711,3.12371,131.067,3.28487,3.24837,-0.153486,3.28074,3.25771,131.067,0.794951,-1.49987,-0.153486,0.506612,-1.95149,All
132.084,1.6807,1.59763,-0.14632,1.668,1.57082,132.084,1.69856,1.77877,-0.14632,1.65221,1.78622,132.084,3.15447,3.11753,-0.14632,3.14745,3.12239,132.084,3.28331,3.24595,-0.14632,3.28047,3.25545,132.084,0.868264,-1.44583,-0.14632,0.59901,-1.88718,All
133.101,1.68383,1.60189,-0.139154,1.67155,1.57541,133.101,1.70195,1.77795,-0.139154,1.65546,1.7852,133.101,3.15356,3.11606,-0.139154,3.14774,3.12106,133.101,3.28174,3.24354,-0.139154,3.28015,3.25319,133.101,0.941576,-1.39178,-0.139154,0.684097,-1.82287,All
134.118,1.68696,1.60616,-0.131988,1.67396,1.58,134.118,1.70533,1.77714,-0.131988,1.66044,1.78419,134.118,3.15266,3.11458,-0.131988,3.14784,3.11974,134.118,3.28018,3.24113,-0.131988,3.27966,3.25094,134.118,1.01489,-1.33774,-0.131988,0.742596,-1.75856,All
135.135,1.68841,1.61042,-0.124823,1.67575,1.5846,135.135,1.71069,1.77633,-0.124823,1.66629,1.78317,135.135,3.15113,3.11311,-0.124823,3.14779,3.11842,135.135,3.27802,3.23872,-0.124823,3.27903,3.24868,135.135,1.04734,-1.2837,-0.124823,0.785654,-1.69425,All
136.153,1.68949,1.61469,-0.117657,1.67676,1.58919,136.153,1.71648,1.77551,-0.117657,1.67322,1.78215,136.153,3.14947,3.11164,-0.117657,3.14755,3.1171,136.153,3.27573,3.23631,-0.117657,3.27821,3.24642,136.153,1.07089,-1.22966,-0.117657,0.809233,-1.62994,All
137.17,1.69058,1.61895,-0.110491,1.67778,1.59378,137.17,1.72228,1.7747,-0.110491,1.68016,1.78114,137.17,3.14781,3.11017,-0.110491,3.14732,3.11578,137.17,3.27344,3.2339,-0.110491,3.2774,3.24417,137.17,1.09444,-1.17561,-0.110491,0.832812,-1.56563,All
138.187,1.69166,1.62321,-0.103325,1.6788,1.59837,138.187,1.72807,1.77389,-0.103325,1.68709,1.78012,138.187,3.14614,3.1087,-0.103325,3.14708,3.11446,138.187,3.27115,3.23149,-0.103325,3.27658,3.24191,138.187,1.11799,-1.12157,-0.103325,0.856392,-1.50132,All
139.204,1.69275,1.62748,-0.096159,1.67981,1.60297,139.204,1.73386,1.77307,-0.096159,1.69403,1.7791,139.204,3.14448,3.10722,-0.096159,3.14684,3.11314,139.204,3.26886,3.22908,-0.096159,3.27576,3.23966,139.204,1.14155,-1.06753,-0.096159,0.879971,-1.43702,All
140.221,1.69381,1.63174,-0.0889931,1.68083,1.60756,140.221,1.73967,1.77226,-0.0889931,1.70097,1.77809,140.221,3.14281,3.10575,-0.0889931,3.14661,3.11182,140.221,3.26656,3.22666,-0.0889931,3.27495,3.2374,140.221,1.16453,-1.01349,-0.0889931,0.90355,-1.37271,All
141.238,1.6939,1.63601,-0.0818272,1.68184,1.61215,141.238,1.74645,1.77145,-0.0818272,1.7079,1.77707,141.238,3.14071,3.10428,-0.0818272,3.14637,3.11049,141.238,3.26383,3.22425,-0.0818272,3.27413,3.23514,141.238,1.16064,-0.959444,-0.0818272,0.927129,-1.3084,All
142.256,1.69399,1.64027,-0.0746613,1.68286,1.61674,142.256,1.75323,1.77064,-0.0746613,1.71484,1.77605,142.256,3.13861,3.10281,-0.0746613,3.14613,3.10917,142.256,3.2611,3.22184,-0.0746613,3.27332,3.23289,142.256,1.15675,-0.905402,-0.0746613,0.950709,-1.24409,All
143.273,1.69407,1.64453,-0.0674954,1.68346,1.62134,143.273,1.76001,1.76982,-0.0674954,1.72227,1.77504,143.273,3.13651,3.10133,-0.0674954,3.14574,3.10785,143.273,3.25837,3.21943,-0.0674954,3.27233,3.23063,143.273,1.15286,-0.851359,-0.0674954,0.962279,-1.17978,All
144.29,1.69383,1.6488,-0.0603295,1.68314,1.62593,144.29,1.76666,1.76901,-0.0603295,1.73079,1.77402,144.29,3.13411,3.09986,-0.0603295,3.14499,3.10653,144.29,3.2553,3.21702,-0.0603295,3.27097,3.22837,144.29,1.13247,-0.797317,-0.0603295,0.947474,-1.11547,All
145.307,1.69323,1.65306,-0.0531636,1.68283,1.63052,145.307,1.77317,1.7682,-0.0531636,1.73932,1.77301,145.307,3.13139,3.09839,-0.0531636,3.14424,3.10521,145.307,3.25186,3.21461,-0.0531636,3.26961,3.22612,145.307,1.09432,-0.743274,-0.0531636,0.932668,-1.05116,All
146.324,1.69263,1.65733,-0.0459977,1.68251,1.63511,146.324,1.77969,1.76738,-0.0459977,1.74784,1.77199,146.324,3.12867,3.09692,-0.0459977,3.14349,3.10389,146.324,3.24842,3.2122,-0.0459977,3.26826,3.22386,146.324,1.05617,-0.689231,-0.0459977,0.917863,-0.986855,All
147.341,1.69203,1.66159,-0.0388318,1.68219,1.63971,147.341,1.7862,1.76657,-0.0388318,1.75636,1.77097,147.341,3.12594,3.09544,-0.0388318,3.14274,3.10257,147.341,3.24497,3.20979,-0.0388318,3.2669,3.2216,147.341,1.01802,-0.635189,-0.0388318,0.903058,-0.922546,All
148.359,1.69143,1.66585,-0.0316658,1.68187,1.6443,148.359,1.79271,1.76576,-0.0316658,1.76488,1.76996,148.359,3.12322,3.09397,-0.0316658,3.14199,3.10125,148.359,3.24153,3.20738,-0.0316658,3.26554,3.21935,148.359,0.979875,-0.581146,-0.0316658,0.888252,-0.858237,All
149.376,1.69084,1.67012,-0.0244999,1.68143,1.64889,149.376,1.79923,1.76494,-0.0244999,1.77346,1.76894,149.376,3.1205,3.0925,-0.0244999,3.14113,3.09993,149.376,3.23809,3.20496,-0.0244999,3.26405,3.21709,149.376,0.941728,-0.527104,-0.0244999,0.86802,-0.793928,All
150.393,1.69024,1.67438,-0.017334,1.68069,1.65348,150.393,1.80574,1.76413,-0.017334,1.78215,1.76792,150.393,3.11777,3.09103,-0.017334,3.14,3.0986,150.393,3.23465,3.20255,-0.017334,3.26227,3.21483,150.393,0.90358,-0.473061,-0.017334,0.835881,-0.72962,All
151.41,1.68964,1.67865,-0.0101681,1.67996,1.65808,151.41,1.81226,1.76332,-0.0101681,1.79084,1.76691,151.41,3.11505,3.08955,-0.0101681,3.13888,3.09728,151.41,3.2312,3.20014,-0.0101681,3.26049,3.21258,151.41,0.865432,-0.419019,-0.0101681,0.803742,-0.665311,All
152.427,1.68904,1.68291,-0.00300224,1.67923,1.66267,152.427,1.81877,1.7625,-0.00300224,1.79953,1.76589,152.427,3.11233,3.08808,-0.00300224,3.13776,3.09596,152.427,3.22776,3.19773,-0.00300224,3.25872,3.21032,152.427,0.827284,-0.364976,-0.00300224,0.771604,-0.601002,All
153.444,1.68844,1.68717,0.00416366,1.67895,1.66726,153.444,1.82528,1.76169,0.00416366,1.80645,1.76488,153.444,3.1096,3.08661,0.00416366,3.13599,3.09464,153.444,3.22432,3.19532,0.00416366,3.25615,3.20807,153.444,0.789136,-0.310934,0.00416366,0.731579,-0.536693,All
154.462,1.68785,1.69144,0.0113296,1.6788,1.67185,154.462,1.8318,1.76088,0.0113296,1.81285,1.76386,154.462,3.10688,3.08514,0.0113296,3.13402,3.09332,154.462,3.22088,3.19291,0.0113296,3.25336,3.20581,154.462,0.750988,-0.256891,0.0113296,0.689264,-0.472385,All
155.479,1.68725,1.6957,0.0184955,1.67865,1.67645,155.479,1.83831,1.76006,0.0184955,1.81926,1.76284,155.479,3.10416,3.08367,0.0184955,3.13206,3.092,155.479,3.21743,3.1905,0.0184955,3.25057,3.20355,155.479,0.712841,-0.202849,0.0184955,0.646949,-0.408076,All
156.496,1.68665,1.69997,0.0256614,1.67849,1.68104,156.496,1.84483,1.75925,0.0256614,1.82566,1.76183,156.496,3.10143,3.08219,0.0256614,3.1301,3.09068,156.496,3.21399,3.18809,0.0256614,3.24778,3.2013,156.496,0.674693,-0.148806,0.0256614,0.604634,-0.343767,All
157.513,1.68605,1.70423,0.0328273,1.67834,1.68563,157.513,1.85134,1.75844,0.0328273,1.83206,1.76081,157.513,3.09871,3.08072,0.0328273,3.12814,3.08936,157.513,3.21055,3.18567,0.0328273,3.24498,3.19904,157.513,0.636545,-0.0947635,0.0328273,0.56232,-0.279458,All
158.53,1.68545,1.70849,0.0399932,1.67819,1.69022,158.53,1.85786,1.75762,0.0399932,1.83847,1.75979,158.53,3.09599,3.07925,0.0399932,3.12618,3.08803,158.53,3.2071,3.18326,0.0399932,3.24219,3.19678,158.53,0.598397,-0.0407209,0.0399932,0.520005,-0.21515,All
159.547,1.68485,1.71276,0.0471591,1.67804,1.69482,159.547,1.86437,1.75681,0.0471591,1.84487,1.75878,159.547,3.09327,3.07778,0.0471591,3.12421,3.08671,159.547,3.20366,3.18085,0.0471591,3.2394,3.19453,159.547,0.560249,0.0133216,0.0471591,0.47769,-0.150841,All
160.565,1.68426,1.71702,0.054325,1.67789,1.69941,160.565,1.87088,1.756,0.054325,1.85127,1.75776,160.565,3.09054,3.0763,0.054325,3.12225,3.08539,160.565,3.20022,3.17844,0.054325,3.23661,3.19227,160.565,0.522102,0.0673642,0.054325,0.435376,-0.0865321,All
161.582,1.68537,1.72129,0.0614909,1.67774,1.704,161.582,1.87337,1.75519,0.0614909,1.85768,1.75674,161.582,3.08776,3.07483,0.0614909,3.12029,3.08407,161.582,3.1965,3.17603,0.0614909,3.23381,3.19001,161.582,0.492616,0.121407,0.0614909,0.393061,-0.0222233,All
162.599,1.68839,1.72555,0.0686568,1.67758,1.70859,162.599,1.87137,1.75437,0.0686568,1.86408,1.75573,162.599,3.08491,3.07336,0.0686568,3.11833,3.08275,162.599,3.19249,3.17362,0.0686568,3.23102,3.18776,162.599,0.472756,0.175449,0.0686568,0.350746,0.0420855,All
163.616,1.69141,1.72981,0.0758227,1.67743,1.71318,163.616,1.86938,1.75356,0.0758227,1.87048,1.75471,163.616,3.08205,3.07189,0.0758227,3.11637,3.08143,163.616,3.18847,3.17121,0.0758227,3.22823,3.1855,163.616,0.452896,0.229492,0.0758227,0.308432,0.106394,All
164.633,1.69442,1.73408,0.0829886,1.67728,1.71778,164.633,1.86738,1.75275,0.0829886,1.87688,1.7537,164.633,3.0792,3.07041,0.0829886,3.1144,3.08011,164.633,3.18445,3.1688,0.0829886,3.22544,3.18324,164.633,0.433036,0.283534,0.0829886,0.266117,0.170703,All
165.651,1.69744,1.73834,0.0901545,1.67713,1.72237,165.651,1.86538,1.75193,0.0901545,1.88329,1.75268,165.651,3.07635,3.06894,0.0901545,3.11244,3.07879,165.651,3.18043,3.16639,0.0901545,3.22265,3.18099,165.651,0.413176,0.337577,0.0901545,0.223802,0.235012,All
166.668,1.70046,1.74261,0.0973204,1.67698,1.72696,166.668,1.86339,1.75112,0.0973204,1.88969,1.75166,166.668,3.0735,3.06747,0.0973204,3.11048,3.07746,166.668,3.17642,3.16397,0.0973204,3.21985,3.17873,166.668,0.393316,0.391619,0.0973204,0.181487,0.299321,All
167.685,1.70348,1.74687,0.104486,1.67683,1.73155,167.685,1.86139,1.75031,0.104486,1.89609,1.75065,167.685,3.07065,3.066,0.104486,3.10852,3.07614,167.685,3.1724,3.16156,0.104486,3.21706,3.17648,167.685,0.373456,0.445662,0.104486,0.139173,0.363629,All
168.702,1.70649,1.75113,0.111652,1.67668,1.73615,168.702,1.8594,1.74949,0.111652,1.9025,1.74963,168.702,3.06779,3.06452,0.111652,3.10656,3.07482,168.702,3.16838,3.15915,0.111652,3.21427,3.17422,168.702,0.353596,0.499705,0.111652,0.0968581,0.427938,All
169.719,1.70951,1.7554,0.118818,1.6811,1.74074,169.719,1.8574,1.74868,0.118818,1.8984,1.74861,169.719,3.06494,3.06305,0.118818,3.10299,3.0735,169.719,3.16436,3.15674,0.118818,3.20938,3.17196,169.719,0.333736,0.553747,0.118818,0.101154,0.492247,All
170.736,1.71253,1.75966,0.125984,1.68591,1.74533,170.736,1.8554,1.74787,0.125984,1.89342,1.7476,170.736,3.06209,3.06158,0.125984,3.09929,3.07218,170.736,3.16034,3.15433,0.125984,3.20432,3.16971,170.736,0.313876,0.60779,0.125984,0.109401,0.556556,All
171.754,1.71555,1.76393,0.13315,1.69072,1.74992,171.754,1.85341,1.74705,0.13315,1.88844,1.74658,171.754,3.05924,3.06011,0.13315,3.09559,3.07086,171.754,3.15633,3.15192,0.13315,3.19925,3.16745,171.754,0.294016,0.661832,0.13315,0.117647,0.620864,All
172.771,1.71857,1.76819,0.140316,1.69553,1.75452,172.771,1.85141,1.74624,0.140316,1.88345,1.74556,172.771,3.05638,3.05864,0.140316,3.09189,3.06954,172.771,3.15231,3.14951,0.140316,3.19418,3.16519,172.771,0.274155,0.715875,0.140316,0.125893,0.685173,All
173.788,1.72158,1.77245,0.147482,1.70033,1.75911,173.788,1.84942,1.74543,0.147482,1.87847,1.74455,173.788,3.05353,3.05716,0.147482,3.08818,3.06822,173.788,3.14829,3.1471,0.147482,3.18912,3.16294,173.788,0.254295,0.769917,0.147482,0.134139,0.749482,All
174.805,1.7246,1.77672,0.154648,1.70514,1.7637,174.805,1.84742,1.74461,0.154648,1.87349,1.74353,174.805,3.05068,3.05569,0.154648,3.08448,3.06689,174.805,3.14427,3.14468,0.154648,3.18405,3.16068,174.805,0.234435,0.82396,0.154648,0.142385,0.813791,All
175.822,1.72762,1.78098,0.161813,1.70995,1.76829,175.822,1.84543,1.7438,0.161813,1.86851,1.74252,175.822,3.04783,3.05422,0.161813,3.08078,3.06557,175.822,3.14025,3.14227,0.161813,3.17899,3.15842,175.822,0.214575,0.878002,0.161813,0.150631,0.878099,All
176.839,1.73064,1.78525,0.168979,1.71476,1.77289,176.839,1.84343,1.74299,0.168979,1.86352,1.7415,176.839,3.04498,3.05275,0.168979,3.07708,3.06425,176.839,3.13624,3.13986,0.168979,3.17392,3.15617,176.839,0.194715,0.932045,0.168979,0.158878,0.942408,All
177.857,1.73366,1.78951,0.176145,1.71957,1.77748,177.857,1.84143,1.74218,0.176145,1.85854,1.74048,177.857,3.04212,3.05127,0.176145,3.07338,3.06293,177.857,3.13222,3.13745,0.176145,3.16885,3.15391,177.857,0.174855,0.986087,0.176145,0.167124,1.00672,All
178.874,1.73667,1.79377,0.183311,1.72438,1.78207,178.874,1.83944,1.74136,0.183311,1.85356,1.73947,178.874,3.03927,3.0498,0.183311,3.06967,3.06161,178.874,3.1282,3.13504,0.183311,3.16379,3.15165,178.874,0.154995,1.04013,0.183311,0.17537,1.07103,All
