iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_centeredCLCR,beta_Cl_lcatCl_2,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,corr_V1_Cl,b,plcatCl_1,plcatCl_2
81,280.771,1,2.39582,0.578893,0.238612,21.1732,5.20624,28.6041,0.186654,0.219377,0.651016,0.76246,0.0251186,0.354147,0.645853
82,284.926,1,2.15486,0.681662,0.269796,21.6075,5.28963,28.6041,0.186422,0.234252,0.685714,0.776239,0.025076,0.421871,0.578129
83,288.939,1,2.24216,0.607021,0.299946,21.504,5.2793,27.1068,0.174794,0.247333,0.71018,0.749692,0.025291,0.341925,0.658075
84,287.775,1,2.44213,0.563038,0.244843,20.331,5.45414,27.2339,0.185696,0.255388,0.729937,0.758509,0.0250468,0.365404,0.634596
85,287.327,1,2.31126,0.611731,0.257053,20.7078,5.46454,26.5105,0.181799,0.24267,0.731724,0.7806,0.0251781,0.381546,0.618454
86,279.188,1,2.29961,0.625714,0.265616,21.0045,5.40285,25.6199,0.183481,0.236642,0.691161,0.845577,0.0246208,0.441148,0.558852
87,272.397,1,1.92281,0.80226,0.293029,21.0691,5.20161,25.7,0.177099,0.228858,0.658336,0.885137,0.0243483,0.51961,0.48039
88,277.997,1,1.93692,0.786583,0.291634,20.6363,5.31191,26.0614,0.179661,0.260443,0.645731,0.899158,0.0247732,0.48588,0.51412
89,272.347,1,1.99918,0.751056,0.285572,20.6715,5.34523,25.4709,0.175164,0.253012,0.647914,0.919581,0.0244983,0.464798,0.535202
90,274.892,1,1.99374,0.751174,0.304195,20.952,5.4361,25.8689,0.18166,0.252509,0.652577,0.918404,0.0246378,0.46881,0.53119
91,278.87,1,2.13229,0.689035,0.299747,20.8261,5.55368,26.839,0.180779,0.264462,0.662532,0.921805,0.0250241,0.461991,0.538009
92,283.201,1,1.94531,0.7665,0.321161,20.6784,5.73682,27.3842,0.190116,0.253144,0.690072,0.928091,0.025481,0.476331,0.523669
93,273.855,1,1.98163,0.750963,0.320331,20.5986,6.02186,27.4056,0.18406,0.255717,0.69925,0.943905,0.0247614,0.465236,0.534764
94,273.098,1,2.02736,0.727315,0.303087,20.3883,6.18398,26.2494,0.185853,0.244263,0.702688,0.939132,0.0246862,0.428363,0.571637
95,270.505,1,1.93698,0.766904,0.327034,20.6747,5.89019,25.6957,0.189509,0.244624,0.681857,0.954234,0.0248688,0.464478,0.535522
96,271.136,1,1.81305,0.834437,0.336893,21.0684,5.76887,26.9403,0.178501,0.256044,0.684015,0.953881,0.0250077,0.48213,0.51787
97,272.371,1,1.73677,0.857979,0.360225,21.0757,5.54202,26.3931,0.182292,0.239715,0.68291,0.946114,0.0249656,0.48247,0.51753
98,266.044,1,1.63752,0.912986,0.368516,21.2838,5.60834,26.3519,0.183477,0.23098,0.678519,0.956201,0.0247335,0.482192,0.517808
99,261.857,1,1.66419,0.902267,0.353099,21.1687,5.30148,26.568,0.182016,0.224493,0.628858,0.958099,0.0246845,0.482214,0.517786
100,264.281,1,1.69063,0.883006,0.356482,21.1841,5.22707,26.5888,0.183449,0.226044,0.633363,0.940066,0.02418,0.482879,0.517121
101,274.957,1,1.7306,0.875578,0.330898,21.2199,5.01462,26.3188,0.1774,0.232382,0.600128,0.941368,0.0258655,0.482341,0.517659
102,268.866,1,1.6809,0.898373,0.340937,21.3644,4.86962,25.887,0.170149,0.225943,0.63526,0.953559,0.0255553,0.500003,0.499997
103,270.359,1,1.72452,0.876165,0.33424,21.3357,4.85576,28.1521,0.176101,0.24779,0.631011,0.950129,0.0251617,0.499985,0.500015
104,269.817,1,1.67614,0.890188,0.359753,21.2054,4.95433,27.4043,0.173462,0.240124,0.646409,0.953283,0.0252766,0.5,0.5
105,268.187,1,1.70104,0.871388,0.358658,21.1134,4.7986,27.704,0.176332,0.247542,0.623085,0.953729,0.0250174,0.5,0.5
106,266.963,1,1.64695,0.903043,0.359202,21.148,4.8283,27.6174,0.177014,0.240857,0.61148,0.948067,0.0247771,0.500003,0.499997
107,259.003,1,1.75994,0.842895,0.355112,21.2949,4.79119,27.5096,0.175197,0.243981,0.637637,0.955697,0.0239458,0.5,0.5
108,268.336,1,1.70844,0.862438,0.369487,21.6074,4.71568,28.7776,0.177945,0.245949,0.624421,0.956501,0.0251515,0.5,0.5
109,258.311,1,1.63648,0.903223,0.378566,21.6941,4.63469,27.8783,0.179323,0.238226,0.617158,0.958664,0.0241624,0.5,0.5
110,261.644,1,1.63054,0.910935,0.379692,21.6498,5.15938,26.6804,0.177498,0.228666,0.668376,0.953258,0.0242058,0.5,0.5
111,264.02,1,1.68263,0.898272,0.365692,21.9705,4.96519,26.6595,0.177312,0.228593,0.685337,0.955096,0.0245413,0.517857,0.482143
112,277.543,1,1.72054,0.875125,0.370151,21.8609,5.05813,26.8678,0.178698,0.239753,0.680031,0.93873,0.0254904,0.517923,0.482077
113,264.965,1,1.69201,0.888274,0.35609,21.6263,4.84369,25.7343,0.172686,0.224099,0.635465,0.946745,0.0247257,0.500106,0.499894
114,273.974,1,1.64059,0.911954,0.368485,21.6449,5.18675,26.5385,0.175024,0.220535,0.658321,0.942142,0.025612,0.500012,0.499988
115,273.406,1,1.61066,0.937106,0.363112,21.8318,5.02987,26.1446,0.174773,0.212457,0.652579,0.933219,0.0254715,0.501463,0.498537
116,271.367,1,1.67368,0.893593,0.361113,21.5807,4.94577,26.9003,0.179153,0.214409,0.677835,0.940326,0.0251048,0.499992,0.500008
117,265.619,1,1.69057,0.882805,0.345965,21.3458,4.92947,27.4047,0.171398,0.208054,0.709762,0.934186,0.024291,0.481505,0.518495
118,269.332,1,1.64892,0.896249,0.363526,21.3752,4.96029,27.2013,0.169694,0.205628,0.740191,0.929356,0.0246742,0.463948,0.536052
119,268.456,1,1.60626,0.909555,0.387093,21.4557,5.17571,28.6039,0.172102,0.207409,0.734427,0.934059,0.0246144,0.464218,0.535782
120,265.909,1,1.63187,0.889196,0.392988,21.701,4.88211,29.4531,0.167023,0.191163,0.65559,0.935763,0.0251915,0.4652,0.5348
121,271.167,1,1.74281,0.839891,0.377353,21.4546,4.87171,29.2,0.17067,0.197714,0.625317,0.925991,0.0255035,0.482933,0.517067
122,265.201,1,1.67917,0.864711,0.395528,21.668,4.77634,29.1087,0.173051,0.208867,0.644579,0.921619,0.0243259,0.481352,0.518648
123,267.367,1,1.63765,0.884527,0.390105,21.7597,4.68331,28.8131,0.165632,0.209024,0.632583,0.919873,0.0248536,0.476237,0.523763
124,267.837,1,1.83383,0.803068,0.34618,22.2055,4.61477,30.3888,0.171046,0.214962,0.625993,0.878218,0.0242538,0.461837,0.538163
125,275.254,1,2.03766,0.715465,0.297846,21.9595,4.59898,29.9852,0.17897,0.210136,0.643798,0.763006,0.0244142,0.433634,0.566366
126,283.903,1,2.15399,0.660445,0.287383,21.8451,4.93783,28.5796,0.179249,0.224516,0.658131,0.695517,0.025013,0.383007,0.616993
127,291.991,1,2.22373,0.620331,0.280506,21.942,4.73437,27.173,0.186262,0.228238,0.679746,0.580495,0.025607,0.341256,0.658744
128,285.743,1,2.21386,0.633775,0.284526,21.6084,4.80229,27.7037,0.175759,0.23002,0.696813,0.715799,0.025052,0.385902,0.614098
129,277.187,1,2.18702,0.634474,0.291932,21.4447,4.96567,29.1755,0.176592,0.227688,0.692325,0.702713,0.0239129,0.376429,0.623571
130,273.252,1,2.08028,0.665075,0.316806,21.6726,4.89147,29.7681,0.168866,0.220009,0.708641,0.803223,0.0239056,0.362775,0.637225
131,272.806,1,2.06458,0.675008,0.311704,21.571,4.83306,30.7216,0.170667,0.216595,0.720335,0.793042,0.023809,0.361473,0.638527
132,273.63,1,2.17581,0.628332,0.300216,21.7713,4.62665,31.6576,0.178491,0.243567,0.656756,0.787747,0.0237049,0.36561,0.63439
133,281.334,1,2.18406,0.626378,0.278447,21.5909,4.73659,30.8662,0.183188,0.227609,0.666891,0.728006,0.0247059,0.330588,0.669412
134,277.817,1,2.28923,0.606276,0.263424,21.6994,4.79086,30.3357,0.17485,0.244243,0.662152,0.775843,0.0245107,0.3436,0.6564
135,281.193,1,2.32457,0.548189,0.299573,21.4183,4.84329,29.1981,0.17005,0.260352,0.730486,0.826884,0.0245996,0.2914,0.7086
136,273.004,1,2.25542,0.598223,0.311189,21.3086,4.95184,30.3158,0.16829,0.244511,0.726163,0.867235,0.0238538,0.386041,0.613959
137,268.043,1,2.16406,0.634152,0.312105,21.3783,4.90373,30.7422,0.169809,0.23987,0.688703,0.870726,0.0235038,0.392802,0.607198
138,261.881,1,2.0408,0.682629,0.327305,21.3122,4.70713,29.5413,0.170622,0.227892,0.638413,0.860938,0.0230113,0.398307,0.601693
139,274.013,1,2.15567,0.633225,0.311031,21.491,4.85272,29.3105,0.171389,0.229671,0.630389,0.813894,0.0242691,0.361741,0.638259
140,278.297,1,2.19711,0.587241,0.326852,21.1766,4.89655,28.0511,0.176278,0.220919,0.638586,0.728562,0.0245913,0.309788,0.690212
141,281.448,1,2.07591,0.621498,0.358597,21.4747,4.77662,27.8977,0.16834,0.204403,0.666863,0.70047,0.0251108,0.305516,0.694484
142,289.122,1,2.28267,0.534329,0.342823,21.3607,4.96804,27.5489,0.163821,0.221686,0.71233,0.667862,0.0256527,0.27214,0.72786
143,285.392,1,2.34481,0.524879,0.324186,20.9507,4.95177,27.4628,0.164064,0.218952,0.728113,0.725751,0.0252182,0.298467,0.701533
144,296.582,1,2.48359,0.502576,0.297966,20.8245,5.09779,27.6559,0.174193,0.245293,0.760786,0.747276,0.0262106,0.315261,0.684739
145,292.757,1,2.53646,0.471922,0.30121,20.9278,5.11026,26.8133,0.166632,0.261371,0.776463,0.787398,0.0256127,0.292761,0.707239
146,288.697,1,2.64222,0.446617,0.29183,21.5715,4.83984,28.4053,0.169354,0.266449,0.703728,0.797677,0.0253987,0.320896,0.679104
147,288.631,1,2.67742,0.456638,0.253396,21.3109,4.794,29.2264,0.175508,0.251149,0.733794,0.760425,0.0252998,0.337462,0.662538
148,281.879,1,2.47704,0.565527,0.230108,20.8094,5.05369,27.7309,0.183469,0.226453,0.756717,0.834852,0.0250109,0.43293,0.56707
149,283.455,1,2.41564,0.604247,0.250324,20.9197,4.97893,27.6442,0.18292,0.23808,0.735388,0.885304,0.0254012,0.526745,0.473255
150,279.433,1,2.23635,0.665022,0.270667,20.8472,5.20979,27.4282,0.184142,0.246899,0.710705,0.920618,0.0250689,0.52603,0.47397
151,276.43,1,2.15229,0.680391,0.286366,21.0328,5.17498,27.0211,0.182747,0.239608,0.692014,0.901098,0.024614,0.461567,0.538433
152,278.89,1,2.1862,0.653617,0.30371,21.2594,5.01281,26.2611,0.178113,0.253604,0.646548,0.886412,0.0248077,0.45649,0.54351
153,281.282,1,2.20001,0.661855,0.288579,21.0065,4.67023,26.2201,0.181153,0.243387,0.642393,0.89838,0.0253924,0.494975,0.505025
154,269.411,1,1.94386,0.783454,0.301506,21.0128,5.04449,26.5683,0.180858,0.225029,0.650484,0.907766,0.0241827,0.522311,0.477689
155,266.041,1,1.83866,0.828253,0.317946,21.1209,4.95502,26.7759,0.172117,0.226862,0.603076,0.908478,0.0241523,0.508601,0.491399
156,268.617,1,1.7562,0.860028,0.333747,21.2019,5.17917,26.6085,0.1767,0.225249,0.644528,0.915006,0.0242598,0.493935,0.506065
157,273.317,1,1.73538,0.868484,0.331955,21.3601,5.16938,26.9412,0.179091,0.216187,0.688828,0.920014,0.0248137,0.477951,0.522049
158,269.56,1,1.60967,0.942609,0.349035,21.6106,4.97325,26.5202,0.180407,0.22432,0.712822,0.937363,0.0244556,0.499528,0.500472
159,268.241,1,1.63692,0.922785,0.363843,21.7076,5.12888,26.3959,0.177476,0.219388,0.690844,0.94716,0.0248964,0.500008,0.499992
160,272.68,1,1.62394,0.924649,0.360885,21.5464,5.04508,26.6846,0.172178,0.213045,0.662244,0.930433,0.0252505,0.499984,0.500016
161,273.197,1,1.72097,0.870963,0.350068,21.1695,5.20374,25.9758,0.173804,0.213381,0.634274,0.938941,0.0256867,0.500437,0.499563
162,271.762,1,1.67707,0.893887,0.365407,21.6228,5.10361,25.6511,0.170888,0.214342,0.588233,0.928891,0.0255388,0.504857,0.495143
163,266.187,1,1.71559,0.873895,0.365111,21.6563,4.99495,25.0799,0.169551,0.21,0.610069,0.923643,0.0246615,0.507573,0.492427
164,255.469,1,1.8259,0.824581,0.35525,21.8566,5.01802,27.4508,0.177214,0.218617,0.582133,0.939591,0.0236099,0.518773,0.481227
165,261.351,1,1.76184,0.861287,0.349409,21.88,4.99567,27.172,0.17623,0.219751,0.567938,0.932191,0.0242351,0.515228,0.484772
166,265.195,1,1.78272,0.856308,0.332491,21.6364,4.85254,27.9787,0.175716,0.234556,0.512712,0.946605,0.0253317,0.517809,0.482191
167,264.203,1,1.81366,0.841925,0.332076,21.5983,4.99226,27.4541,0.17443,0.239548,0.561758,0.935495,0.0244437,0.518397,0.481603
168,264.731,1,1.80606,0.843579,0.331316,21.4774,4.95902,27.9688,0.18268,0.23779,0.581724,0.956075,0.0250251,0.517864,0.482136
169,261.519,1,1.74579,0.871051,0.345502,21.4878,4.99436,27.2477,0.179267,0.233508,0.59132,0.962403,0.0250613,0.517857,0.482143
170,263.947,1,1.67578,0.899449,0.363888,21.6122,4.88688,26.7581,0.177735,0.229663,0.601824,0.967678,0.0257371,0.517857,0.482143
171,264.824,1,1.68798,0.890339,0.375557,21.841,4.94082,26.5282,0.176894,0.234155,0.572374,0.95813,0.0253829,0.517857,0.482143
172,257.417,1,1.67392,0.895802,0.364807,21.8087,4.85204,27.2121,0.174419,0.220573,0.613013,0.95186,0.0241138,0.51791,0.48209
173,256.625,1,1.63026,0.926369,0.359894,21.8472,4.68362,26.8188,0.179241,0.226891,0.620374,0.957731,0.0240851,0.517891,0.482109
174,257.016,1,1.64969,0.906428,0.3707,21.4396,4.96189,26.0541,0.174725,0.228963,0.598602,0.951831,0.0240492,0.499234,0.500766
175,265.06,1,1.67853,0.900267,0.363077,21.4335,4.97816,25.4638,0.173662,0.229337,0.623129,0.947323,0.0247478,0.517858,0.482142
176,260.521,1,1.61247,0.922286,0.356332,20.8913,5.16623,26.0407,0.181956,0.237111,0.634637,0.961457,0.0244292,0.482144,0.517856
177,263.08,1,1.63454,0.924468,0.33866,20.9924,5.01679,26.7324,0.176623,0.228389,0.659293,0.943533,0.0241489,0.487259,0.512741
178,262.477,1,1.6433,0.912451,0.356008,21.03,5.04039,26.252,0.166311,0.217737,0.676626,0.926606,0.0238014,0.501199,0.498801
179,266.717,1,1.62987,0.915174,0.366261,20.9508,5.16187,26.3341,0.170292,0.221244,0.693197,0.919446,0.0239585,0.502339,0.497661
180,262.908,1,1.71827,0.873812,0.345744,21.325,4.94609,25.7169,0.173064,0.225788,0.663597,0.917747,0.0235206,0.490369,0.509631
181,264.794,1,1.67223,0.895218,0.359294,21.4409,5.16098,25.9982,0.173812,0.225393,0.690331,0.928697,0.0238361,0.485029,0.514971
182,265.906,1,1.65139,0.90068,0.379078,21.3815,5.18655,25.6935,0.172251,0.220712,0.608947,0.906222,0.0240819,0.502511,0.497489
183,263.263,1,1.65017,0.912067,0.355278,21.4593,5.08621,25.7537,0.173481,0.221572,0.573644,0.918978,0.0241857,0.493653,0.506347
184,274.613,1,1.70493,0.877443,0.354075,21.4147,5.25858,24.2849,0.178711,0.240077,0.617343,0.902354,0.0247365,0.484003,0.515997
185,271.398,1,1.64737,0.901148,0.380838,21.3288,5.33181,24.1332,0.185349,0.254624,0.604761,0.940875,0.024894,0.481631,0.518369
186,268.159,1,1.68652,0.89156,0.364652,21.4393,5.32387,24.7742,0.173816,0.23848,0.61737,0.936834,0.0246791,0.500659,0.499341
187,271.025,1,1.74656,0.866215,0.358196,21.2959,5.23025,24.1936,0.168319,0.240889,0.570407,0.942129,0.0256519,0.500007,0.499993
188,264.918,1,1.82896,0.829089,0.340283,21.1082,5.40202,25.3654,0.168193,0.238393,0.585863,0.946737,0.0249192,0.500021,0.499979
189,263.85,1,1.84789,0.817587,0.346577,21.2243,5.49177,25.1673,0.17013,0.242486,0.598803,0.951478,0.0248185,0.500007,0.499993
190,256.726,1,1.82025,0.831323,0.34346,21.1711,5.39491,25.1673,0.17405,0.24335,0.614371,0.958272,0.0240571,0.500001,0.499999
