Cl_vs_V_abscissa,Cl_vs_V_spline,Cl_vs_V_regression,V_vs_Cl_abscissa,V_vs_Cl_spline,V_vs_Cl_regression
0.492253,0.135928,0.153266,0.240914,0.0241312,0.0790924
0.505433,0.145268,0.15756,0.252478,0.0162928,0.082594
0.518612,0.154608,0.161854,0.264043,0.0110452,0.0860956
0.531792,0.163948,0.166148,0.275608,0.00650822,0.0895973
0.544971,0.170314,0.170443,0.287173,0.00759967,0.0930989
0.55815,0.174333,0.174737,0.298738,0.0120006,0.0966005
0.57133,0.178351,0.179031,0.310302,0.0180207,0.100102
0.584509,0.18237,0.183325,0.321867,0.0269071,0.103604
0.597688,0.17487,0.18762,0.333432,0.0374869,0.107105
0.610868,0.167148,0.191914,0.344997,0.0499979,0.110607
0.624047,0.159425,0.196208,0.356562,0.064139,0.114109
0.637226,0.151703,0.200502,0.368126,0.0795698,0.11761
0.650406,0.14398,0.204797,0.379691,0.0957467,0.121112
0.663585,0.136258,0.209091,0.391256,0.112537,0.124614
0.676765,0.128536,0.213385,0.402821,0.129622,0.128115
0.689944,0.117739,0.217679,0.414386,0.146667,0.131617
0.703123,0.0970859,0.221973,0.42595,0.163712,0.135119
