iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,a
150,326.079,1,10.2863,35.064,17.7186,49.7022,0.26417,0.31344,0.86278,0.32492,1.00241
151,321.887,1,10.4123,34.9574,18.132,49.9715,0.271501,0.297319,0.841377,0.341821,0.978831
152,328.825,1,10.2984,35.489,18.1706,49.9946,0.270255,0.299993,0.864115,0.348761,1.00731
153,323.225,1,10.3039,35.2384,19.2834,48.438,0.269229,0.305328,0.796606,0.332292,0.995031
154,320.887,1,10.3227,34.8945,18.0023,48.9604,0.266671,0.322509,0.867637,0.332436,0.964381
155,322.115,1,10.3516,34.4997,18.3597,47.8318,0.270007,0.311971,0.869737,0.308217,0.983966
156,329.109,1,10.3963,34.2904,18.6329,46.0477,0.270886,0.348095,0.924736,0.316856,0.99088
157,324.775,1,10.3065,34.3357,17.8239,46.9195,0.269827,0.32946,0.991803,0.283404,0.989686
158,323.683,1,10.3091,34.3774,17.5395,45.8429,0.267905,0.329204,0.99586,0.255309,0.993043
159,322.179,1,10.3311,33.497,18.9508,49.4895,0.272362,0.321566,0.986027,0.268489,0.980502
160,317.677,1,10.3216,33.4686,19.6863,48.739,0.269605,0.303312,0.940053,0.264831,0.976118
161,317.323,1,10.317,33.3199,19.6051,49.7343,0.266238,0.301652,0.901375,0.270319,0.979958
162,320.256,1,10.3143,33.7396,19.7627,48.5424,0.266125,0.303008,0.876072,0.252435,1.00861
163,321.663,1,10.3601,34.325,18.5753,48.702,0.270108,0.306875,0.931124,0.231583,1.0157
164,322.238,1,10.3389,34.5268,18.4632,48.8627,0.267454,0.306772,0.949449,0.265981,0.997023
165,313.198,1,10.3164,34.9198,18.3139,48.8372,0.267842,0.303555,1.01235,0.250718,0.951726
166,310.872,1,10.3363,34.7057,18.1993,49.2882,0.271595,0.28961,0.984976,0.256644,0.945377
167,303.275,1,10.3526,34.2806,18.1376,48.8215,0.27333,0.292199,1.02036,0.229549,0.918911
168,306.471,1,10.349,34.306,18.5222,48.8523,0.270584,0.283483,0.994076,0.248659,0.930381
169,305.635,1,10.329,34.0191,19.2821,49.7418,0.270149,0.280462,0.960967,0.27605,0.918495
170,309.532,1,10.3278,34.4654,19.1988,49.6032,0.270557,0.27652,0.920953,0.282817,0.941567
171,314.854,1,10.3634,34.823,19.142,49.8552,0.273153,0.263575,0.935909,0.290318,0.967481
172,314.483,1,10.221,34.9672,19.2155,48.7462,0.26805,0.282199,0.932639,0.279809,0.964343
173,314.458,1,10.2551,35.2144,18.9873,49.4481,0.266186,0.281758,0.869347,0.273724,0.978499
174,312.32,1,10.3294,36.0575,17.4484,46.3731,0.271505,0.27568,0.893516,0.285229,0.95831
175,327.224,1,10.3417,35.3565,17.5603,47.6426,0.272366,0.278218,0.933526,0.301501,1.01894
176,321.845,1,10.3226,35.7129,17.8966,45.4991,0.270184,0.277143,0.969586,0.316156,0.980237
177,327.411,1,10.319,35.7243,17.7602,47.6978,0.267415,0.277306,0.978472,0.348613,0.994874
178,316.746,1,10.3142,34.5543,18.77,49.5166,0.265149,0.269385,0.975054,0.324645,0.956649
179,314.85,1,10.2928,34.56,18.9233,47.3031,0.267996,0.269414,0.932782,0.333613,0.948117
180,315.666,1,10.3869,33.3676,18.7716,46.0125,0.269489,0.281338,0.987265,0.329366,0.939352
181,317.305,1,10.3502,34.1438,18.7896,44.179,0.264466,0.277389,1.02323,0.342454,0.94165
182,323.044,1,10.3124,33.4513,18.9725,45.4756,0.263633,0.297796,1.02038,0.3063,0.981459
183,322.79,1,10.425,33.7214,18.5731,45.8347,0.267345,0.302195,0.987207,0.301063,0.978622
184,318.926,1,10.298,34.2104,19.3226,45.0971,0.261136,0.270292,0.920619,0.31677,0.988624
185,327.039,1,10.2738,34.7049,18.9365,44.9472,0.264611,0.24927,0.911849,0.347718,1.02088
186,315.451,1,10.3444,34.8673,18.7613,46.2836,0.266803,0.257224,0.990852,0.348811,0.943607
187,317.079,1,10.3185,34.7266,18.1955,47.9599,0.26219,0.270263,1.00258,0.35413,0.943499
188,320.148,1,10.3524,34.4025,18.8391,47.0789,0.263511,0.249887,1.03502,0.357403,0.963233
189,317.268,1,10.3275,34.4985,18.723,46.2304,0.268151,0.257143,1.00835,0.347044,0.950195
190,323.253,1,10.3348,34.5103,19.1406,46.8666,0.266688,0.245793,0.986157,0.362672,0.984412
191,326.395,1,10.3082,33.3342,19.9535,46.0573,0.266539,0.241737,0.965285,0.375291,1.0013
192,331.365,1,10.2747,33.1749,19.8073,48.2476,0.266118,0.257143,0.917217,0.380314,1.0242
193,331.376,1,10.3201,33.1917,20.3795,48.6828,0.261586,0.264132,0.889749,0.397592,1.02073
194,331.675,1,10.3132,33.2934,19.8332,46.7725,0.263874,0.28003,0.940736,0.406154,1.00105
195,333.745,1,10.2734,33.5933,20.5983,49.5444,0.262646,0.290903,0.927804,0.379595,1.01901
196,331.342,1,10.3288,34.0468,20.0033,49.4378,0.261537,0.295701,0.926119,0.355965,1.01429
197,322.425,1,10.3142,34.1402,19.8604,49.9298,0.256776,0.284096,0.933342,0.330687,0.985973
198,322.084,1,10.3111,33.6373,19.5171,48.5264,0.259785,0.270369,1.01537,0.343643,0.972127
199,330.372,1,10.3797,34.0033,19.7644,50.475,0.267463,0.259468,0.976651,0.35252,1.01877
200,332.901,1,10.4074,33.725,19.3813,46.2657,0.268553,0.246684,0.961857,0.365055,1.03632
201,322.926,1,10.3614,33.9786,19.2366,46.4575,0.264888,0.251281,0.921147,0.357667,0.992352
202,332.013,1,10.3549,33.9454,18.864,44.1658,0.260403,0.244972,0.933262,0.392446,1.03088
203,325.008,1,10.2772,34.5357,19.5118,45.6479,0.257072,0.24135,0.875282,0.410203,1.00088
204,319.835,1,10.3826,33.9441,20.0255,44.3676,0.258711,0.257629,0.867348,0.3986,0.969477
205,317.573,1,10.2954,34.0223,19.5388,44.9387,0.25865,0.275018,0.862809,0.407227,0.946837
206,322.418,1,10.3563,33.9755,19.6464,46.1327,0.258526,0.287362,0.89854,0.411958,0.957597
207,333.787,1,10.3562,33.9289,18.8637,47.3327,0.262662,0.293115,0.933948,0.449361,0.992401
208,321.992,1,10.3733,33.1852,18.9402,47.5382,0.258915,0.281011,0.95328,0.410357,0.950696
209,325.761,1,10.3431,33.262,19.0585,49.0044,0.258906,0.293305,0.949575,0.395885,0.969118
210,322.575,1,10.2388,33.2143,19.4123,49.4876,0.252476,0.311103,0.906269,0.435272,0.941851
211,325.785,1,10.3795,33.357,18.9319,46.9812,0.259007,0.278259,0.953496,0.409163,0.976302
212,325.768,1,10.3994,33.5644,18.4495,46.8015,0.260404,0.294582,0.968783,0.399763,0.963533
213,319.43,1,10.4223,33.999,17.7958,48.2062,0.263747,0.320566,0.952334,0.383033,0.927175
214,325.221,1,10.2973,34.2512,17.507,49.6076,0.259373,0.30785,0.935448,0.397963,0.960712
215,324.245,1,10.3132,34.01,17.9954,48.9644,0.262215,0.312578,0.918332,0.371821,0.964282
216,322.141,1,10.3525,33.1408,20.0106,47.2155,0.263067,0.294551,0.858716,0.362792,0.974561
217,323.233,1,10.3588,33.4668,19.4923,45.259,0.261221,0.310375,0.828918,0.335345,0.989987
218,325.734,1,10.3759,32.9515,19.138,45.9981,0.258982,0.308424,0.878187,0.340853,0.994358
219,323.769,1,10.4204,33.1688,19.0078,46.8245,0.264655,0.291076,0.828527,0.344988,0.996128
220,323.423,1,10.3652,33.0431,20.0402,45.3522,0.255274,0.301191,0.907817,0.35299,0.978169
221,325.869,1,10.3395,33.0628,19.9187,43.8216,0.254495,0.304593,0.897168,0.360479,0.988208
222,318.13,1,10.3971,33.1184,20.4606,47.8993,0.256947,0.31903,0.928943,0.330792,0.948508
223,325.517,1,10.3276,33.1515,19.8533,47.2469,0.262242,0.330613,0.957768,0.318068,0.978924
224,326.04,1,10.2834,32.7003,20.4193,47.2714,0.260856,0.309458,0.964523,0.318752,0.990546
225,323.208,1,10.3615,33.1325,19.9065,46.2509,0.260373,0.343787,0.862695,0.311729,0.98247
226,325.565,1,10.3506,33.2137,19.8075,50.0634,0.265576,0.344228,0.865805,0.279356,1.00488
227,329.103,1,10.346,33.5217,19.3348,48.2079,0.266179,0.351941,0.895027,0.301933,1.00356
228,333.321,1,10.3846,33.4624,18.7596,48.2797,0.2647,0.344221,0.940855,0.289264,1.02895
229,338.511,1,10.419,34.691,17.5036,48.3883,0.268471,0.358472,0.904382,0.280282,1.05967
230,340.922,1,10.3906,34.9964,16.9855,48.7479,0.264745,0.369081,0.923175,0.291057,1.06163
231,339.844,1,10.3737,33.8734,17.8905,49.0964,0.266695,0.349409,0.91699,0.279326,1.07045
232,330.246,1,10.3243,34.5763,17.9336,46.3361,0.262056,0.353953,0.914138,0.286246,1.01578
233,327.181,1,10.363,33.8475,18.537,46.5617,0.265632,0.342417,0.933696,0.256027,1.02818
234,330.645,1,10.3102,33.2659,19.2206,48.0288,0.264774,0.344683,0.987291,0.266187,1.01966
235,334.247,1,10.3038,32.8851,19.2881,49.7403,0.261614,0.360754,0.984994,0.266841,1.03387
236,331.703,1,10.3411,32.6787,19.1984,51.1268,0.263159,0.356831,0.978478,0.253665,1.02958
237,321.664,1,10.3708,33.2104,18.3326,50.649,0.263254,0.361382,0.968909,0.226885,0.998991
238,319.844,1,10.3598,33.587,18.2902,50.3664,0.261524,0.346356,0.940792,0.237158,0.988251
239,320.9,1,10.3827,33.6716,17.5908,49.5907,0.258556,0.353938,0.994308,0.257036,0.97276
240,321.899,1,10.3444,33.7398,18.2558,48.596,0.264146,0.328664,0.925465,0.2299,1.0231
241,324.591,1,10.3932,34.2121,17.4865,47.2661,0.26609,0.339056,0.913502,0.25084,1.00964
242,319.845,1,10.3557,34.8378,17.1017,47.3328,0.26628,0.341484,0.922485,0.237112,0.990564
243,320.558,1,10.2912,33.8464,17.2097,49.0082,0.263356,0.35333,0.949389,0.226029,0.993679
244,324.317,1,10.299,33.0943,17.6404,48.6882,0.264205,0.345459,1.05349,0.242474,0.99068
245,331.274,1,10.2664,32.5353,17.5534,51.3245,0.26284,0.348849,1.0898,0.281161,0.999674
246,335.824,1,10.3065,32.521,19.2942,49.4772,0.26547,0.3282,1.0691,0.260098,1.04599
247,335.4,1,10.3001,32.6845,19.4857,48.0222,0.266053,0.32703,1.04499,0.245789,1.05605
248,328.591,1,10.2953,31.7027,19.8105,47.8223,0.26783,0.313962,1.05933,0.266205,1.01048
249,323.67,1,10.3528,32.9983,18.1955,47.3039,0.268519,0.324754,0.978608,0.253831,0.997996
250,326.158,1,10.382,33.9162,18.4892,45.6819,0.267522,0.334709,0.932165,0.242644,1.02097
251,331.768,1,10.369,34.0296,18.0648,47.9076,0.263806,0.328075,0.939276,0.271811,1.03797
252,326.943,1,10.352,33.0926,18.4838,48.9963,0.265414,0.343079,0.915107,0.25036,1.02074
253,322.412,1,10.4006,33.3026,18.1593,49.0989,0.267874,0.354091,0.930133,0.246536,0.990886
254,321.939,1,10.3568,33.915,18.6187,49.7964,0.261531,0.357086,0.899353,0.227202,1.00749
255,326.242,1,10.3327,33.5599,17.8845,49.9785,0.264343,0.38453,0.91884,0.245644,1.00301
256,329.575,1,10.3757,33.8513,17.6268,50.8148,0.262529,0.353774,0.955159,0.227698,1.03971
257,328.338,1,10.3204,34.1009,16.6905,50.5918,0.26237,0.356705,0.964628,0.237401,1.02415
258,319.928,1,10.2828,34.6648,16.9444,51.8262,0.2627,0.343298,1.00288,0.218574,0.99187
259,326.912,1,10.3067,35.1495,16.8833,52.4507,0.265493,0.333179,1.00164,0.208966,1.03849
260,318.759,1,10.3202,34.5922,16.5548,51.016,0.267793,0.316506,1.02613,0.203843,1.00164
261,319.351,1,10.3676,34.3503,17.0921,50.368,0.263288,0.308118,1.01638,0.233884,0.992481
262,319.305,1,10.2662,34.3806,17.7888,50.5975,0.266374,0.299427,1.0102,0.210628,1.01091
