rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_p,bsmm_y1,bsmm_y2
6,11,0.164599868169941,0.0450409880411911,-0.0146056755644411,0.0369381246334389,0,2,2
7,11,0.196013179866551,-0.0134809225106087,-0.0457746611206044,-0.0432505932460466,0,2,2
8,11,0.143402042254265,0.00917666029828042,-0.0518462325718844,-0.0666510355552779,0,2,2
9,11,0.26629637155572,0.0173385628539894,0.76029366977347,0.0200448517564548,0,2,2
10,11,0.176932145688378,0.018100679975004,0.430469380947794,0.0038114308242795,0,2,2
1,12,-0.0652843666447888,0.00106362817863534,0.719739971600475,0.017649689532543,0,2,2
2,12,-0.0619906201982775,0.0197156046598505,0.824332260348785,0.0437836764664037,0,2,2
3,12,-0.0918867957093968,0.00445780618436245,0.218506951642694,0.0247348734734867,0,2,2
4,12,-0.0377743781320295,0.0179632367647327,0.758025829487138,-0.0338554102913989,0,2,2
5,12,-0.0545771707006512,0.0220650068862949,0.466440605840184,-0.0435056120151216,0,2,2
6,12,-0.0664448162835184,-0.0292816736319384,0.263673670941924,0.0463878203058876,0,2,2
7,12,-0.118700088608783,-0.0154195718430082,0.21810291006912,-0.0306408584654211,0,2,2
8,12,-0.14603090099018,-0.0119382130762382,0.20872143073914,0.0248826334561471,0,2,2
9,12,-0.0340741416605474,-0.0127369757979248,0.563422263085203,0.0475598788917875,0,2,2
10,12,-0.093786127967091,0.00905874478357219,0.513495748187455,0.0374567187923848,0,2,2
1,13,-0.023125383751314,0.00895090418718668,-0.474674321150962,-0.0162199119190661,0,2,2
2,13,0.0185074744171388,-0.0217493040545515,0.643138080808734,0.0209979562739525,0,2,2
3,13,0.0398357041057172,0.0291679841706404,1.21597861258353,-0.0115543000558809,0,2,2
4,13,-0.0659387216295573,0.00834492715040386,-0.0307680073522458,-0.0612277326926869,0,2,2
5,13,-0.0582136385172355,-0.0059450677160614,-0.168178944923739,0.0661117703036031,0,2,2
6,13,0.0111930031261788,0.0177816313615305,0.153243646643048,-0.0336122723857208,0,2,2
7,13,0.0238157348449351,-0.0064450463858127,1.09158251582117,0.0568430818392335,0,2,2
8,13,-0.047257080596825,0.0149804522074573,0.44358404723063,0.0106311957287253,0,2,2
9,13,-0.0269469464407687,-0.0138936049183148,-0.0278189256850589,-0.0219187052580864,0,2,2
10,13,0.0277690357457957,-0.0131507390634251,0.738407370395876,0.0319453042218124,0,2,2
1,14,0.183933282725843,0.0281439568026216,-0.934299128843108,-0.0132389693478778,0,2,2
2,14,0.179684262135847,0.0199216396830041,-0.711286990797016,0.0429099687492551,0,2,2
3,14,0.125628674597226,-0.0269615522366542,-1.01965786716353,-0.0414016378861152,0,2,2
4,14,0.0953992071943311,-0.001929561895519,-1.39250418677612,-0.0757805632905778,0,2,2
5,14,0.111182098190984,-0.0426717357455442,-1.15180003108817,-0.0336046381687772,0,2,2
6,14,0.163904893260155,0.0264733601575105,-0.594345490783594,0.00105985543715336,0,2,2
7,14,0.123671584723509,0.0282452281121022,-1.40319457045332,-0.00765929693792205,0,2,2
8,14,0.126971103545034,0.00399159469444379,-0.956825817078642,-0.00629668484797711,0,2,2
9,14,0.146786753234303,0.0474332987393739,-1.61275830376783,0.0278784324385624,0,2,2
10,14,0.203426061131488,0.0271697143757716,-0.687949710736916,0.0156712344455615,0,2,2
