iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,b
33,317.436,1,5.17299,18.4214,8.33539,23.2051,0.263627,0.316284,0.729428,0.288345,0.0256803
34,320.528,1,5.21925,18.6622,8.4054,22.7655,0.256425,0.325931,0.746411,0.287896,0.0260461
35,323.898,1,5.2055,18.29,8.31684,23.5256,0.257438,0.334851,0.748247,0.290047,0.0263176
36,318.751,1,5.19936,18.4766,8.66393,24.3651,0.260694,0.334925,0.829694,0.293148,0.0251548
37,320.167,1,5.17143,18.4053,8.33665,24.2853,0.26149,0.323134,0.82657,0.280162,0.0256328
38,315.845,1,5.17653,18.1856,7.89614,23.7853,0.262164,0.344405,0.807895,0.297526,0.0247051
39,317.479,1,5.18363,18.2802,8.07277,23.4676,0.257277,0.329715,0.815553,0.311751,0.0249342
40,323.432,1,5.177,17.9919,7.94727,22.6423,0.258714,0.335427,0.839075,0.313601,0.0255185
41,319.662,1,5.19219,18.1131,8.12635,22.452,0.256369,0.3437,0.840658,0.295282,0.0251978
42,316.937,1,5.17747,18.5819,7.67514,22.4593,0.260621,0.326804,0.780626,0.285423,0.025329
43,313.754,1,5.16908,18.677,8.05932,23.7462,0.274538,0.332959,0.761025,0.30249,0.0245472
44,316.354,1,5.19996,18.4489,8.26394,23.7945,0.258422,0.308051,0.763807,0.315461,0.025262
45,309.378,1,5.14055,18.4416,8.06949,23.6332,0.27257,0.329866,0.771293,0.314227,0.0238456
46,319.386,1,5.12876,18.4713,7.70684,23.3275,0.264995,0.339288,0.774728,0.343489,0.0247923
47,318.053,1,5.13294,18.0993,7.68613,23.2072,0.262392,0.3407,0.77284,0.361854,0.0244701
48,318.223,1,5.11567,18.6777,7.25655,22.5841,0.264226,0.321633,0.781977,0.323652,0.0250224
49,319.029,1,5.10817,18.6482,7.67036,23.8941,0.258016,0.306608,0.800368,0.349102,0.0249817
50,320.877,1,5.13976,18.6294,7.46897,23.1242,0.260286,0.307101,0.862129,0.375603,0.0247007
51,325.265,1,5.14316,18.977,7.15284,23.7688,0.264985,0.312397,0.840949,0.37471,0.0252341
52,315.977,1,5.15443,18.7321,7.26258,23.3558,0.266429,0.302488,0.864753,0.335151,0.0246586
53,317.883,1,5.1366,18.7357,7.13853,23.3647,0.26802,0.283651,0.821849,0.317378,0.0252685
54,322.787,1,5.15189,18.7683,7.29671,24.444,0.256547,0.286142,0.871511,0.330787,0.0257051
55,316.283,1,5.13368,18.9071,7.41427,25.4758,0.267511,0.282311,0.851652,0.309979,0.0250324
56,315.668,1,5.12974,18.6806,7.60501,25.5075,0.267042,0.265732,0.891328,0.277253,0.0253972
57,314.48,1,5.13518,18.8706,7.17167,25.3533,0.259794,0.254605,0.871964,0.280505,0.0255669
58,317.883,1,5.12915,18.537,7.22629,25.785,0.253073,0.235631,0.900782,0.269079,0.0264556
59,315.077,1,5.11082,18.1696,7.97429,26.4206,0.263823,0.240834,0.940504,0.258266,0.0257868
60,315.01,1,5.13102,18.5776,7.56258,26.555,0.265813,0.253123,0.947969,0.261342,0.025571
61,308.64,1,5.1353,18.528,7.67514,26.4426,0.269217,0.234647,0.914177,0.270673,0.0249702
62,312.824,1,5.13987,18.5476,7.53557,26.3113,0.266199,0.233749,0.883086,0.27961,0.0255571
63,312.241,1,5.16301,18.4463,7.4553,26.4662,0.26246,0.24918,0.883335,0.295761,0.0251396
64,309.614,1,5.14174,18.8907,7.34502,25.7748,0.266311,0.231147,0.921088,0.328196,0.0244499
65,306.298,1,5.13241,18.1605,7.46594,25.8007,0.260725,0.250544,0.900894,0.319606,0.0239709
66,309.656,1,5.14124,18.9966,7.50428,24.7736,0.259851,0.264514,0.849376,0.285864,0.0248307
67,304.849,1,5.12561,18.7718,7.43101,24.7125,0.263734,0.242467,0.873976,0.275344,0.0244989
68,303.157,1,5.15531,18.6267,7.22738,24.8339,0.251999,0.229957,0.820263,0.269011,0.0249824
69,312.94,1,5.09153,18.5711,7.43395,25.3632,0.268624,0.22129,0.850464,0.268606,0.0259803
70,301.096,1,5.09152,18.8329,7.12639,26.1476,0.264632,0.227321,0.829576,0.283548,0.0242787
71,296.316,1,5.10362,19.2392,6.78589,26.1262,0.264725,0.22284,0.781331,0.253613,0.0243983
72,300.843,1,5.14512,19.652,6.58087,24.9481,0.252227,0.230356,0.705022,0.29137,0.0249272
73,300.591,1,5.11841,19.5473,6.82297,23.7867,0.252637,0.235717,0.746136,0.318058,0.0242212
74,298.642,1,5.11014,19.6363,6.62149,24.4547,0.256804,0.228756,0.723643,0.360938,0.0237242
75,301.294,1,5.1089,19.9145,6.4422,24.5239,0.262918,0.223073,0.697233,0.400463,0.0238227
76,291.878,1,5.12594,20.232,6.41119,23.3199,0.250665,0.22034,0.649072,0.392982,0.0231941
77,300.213,1,5.1019,20.6217,6.14585,23.2721,0.258681,0.217956,0.696507,0.380333,0.0239922
78,303.258,1,5.13131,20.6637,6.13455,23.1291,0.252347,0.227113,0.647452,0.406253,0.0243664
79,297.192,1,5.10378,19.9493,6.41282,24.4342,0.258581,0.243137,0.60211,0.450518,0.023178
80,304.807,1,5.09643,20.1037,6.41598,24.5689,0.274036,0.230953,0.571405,0.440158,0.0243682
81,301.891,1,5.14102,20.1196,6.48715,24.616,0.268178,0.246869,0.525087,0.425412,0.0243314
82,303.182,1,5.11249,20.0885,6.43351,24.3074,0.266486,0.24608,0.619743,0.412449,0.0239939
83,302.666,1,5.13842,20.2689,6.31858,24.245,0.254899,0.248335,0.592578,0.441795,0.0239891
84,305.228,1,5.14151,19.825,6.88913,23.3468,0.262391,0.2577,0.630578,0.403591,0.0241582
85,303.18,1,5.16996,20.1035,6.99846,24.192,0.262644,0.258245,0.636718,0.397897,0.0239357
86,299.401,1,5.1621,20.1725,6.78781,23.9933,0.257866,0.247127,0.620814,0.407544,0.0236721
87,303.985,1,5.13256,20.146,6.4632,23.7719,0.259234,0.26264,0.560734,0.443367,0.0240672
88,296.88,1,5.18542,19.6572,6.58689,24.5513,0.251,0.29916,0.565544,0.401206,0.0232538
89,304.421,1,5.15792,19.9513,6.83125,24.5701,0.253344,0.289877,0.556945,0.397824,0.0242562
90,302.453,1,5.16001,19.6845,6.82238,23.8881,0.254826,0.269523,0.645212,0.381955,0.0239038
91,300.871,1,5.1336,19.3147,6.95821,24.8851,0.257975,0.292463,0.645968,0.361726,0.0235265
92,303.3,1,5.1496,19.5035,7.0376,24.3563,0.255578,0.286995,0.693665,0.367846,0.0236275
93,309.945,1,5.16172,20.087,6.72857,24.1794,0.249412,0.300447,0.668607,0.371521,0.0245048
94,304.958,1,5.16206,19.7106,6.61537,23.2524,0.251759,0.287954,0.663537,0.337415,0.0243772
95,302.835,1,5.14625,19.8942,6.65717,23.3802,0.249336,0.287582,0.638981,0.337295,0.024234
96,297.312,1,5.15954,19.806,6.63002,22.4159,0.252438,0.279621,0.669429,0.301686,0.0240096
97,302.098,1,5.13905,19.5011,6.62553,23.4775,0.258923,0.277901,0.678688,0.330638,0.0239607
98,299.411,1,5.15853,19.7087,6.70074,23.0996,0.257067,0.262236,0.694832,0.393484,0.0232131
99,294.754,1,5.16231,19.9505,6.72566,23.9213,0.251996,0.286417,0.657241,0.411251,0.0224901
100,298.252,1,5.16839,19.8744,6.59538,23.1167,0.25249,0.300484,0.646583,0.367834,0.0232345
101,298,1,5.15106,19.6449,6.79145,23.6905,0.254887,0.282967,0.657454,0.36914,0.023212
102,305.963,1,5.15211,19.8215,6.87469,23.8658,0.261874,0.290007,0.653392,0.398413,0.0237828
103,303.911,1,5.14357,19.7038,6.6333,25.1893,0.258466,0.290034,0.645511,0.372272,0.0238511
104,312.509,1,5.12583,19.7058,6.25244,25.7113,0.266249,0.291921,0.604633,0.360421,0.0251541
105,303.893,1,5.16253,20.1006,6.48214,25.7314,0.252733,0.261102,0.627739,0.337243,0.0249264
106,311.235,1,5.17035,19.908,6.62249,26.2334,0.262624,0.251202,0.618114,0.334085,0.0258646
107,306.532,1,5.14285,19.9971,6.17931,25.2302,0.263677,0.246684,0.606845,0.348225,0.0251603
108,307.629,1,5.09062,20.7282,5.90657,25.5349,0.266817,0.233571,0.617803,0.365065,0.025158
109,304.224,1,5.14052,20.5887,5.78516,24.1905,0.255729,0.230314,0.597627,0.3958,0.0247981
110,302.642,1,5.09617,20.3722,5.53185,26.5504,0.268471,0.214787,0.539036,0.358082,0.0254037
111,303.439,1,5.09601,20.6845,5.34135,26.0009,0.269426,0.239437,0.547934,0.354881,0.025061
112,307.88,1,5.11021,20.8475,5.25425,25.3879,0.263241,0.236408,0.561053,0.325129,0.0260332
113,300.657,1,5.1065,21.0317,5.2126,24.4678,0.257264,0.221239,0.644666,0.296253,0.0251993
114,304.494,1,5.09737,20.6566,5.34983,25.4629,0.257246,0.220178,0.636998,0.272286,0.026104
115,301.541,1,5.10279,20.785,5.15266,25.4321,0.259147,0.236565,0.636198,0.24354,0.0260521
116,300.467,1,5.11275,21.0034,4.9793,26.2983,0.258774,0.213138,0.625852,0.264809,0.0258849
117,297.204,1,5.12532,21.4676,5.24262,25.5211,0.250079,0.204164,0.583633,0.285899,0.0256675
118,301.001,1,5.14279,21.0353,5.30451,25.0378,0.255276,0.220803,0.57681,0.296143,0.0257589
119,312.714,1,5.11878,21.2622,5.20948,24.7621,0.258873,0.219117,0.613219,0.283442,0.0272356
120,304.442,1,5.10451,20.8125,5.22291,24.6265,0.254231,0.236048,0.596005,0.293518,0.0258315
121,297.181,1,5.10237,20.6252,5.41875,26.0791,0.262129,0.223662,0.597238,0.279832,0.0251249
122,286.571,1,5.09088,20.7808,5.297,25.7047,0.264473,0.206053,0.615252,0.267284,0.024087
123,291.533,1,5.1443,21.4211,5.14403,25.9888,0.259677,0.222593,0.620361,0.252944,0.0247484
124,293.307,1,5.12514,21.1904,5.28435,25.8309,0.25587,0.232488,0.646551,0.242177,0.0248281
125,287.487,1,5.13481,21.0839,5.30294,25.4088,0.258725,0.243832,0.626566,0.224466,0.0242615
126,285.663,1,5.11295,21.2392,5.04904,25.7514,0.269246,0.235336,0.603853,0.222285,0.0241664
127,290.851,1,5.12436,21.4072,5.17454,25.9364,0.269638,0.242456,0.626616,0.216066,0.0247101
128,284.972,1,5.13921,21.3065,5.07136,26.8743,0.270638,0.243439,0.639844,0.199063,0.024198
129,285.223,1,5.12658,21.3792,5.24717,25.9365,0.269854,0.234834,0.666273,0.203414,0.0240945
130,285.685,1,5.12791,21.4998,5.12072,25.4873,0.265477,0.232868,0.631907,0.202948,0.0244427
131,282.344,1,5.12488,21.4023,5.21517,25.8424,0.260117,0.233181,0.609554,0.195825,0.024326
132,277.962,1,5.1032,21.1723,4.9807,25.7957,0.264562,0.227135,0.596457,0.200145,0.023809
133,283.316,1,5.12027,21.3045,4.91544,26.0101,0.268253,0.221741,0.601599,0.209603,0.0243503
134,285.368,1,5.122,21.5751,4.90353,25.941,0.272413,0.235151,0.622148,0.213736,0.0241721
135,285.474,1,5.16183,21.8147,5.00412,26.3192,0.272283,0.22664,0.62332,0.196729,0.024655
136,285.716,1,5.09599,21.39,5.04531,26.1204,0.274131,0.233798,0.599572,0.204755,0.0244382
137,279.836,1,5.10267,21.0757,5.13147,26.0732,0.273147,0.225236,0.641117,0.188308,0.0239061
138,277.973,1,5.10699,21.3567,4.94656,25.2869,0.268949,0.220311,0.713425,0.203314,0.0231952
139,278.91,1,5.09827,21.2467,4.85106,26.2327,0.271266,0.231669,0.659408,0.190245,0.0236187
140,278.812,1,5.11097,21.2447,4.81845,26.7009,0.266424,0.242011,0.68383,0.176889,0.0236551
141,277.917,1,5.11952,21.5294,4.98358,26.7656,0.263202,0.234745,0.679574,0.169461,0.0238456
142,287.155,1,5.09496,21.3495,4.95096,26.8415,0.261654,0.235217,0.695706,0.189478,0.0245105
143,282.217,1,5.12433,21.5741,4.99846,27.6104,0.2642,0.241698,0.668132,0.199417,0.0237914
144,271.59,1,5.11749,21.2792,4.91029,27.3521,0.257948,0.224339,0.647644,0.178364,0.0233263
145,279.069,1,5.13189,21.4484,5.20168,26.9618,0.26765,0.217164,0.686945,0.1753,0.0241081
146,277.006,1,5.13955,20.983,5.30986,26.8434,0.261199,0.226149,0.676353,0.189555,0.0235711
147,277.019,1,5.11258,20.9598,5.31126,27.6428,0.25834,0.228577,0.676394,0.19173,0.0234784
148,285.109,1,5.13358,21.0363,5.42416,27.1507,0.269105,0.228838,0.716339,0.183752,0.0243296
149,287.211,1,5.12696,21.0919,5.28118,26.6806,0.263032,0.234498,0.694623,0.184256,0.0246599
150,291.224,1,5.07735,20.9363,5.34284,27.1547,0.269201,0.226982,0.725535,0.191734,0.024866
151,286.053,1,5.10483,21.1485,5.07012,27.6873,0.268983,0.21746,0.67946,0.171492,0.0252703
152,287.505,1,5.11971,21.3616,5.20414,27.3493,0.259154,0.215235,0.689627,0.172623,0.025327
153,285.174,1,5.1031,21.0409,5.17599,26.9354,0.259805,0.211282,0.638797,0.155239,0.0257327
154,285.245,1,5.12373,20.6733,5.09159,27.0103,0.246992,0.226165,0.675592,0.162655,0.0253248
155,284.219,1,5.10085,20.8326,5.1375,26.9882,0.252018,0.224662,0.683707,0.164896,0.0250092
156,280.865,1,5.12486,20.4888,5.38806,26.7361,0.255008,0.256238,0.716041,0.160371,0.0240278
157,280.369,1,5.11224,20.7503,5.28174,26.933,0.273998,0.237421,0.679625,0.184838,0.023683
158,286.724,1,5.09562,20.6858,5.41164,26.8288,0.273701,0.230505,0.747292,0.164553,0.0246284
159,284.138,1,5.10074,21.0521,5.11841,27.6187,0.272575,0.222745,0.809016,0.14077,0.0247372
160,286.397,1,5.11502,20.3677,5.47807,27.6744,0.265272,0.213321,0.83043,0.161562,0.0247104
161,283.267,1,5.10616,20.5254,5.30153,27.9753,0.260948,0.208066,0.799317,0.168893,0.0244071
162,290.161,1,5.11588,20.6697,5.37224,26.9683,0.259101,0.211876,0.770723,0.190053,0.024965
163,297.526,1,5.11631,20.8554,5.04428,26.9512,0.265677,0.214747,0.721979,0.219439,0.0255196
164,312.306,1,5.12393,21.3054,5.15797,26.3397,0.256364,0.213015,0.744729,0.236009,0.0273285
165,312.33,1,5.10674,21.6115,4.88097,26.1252,0.257647,0.234117,0.748015,0.231198,0.0269648
166,307.566,1,5.10244,21.2333,4.95798,26.2971,0.257994,0.24389,0.746777,0.233019,0.0261296
167,305.783,1,5.07143,21.1112,5.2062,26.4979,0.272807,0.218261,0.745969,0.253222,0.0257644
168,299.01,1,5.09537,21.0671,5.10429,27.2323,0.26716,0.217352,0.731034,0.244615,0.0251711
169,289.009,1,5.07566,21.1633,5.08241,27.7341,0.263461,0.222545,0.652543,0.243758,0.0242253
170,283.498,1,5.14075,21.1919,5.22953,28.2971,0.256767,0.232205,0.627759,0.20216,0.0243828
171,288.611,1,5.12505,21.2486,5.14732,28.4158,0.260208,0.246069,0.6495,0.216114,0.0243979
172,282.469,1,5.10809,21.1634,5.11655,27.8021,0.263626,0.257762,0.61466,0.203343,0.0237857
173,287.627,1,5.09329,21.5433,4.9879,27.869,0.254593,0.239994,0.590988,0.183503,0.0252735
174,280.379,1,5.10947,22.1245,4.78873,28.0759,0.263926,0.226704,0.567707,0.201577,0.0243286
175,282.496,1,5.1194,21.6893,4.82227,28.3321,0.262828,0.246857,0.549548,0.214238,0.024214
176,284.52,1,5.11153,21.9052,4.97803,26.9009,0.268689,0.248108,0.574926,0.241586,0.0237522
177,284.888,1,5.11841,21.8227,4.86252,26.8434,0.263895,0.244817,0.553583,0.251545,0.0238959
178,278.908,1,5.1357,21.747,4.82064,26.853,0.258958,0.234939,0.560808,0.193638,0.0242856
179,277.345,1,5.11172,21.7939,4.96033,26.7724,0.272651,0.227982,0.571369,0.200816,0.02377
180,287.278,1,5.09098,21.5267,4.67324,27.5422,0.271835,0.24486,0.556656,0.21668,0.0246062
181,283.53,1,5.08891,22.0927,4.67929,27.559,0.261129,0.247991,0.582119,0.19408,0.0244077
182,285.428,1,5.09029,21.5929,4.79747,27.8242,0.259336,0.236361,0.592781,0.197975,0.0247405
183,290.437,1,5.09885,21.4238,4.89347,27.6307,0.257017,0.242121,0.609754,0.217311,0.0249155
184,276.233,1,5.09995,21.3033,4.82866,26.8799,0.263758,0.228242,0.570972,0.211787,0.0235535
185,284.327,1,5.11175,21.5811,4.99363,27.1161,0.263312,0.224413,0.617549,0.259943,0.0236603
186,289.077,1,5.10207,21.6925,4.89107,28.8453,0.264069,0.225959,0.650521,0.299563,0.0235364
187,292.337,1,5.09014,21.9462,5.01359,29.7622,0.271584,0.220557,0.676148,0.274102,0.0240845
188,289.283,1,5.10705,21.4087,5.21819,29.6809,0.267284,0.219423,0.654177,0.278212,0.023842
189,288.675,1,5.12211,21.7101,5.07525,28.5754,0.268306,0.220819,0.642348,0.270851,0.02392
190,278.229,1,5.13224,21.7749,5.10933,27.0999,0.263831,0.213814,0.623248,0.237501,0.023346
191,280.471,1,5.12551,21.6033,4.98796,26.9815,0.262025,0.213178,0.638233,0.249436,0.0234053
192,283.338,1,5.09569,21.7146,4.64991,27.7886,0.268233,0.208369,0.623938,0.244267,0.0238784
193,289.911,1,5.10799,21.5915,4.7282,28.3993,0.264477,0.209534,0.637715,0.255326,0.024544
194,279.715,1,5.07925,21.3733,4.78469,27.5824,0.266634,0.20972,0.661697,0.227231,0.0234583
195,288.497,1,5.0779,21.2892,5.08652,28.1323,0.255267,0.20545,0.657518,0.221034,0.0248841
196,278.915,1,5.11328,21.5772,4.95852,28.8669,0.253229,0.213936,0.642115,0.20876,0.0238956
197,278.907,1,5.10013,21.6539,4.77353,29.7797,0.256713,0.21045,0.603556,0.17787,0.0246908
198,276.233,1,5.108,21.7075,4.94667,29.6382,0.2562,0.201226,0.635482,0.164289,0.0246204
199,278.8,1,5.09302,21.6515,4.8486,29.5673,0.270684,0.224987,0.631342,0.156836,0.0245301
200,282.291,1,5.11615,21.5748,4.59775,28.6822,0.267757,0.228378,0.634606,0.136262,0.0255437
201,276.268,1,5.11486,21.5227,5.0206,28.2752,0.259597,0.242993,0.600462,0.126694,0.0250118
202,276.199,1,5.14796,21.604,5.08264,27.4121,0.260164,0.240425,0.596461,0.150214,0.0245066
203,276.461,1,5.13695,21.7815,4.96065,27.9921,0.259507,0.250035,0.58232,0.15537,0.0243786
204,282.287,1,5.13227,21.7215,4.99206,27.5645,0.256847,0.240212,0.627562,0.153965,0.0250567
205,283.68,1,5.12662,21.5936,4.76295,27.4582,0.247081,0.2218,0.622089,0.17665,0.025214
206,287.094,1,5.09766,21.5279,4.61559,27.9434,0.256395,0.225255,0.614804,0.175375,0.0255186
207,288.242,1,5.07864,21.0775,4.73155,28.6783,0.25591,0.222371,0.701347,0.195981,0.02479
208,282.676,1,5.10327,21.1999,4.9717,28.5341,0.25923,0.22437,0.738408,0.156105,0.0246723
209,285.19,1,5.1237,21.4095,5.02604,28.647,0.249376,0.218019,0.70455,0.140241,0.0258239
210,284.583,1,5.08083,21.5145,4.65433,28.4909,0.263808,0.22653,0.64705,0.111784,0.0265057
211,273.481,1,5.10672,21.8102,4.62441,28.6857,0.266921,0.227207,0.620798,0.104275,0.0254621
212,267.23,1,5.10152,21.8711,4.55323,28.1551,0.262642,0.219032,0.615341,0.101312,0.0249303
213,271.287,1,5.10416,22.1891,4.57693,28.6348,0.274428,0.236618,0.608343,0.113666,0.0246576
214,279.214,1,5.11672,22.4741,4.46008,28.7021,0.270556,0.224604,0.585764,0.126726,0.0256627
215,280.851,1,5.1307,22.188,4.7399,28.5591,0.271736,0.233039,0.690941,0.11536,0.0255054
216,280.383,1,5.12043,21.9202,4.66258,29.0223,0.272444,0.224186,0.661069,0.124104,0.025449
217,279.726,1,5.09478,21.747,4.73483,29.1952,0.276578,0.229814,0.642697,0.119787,0.0254469
218,274.345,1,5.12212,21.5554,4.82709,29.1068,0.268784,0.225977,0.665657,0.122143,0.0247428
219,266.222,1,5.11116,21.8195,4.87019,28.873,0.267939,0.227908,0.611654,0.116656,0.0241071
220,266.107,1,5.11726,22.0875,4.80647,29.0189,0.258223,0.222324,0.599378,0.118293,0.0243325
221,269.001,1,5.12489,22.2365,4.68372,28.8297,0.260236,0.21706,0.577887,0.126001,0.0246889
222,263.883,1,5.10983,21.9835,4.72306,29.4739,0.260839,0.21561,0.588043,0.119096,0.024172
223,274.042,1,5.11472,22.1766,4.81019,28.8387,0.26099,0.23555,0.581668,0.129644,0.0248683
224,274.331,1,5.09887,21.3387,4.83315,28.8863,0.263608,0.231063,0.603759,0.123577,0.0249861
225,266.966,1,5.14501,21.9158,4.95225,28.9397,0.256031,0.22164,0.620446,0.120631,0.0243236
226,273.921,1,5.12883,21.7421,4.75544,30.1259,0.271022,0.219826,0.634789,0.116328,0.025115
227,268.649,1,5.11657,21.6094,4.85447,29.4971,0.269291,0.242078,0.643013,0.104856,0.0243935
228,265.565,1,5.1308,21.6136,4.896,29.1849,0.271489,0.229846,0.67291,0.0920711,0.024487
229,263.625,1,5.11307,21.7148,4.69344,29.2914,0.264261,0.242533,0.593554,0.0930335,0.0245307
230,264.038,1,5.13577,21.989,4.63356,28.9183,0.264874,0.256483,0.60119,0.0890211,0.0245282
231,259.371,1,5.12631,22.1831,4.68479,29.5802,0.262648,0.251264,0.578649,0.0781379,0.0246184
232,260.301,1,5.08145,21.678,4.66516,29.5402,0.264792,0.238643,0.584381,0.0863428,0.0244391
233,258.702,1,5.0847,21.2943,4.66842,29.3837,0.257748,0.22628,0.579928,0.0807075,0.0248011
234,253.376,1,5.10522,21.1871,4.78227,29.357,0.264034,0.218512,0.627558,0.0703336,0.0243818
235,264.25,1,5.12591,21.3564,4.80474,29.1435,0.267234,0.247767,0.647044,0.0739159,0.0250292
236,267.447,1,5.08111,21.3506,4.75041,29.4465,0.273643,0.231265,0.66707,0.0745805,0.025398
237,263.739,1,5.10459,21.5343,4.92608,29.3324,0.278178,0.21988,0.685129,0.0742959,0.0249921
238,273.804,1,5.09839,21.5349,4.69883,28.9448,0.274169,0.228249,0.652111,0.0869564,0.025845
239,273.734,1,5.12655,21.4884,4.87813,28.774,0.261264,0.221078,0.675231,0.092047,0.0258144
240,273.31,1,5.11689,21.6495,4.72249,28.9846,0.265954,0.238226,0.618317,0.0987496,0.0254668
241,271.435,1,5.14831,21.8877,4.96317,29.0746,0.269848,0.222425,0.634412,0.0980998,0.0254255
242,262.864,1,5.15182,21.7502,5.02267,29.2718,0.264759,0.23232,0.627509,0.0976631,0.0242517
243,267.371,1,5.12638,21.9342,4.87761,29.3978,0.264055,0.218268,0.636199,0.113682,0.024455
244,269.56,1,5.1302,21.7483,4.93698,29.4469,0.257107,0.220076,0.713917,0.109826,0.0244908
245,268.511,1,5.12558,21.3547,5.08918,29.7349,0.253423,0.229844,0.684684,0.114616,0.0242441
246,277.11,1,5.10211,21.5428,5.04496,29.4509,0.264917,0.228367,0.703302,0.119622,0.024936
247,281.167,1,5.08568,21.5595,5.17268,28.9138,0.261909,0.215147,0.702253,0.116367,0.0257968
248,283.921,1,5.1337,21.2201,5.23412,28.8097,0.264204,0.226098,0.690284,0.113981,0.0262084
249,284.77,1,5.15118,21.4789,5.03632,28.4877,0.263263,0.240148,0.684211,0.127996,0.0256818
250,272.187,1,5.14893,21.6701,5.04606,28.1911,0.26538,0.227668,0.611876,0.118133,0.0248853
251,282.252,1,5.14191,21.7757,5.10385,28.7803,0.265133,0.219977,0.640334,0.131193,0.0257731
252,282.666,1,5.12949,21.304,5.1005,28.431,0.267049,0.216206,0.651415,0.154505,0.0251882
253,275.308,1,5.11492,21.5906,4.86572,28.9622,0.269086,0.205397,0.639734,0.144225,0.0246985
254,284.41,1,5.11968,21.4321,4.8041,29.6923,0.268424,0.211556,0.648562,0.158093,0.0254544
255,288.111,1,5.13556,22.2627,5.10628,29.7114,0.270778,0.20892,0.653044,0.187794,0.0252757
256,294.444,1,5.1138,22.0757,4.9014,29.7372,0.269119,0.230324,0.619824,0.191858,0.025876
257,296.089,1,5.09224,21.6036,4.71775,29.1826,0.262453,0.239863,0.639504,0.194572,0.0258557
258,285.67,1,5.0733,21.4826,4.77937,29.7257,0.259307,0.231175,0.619324,0.164858,0.0253194
