rep,ID,standEta_Cl_simulated,standEta_V1_simulated,standEta_Q_simulated,filter
3,11,0.597003,0.188321,-0.300713,0
4,11,0.987311,0.516245,0.390712,0
5,11,0.714568,0.875523,-0.476213,0
6,11,0.8361,0.895403,-0.221185,0
7,11,0.693344,0.115841,-0.0451221,0
8,11,0.926504,0.490749,0.161961,0
9,11,0.597831,0.121432,-0.202676,0
10,11,0.657636,0.316476,-0.169527,0
1,12,0.0589047,0.930183,0.769711,0
2,12,-0.18848,0.198237,0.669447,0
3,12,-0.090299,0.654155,0.466291,0
4,12,-0.169003,0.354996,1.34645,0
5,12,0.0245229,0.686796,1.34887,0
6,12,-0.0245839,0.412374,1.2812,0
7,12,-0.00675913,-0.185755,1.68722,0
8,12,-0.053174,1.40279,0.944816,0
9,12,-0.259782,0.882537,0.135478,0
10,12,-0.0229493,0.534035,0.539251,0
1,13,0.198613,0.916826,-0.108096,0
2,13,0.257181,-0.0770958,0.482217,0
3,13,0.201147,0.401178,0.471802,0
4,13,-0.0560538,-0.116422,0.0397607,0
5,13,0.21861,0.855059,0.0367905,0
6,13,0.0903962,0.798642,-0.438812,0
7,13,-0.0854968,-0.203605,-0.0866369,0
8,13,0.11235,0.245604,0.400074,0
9,13,0.218826,0.744593,0.19562,0
10,13,0.0627561,0.798194,-0.606857,0
1,14,0.726228,0.420329,-1.11614,0
2,14,0.496519,0.0512,-1.56718,0
3,14,0.744383,0.633518,-1.22159,0
4,14,0.520719,-0.101175,-1.55719,0
5,14,0.757645,0.641382,-0.986249,0
6,14,0.553207,0.0385435,-1.07372,0
7,14,0.868118,0.746515,-1.41681,0
8,14,0.698879,0.538886,-1.44008,0
9,14,0.529744,0.00161891,-1.20042,0
10,14,0.775648,0.762494,-1.04331,0
