iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,a
62,329.99,1,8.51083,45.3059,10.0621,177.427,0.266618,0.252391,0.444135,0.991645,0.0665298
63,324.143,1,8.43261,45.0951,9.40191,188.997,0.267997,0.254259,0.43312,0.920401,0.0653594
64,329.294,1,8.53715,46.2311,9.68729,187.806,0.264545,0.26622,0.450836,0.947426,0.0661452
65,326.93,1,8.50434,45.6453,9.8031,192.652,0.256274,0.274853,0.422946,0.957553,0.0658435
66,325.77,1,8.45291,45.2766,9.98827,191.793,0.254278,0.295619,0.412808,0.980437,0.0648354
67,327.623,1,8.46761,45.3328,9.85352,184.578,0.27328,0.302513,0.402885,0.938773,0.0652033
68,332.735,1,8.59657,44.694,9.99539,173.54,0.277328,0.270576,0.444068,0.98107,0.0668757
69,330.021,1,8.56719,44.9274,10.4069,184.805,0.273082,0.274108,0.412527,0.898905,0.0671791
70,332.335,1,8.65474,45.6437,10.2907,181.783,0.273192,0.270975,0.410491,0.903907,0.0680979
71,331.03,1,8.69833,46.2626,9.93216,184.711,0.263432,0.272184,0.39993,0.893025,0.0683315
72,334.859,1,8.70363,46.9039,9.35617,175.407,0.264146,0.283898,0.368242,0.912777,0.0698692
73,334.392,1,8.70115,46.4854,9.3974,166.323,0.261961,0.273409,0.378686,0.945284,0.0695267
74,325.902,1,8.74311,46.0943,9.39963,160.942,0.267412,0.277427,0.376654,0.951642,0.0661661
75,329.87,1,8.82592,45.467,9.70609,154.035,0.263134,0.27558,0.382039,1.01209,0.0670279
76,321.242,1,8.76411,46.2197,9.38311,152.363,0.271406,0.277412,0.344919,1.04804,0.0643612
77,325.54,1,8.75222,45.8662,9.12047,155.003,0.271198,0.256187,0.383109,1.04343,0.065624
78,318.94,1,8.74784,46.1234,9.46937,156.748,0.266921,0.265218,0.358985,1.05398,0.0637425
79,320.639,1,8.72846,45.3987,9.86996,162.29,0.270244,0.275747,0.377134,1.00643,0.0638003
80,320.551,1,8.66224,45.221,9.75357,164.541,0.276243,0.264544,0.356976,0.996463,0.0645609
81,312.924,1,8.68774,44.2983,9.86527,150.855,0.270354,0.271912,0.340233,1.09848,0.0615477
82,327.133,1,8.72089,43.5515,9.96344,150.317,0.270597,0.269013,0.412323,1.06422,0.0648349
83,338.99,1,8.69274,44.2457,9.96945,141.627,0.268192,0.265832,0.368793,1.12753,0.0701146
84,339.865,1,8.7468,44.0344,10.3537,146.347,0.275867,0.268408,0.402028,1.11009,0.0689379
85,337.799,1,8.85539,45.5981,10.3781,158.318,0.271055,0.279125,0.359585,1.06017,0.0696444
86,334.353,1,8.87731,45.2484,10.1138,149.255,0.268261,0.266643,0.380868,1.0946,0.0679975
87,334.901,1,8.86687,45.8697,10.2889,145.474,0.264334,0.270835,0.371375,1.10252,0.0683629
88,313.807,1,9.10573,44.7871,10.2414,128.761,0.253722,0.275138,0.370884,1.04974,0.0619289
89,315.484,1,9.15038,44.7254,10.347,124.564,0.252856,0.279585,0.364013,1.06497,0.0623966
90,320.875,1,9.02391,44.7827,10.2428,122.405,0.247511,0.290567,0.395371,1.11273,0.0628428
91,313.872,1,9.07482,44.2229,9.87536,126.808,0.251156,0.297339,0.412041,1.04591,0.0604418
92,314.389,1,9.08742,44.1717,9.91077,124.645,0.244944,0.290497,0.415324,1.06215,0.0608261
93,327.127,1,9.04823,44.6618,10.1293,126.773,0.251023,0.28808,0.438262,1.03351,0.0645957
94,323.25,1,9.09103,44.248,9.99388,127.787,0.251196,0.282722,0.428077,1.04075,0.0636249
95,327.101,1,9.12518,44.5829,10.0112,124.953,0.261648,0.265484,0.422258,1.02256,0.0654219
96,318.224,1,9.14456,44.6983,10.3913,122.732,0.263151,0.264116,0.440247,1.02503,0.0620604
97,319.424,1,9.1124,44.8084,10.1555,130.977,0.26579,0.274978,0.446491,1.00152,0.0620758
98,328.018,1,9.12331,44.9844,10.3263,130.609,0.262228,0.275734,0.471804,1.04057,0.0641395
99,316.356,1,9.10697,45.0286,10.7509,126.731,0.267654,0.290438,0.421994,1.0616,0.0609141
100,324.888,1,9.08228,44.3847,10.682,117.259,0.277583,0.305636,0.377443,1.07918,0.0634425
101,321.111,1,9.13475,43.7312,10.4713,113.144,0.265755,0.285385,0.392384,1.09104,0.0626835
102,321.24,1,9.1122,44.3627,10.2117,117.706,0.276941,0.285074,0.40122,1.07649,0.062279
103,313.932,1,9.04215,44.2246,10.4364,125.528,0.275795,0.297958,0.366923,1.07871,0.0603676
104,326.757,1,8.98788,43.9735,10.5959,128.327,0.286266,0.294129,0.388494,1.05643,0.06397
105,323.63,1,9.01013,44.3796,10.8749,123.544,0.281231,0.283496,0.401493,1.10265,0.0627424
106,321.788,1,8.97561,44.1283,11.0268,128.313,0.289342,0.278765,0.41506,1.09397,0.0618096
107,327.105,1,8.93559,43.8921,10.6535,126.351,0.287614,0.275498,0.42789,1.14078,0.0630416
108,332.234,1,8.8422,44.2073,10.6406,127.071,0.290149,0.263615,0.442084,1.14911,0.064705
109,328.619,1,8.87782,44.2648,10.6509,125.545,0.285232,0.262863,0.441735,1.14555,0.0637191
110,322.601,1,8.88576,43.7323,10.0433,130.115,0.280163,0.247328,0.3951,1.10749,0.0640849
111,334.434,1,8.79998,43.9618,10.184,133.002,0.285027,0.267495,0.398479,1.16609,0.0663383
112,328.466,1,8.81105,44.3261,10.1529,129.304,0.287128,0.270902,0.381008,1.17602,0.0644615
113,324.307,1,8.77856,44.6115,9.94297,124.816,0.277455,0.277457,0.390637,1.18807,0.0628527
114,328.848,1,8.96638,43.6947,10.5594,123.377,0.268033,0.297421,0.412794,1.13076,0.0639762
115,329.125,1,9.05382,43.9951,10.62,126.441,0.258365,0.317549,0.407551,1.10545,0.0641313
116,330.56,1,9.10732,43.893,10.5546,116.273,0.260373,0.288928,0.3655,1.19224,0.0657531
117,328.668,1,9.11508,44.4012,10.8557,116.955,0.24502,0.293324,0.368274,1.1679,0.0656684
118,326.344,1,9.09803,44.5093,10.461,118.173,0.247756,0.296275,0.342729,1.14305,0.0655658
119,329.853,1,9.05675,44.0941,10.4098,117.379,0.251553,0.282054,0.36986,1.17476,0.0661012
120,324.851,1,9.0918,43.5443,10.8283,114.836,0.252245,0.293474,0.36931,1.11785,0.0644833
121,320.004,1,9.07317,43.1766,10.959,118.165,0.248592,0.291631,0.364001,1.13034,0.0630985
122,318.655,1,9.05404,44.2237,11.3026,117.081,0.247959,0.291656,0.33479,1.16324,0.0631838
123,324.003,1,9.20797,44.5877,10.8683,115.758,0.236647,0.297955,0.329167,1.08722,0.0660177
124,326.711,1,9.26676,44.201,10.7222,113.149,0.24066,0.29746,0.360861,1.04781,0.0662737
125,314.687,1,9.2004,44.3588,10.6565,116.125,0.237978,0.298552,0.368552,1.07058,0.0619333
126,318.685,1,9.08846,44.2813,10.5593,115.269,0.253839,0.284685,0.379042,1.09219,0.0626398
127,326.001,1,9.19603,44.694,10.6128,102.514,0.253161,0.28883,0.381225,1.13353,0.0645558
128,323.386,1,9.24475,44.6642,10.2146,100.486,0.252938,0.288322,0.405027,1.11511,0.0632981
129,319.157,1,9.22999,44.5649,10.3848,104.189,0.258573,0.285474,0.38668,1.11407,0.0622376
130,322.254,1,9.15845,44.0846,10.5586,108.004,0.259922,0.2921,0.408572,1.12143,0.0624265
131,314.495,1,9.13602,43.8391,10.4494,106.37,0.254907,0.296685,0.366541,1.13966,0.0608025
132,320.175,1,9.15164,44.4282,10.5118,103.934,0.251533,0.280841,0.358754,1.1677,0.063228
133,318.624,1,9.0857,44.5028,10.3945,113.533,0.256114,0.281084,0.320879,1.12024,0.0639752
134,315.124,1,9.14319,44.6712,10.6,118.092,0.257939,0.275853,0.344442,1.0997,0.0624315
135,316.323,1,9.21616,45.4749,10.5157,113.276,0.258962,0.276313,0.359722,1.13817,0.0620633
136,319.931,1,9.07141,44.1109,10.4586,107.797,0.257808,0.287481,0.367751,1.16021,0.0625396
137,322.562,1,9.16112,44.083,10.2793,110.171,0.259,0.300085,0.359675,1.15077,0.0632442
138,323.506,1,9.17203,44.256,9.79321,103.059,0.261272,0.283688,0.364561,1.10468,0.0642534
139,323.007,1,9.1143,44.3902,9.88164,113.99,0.258465,0.292995,0.394843,1.08326,0.0633275
140,330.067,1,9.21218,44.7086,9.79378,107.536,0.256167,0.296117,0.407538,1.07732,0.0654336
141,329.556,1,9.32703,44.4308,9.99416,102.7,0.240001,0.312777,0.448356,1.06749,0.0645419
142,319.819,1,9.26225,43.4506,9.77228,106.146,0.242701,0.285718,0.467,1.0479,0.0618631
143,322.605,1,9.25278,44.3216,9.93085,103.588,0.253757,0.29031,0.473767,1.06788,0.061915
144,322.254,1,9.2147,43.7638,10.1124,99.3315,0.2505,0.267927,0.440494,1.09729,0.0630658
145,318.579,1,9.23875,43.8637,10.7446,104.045,0.256665,0.276223,0.442066,1.07778,0.0615064
146,317.757,1,9.18305,43.86,10.7001,109.267,0.25601,0.28671,0.434827,1.09555,0.0609356
147,326.803,1,9.22835,43.2869,10.6686,105.663,0.253748,0.287177,0.422086,1.05182,0.0646035
148,321.526,1,9.27531,43.5977,10.7009,99.5174,0.259972,0.285519,0.43146,1.08649,0.0621879
149,313.012,1,9.29347,43.3008,10.8143,99.4704,0.253491,0.292167,0.392299,1.0643,0.0605234
150,317.954,1,9.25838,43.3173,10.9265,101.55,0.259322,0.288244,0.399152,1.04471,0.0620293
151,322.189,1,9.41979,43.588,10.5174,100.697,0.256668,0.287695,0.412543,1.02304,0.0634141
152,329.529,1,9.35764,43.8246,10.569,100.667,0.252851,0.299031,0.433035,1.06708,0.0647962
153,323.876,1,9.44739,43.317,11.0751,92.2292,0.259664,0.301065,0.396879,1.07452,0.0633478
154,326.839,1,9.48239,42.0605,10.8442,82.9286,0.260211,0.313921,0.414031,1.09766,0.063332
155,326.926,1,9.52365,43.0042,10.9329,82.2348,0.26193,0.289461,0.431389,1.05142,0.0640716
156,323.776,1,9.53865,42.6646,11.2778,87.8631,0.259369,0.299446,0.410312,1.02581,0.0634967
157,306.84,1,9.5734,43.0073,10.5991,85.3712,0.26427,0.279704,0.389154,1.0191,0.0590668
158,321.724,1,9.50417,43.0093,10.5086,85.5346,0.266213,0.266429,0.462826,1.01796,0.0626204
159,316.202,1,9.48913,43.7141,10.7265,88.2782,0.271411,0.277473,0.444895,0.988704,0.0609226
160,321.437,1,9.54862,43.196,11.3016,92.3611,0.264294,0.272388,0.477819,0.983454,0.062415
161,321.331,1,9.54098,43.3052,11.2309,93.7705,0.264566,0.270163,0.456097,0.979677,0.0629065
162,323.103,1,9.5092,43.2615,10.9264,94.0519,0.266935,0.282806,0.411931,0.984255,0.0638849
163,314.788,1,9.47475,43.421,10.5936,93.9309,0.27352,0.293256,0.415047,0.982384,0.0605886
164,315.854,1,9.54059,44.3164,10.6184,91.8165,0.267704,0.272621,0.41359,0.981769,0.0618083
165,310.977,1,9.57922,43.9628,10.2508,90.4721,0.266597,0.2801,0.41443,0.975472,0.0600956
166,314.177,1,9.62944,43.5492,10.5515,86.7798,0.267934,0.278346,0.439409,0.934879,0.0609742
167,316.064,1,9.54871,43.5178,10.6505,87.2117,0.278943,0.271414,0.460977,0.94102,0.0609556
168,314.578,1,9.54148,43.5808,10.2792,91.2434,0.278744,0.276586,0.449667,0.898777,0.0609513
169,312.283,1,9.49107,43.9835,10.4526,98.5227,0.286119,0.277895,0.441739,0.898616,0.0601141
170,309.66,1,9.69816,43.6915,10.7634,89.5776,0.271815,0.286099,0.431331,0.912434,0.0595654
171,309.637,1,9.71519,43.5599,10.7853,85.0507,0.266792,0.291217,0.438413,0.917349,0.0593784
172,303.765,1,9.64834,43.4152,10.9132,84.7476,0.26777,0.303951,0.455314,0.913433,0.0569218
173,302.656,1,9.67112,43.6105,10.949,82.3736,0.25357,0.279003,0.447823,0.910463,0.0579297
174,306.197,1,9.72442,43.9681,10.9391,79.9786,0.256343,0.283733,0.474575,0.90749,0.0583029
175,310.577,1,9.73069,43.5224,10.5169,87.735,0.266086,0.300554,0.444434,0.855614,0.0599062
176,307.033,1,9.68162,44.0272,10.4976,84.6495,0.264965,0.299128,0.446468,0.88856,0.0585251
177,311.491,1,9.66297,44.0265,10.7003,88.3974,0.258829,0.286387,0.4704,0.929496,0.0596357
178,314.643,1,9.65121,42.3694,10.8016,83.2449,0.257552,0.281447,0.535573,0.921163,0.059759
179,312.209,1,9.63078,42.8775,11.0191,90.0313,0.261263,0.287408,0.517986,0.899393,0.0591962
180,314.27,1,9.66022,42.8951,10.5659,85.4365,0.253277,0.299205,0.503001,0.913586,0.0598744
181,317.062,1,9.67912,44.1852,10.3255,88.5838,0.249288,0.284747,0.461665,0.885592,0.0623882
182,312.179,1,9.68455,43.0384,10.4446,90.4324,0.247979,0.269597,0.470071,0.869267,0.0613604
183,305.851,1,9.6502,43.1323,10.9023,91.735,0.244802,0.269992,0.485863,0.880545,0.0590732
184,304.023,1,9.67663,42.8132,10.7643,86.5903,0.253139,0.258002,0.47344,0.886295,0.0587812
185,305.582,1,9.67742,43.4715,10.9847,87.7133,0.256479,0.250339,0.488641,0.895123,0.0590494
186,301.773,1,9.67197,43.6624,10.7432,89.8429,0.257434,0.260081,0.468108,0.91666,0.0576977
187,311.611,1,9.64037,43.72,10.9169,92.1738,0.261622,0.26057,0.527778,0.917814,0.0595106
188,302.006,1,9.63225,42.8563,11.2333,89.1255,0.256342,0.282172,0.472059,0.937922,0.0569507
189,306.265,1,9.64139,42.86,11.3524,87.2899,0.259708,0.277791,0.486702,0.961383,0.0576907
190,305.495,1,9.65444,43.1417,11.129,87.8134,0.255826,0.265189,0.505859,0.977379,0.0575133
191,301.131,1,9.65118,43.0517,11.0068,86.2997,0.250654,0.259671,0.480394,0.935593,0.0573537
192,306.476,1,9.58065,42.8488,11.0581,92.402,0.252369,0.261,0.455192,0.921509,0.0594662
193,304.18,1,9.5602,43.3153,10.7293,93.3341,0.251351,0.254103,0.437369,0.941032,0.0591876
194,303.8,1,9.53005,43.17,10.6116,90.8143,0.252371,0.260578,0.451465,0.981707,0.0581878
195,307.691,1,9.52706,43.0591,11.3092,90.4673,0.251688,0.260589,0.47809,0.963823,0.059066
196,309.911,1,9.56096,43.0548,10.8288,92.303,0.249824,0.25903,0.436702,0.965542,0.0606504
197,311.681,1,9.56049,43.401,10.7128,97.0415,0.243386,0.250263,0.424776,0.963564,0.062023
198,318.792,1,9.55894,43.5319,11.2335,96.2923,0.251092,0.248281,0.481516,0.962076,0.0629979
199,324.284,1,9.53592,43.8303,11.2166,92.6571,0.265313,0.276507,0.483182,0.983489,0.0630706
200,321.613,1,9.57343,43.1954,10.8866,88.5434,0.264553,0.255774,0.481631,0.988644,0.062918
201,320.713,1,9.57057,42.1462,11.3283,88.8539,0.255638,0.285712,0.483216,0.931416,0.0624406
202,325.611,1,9.57359,42.5283,11.3565,81.1974,0.265813,0.282244,0.46492,1.02026,0.0633174
203,317.647,1,9.56823,43.1281,11.2149,87.4582,0.260831,0.270858,0.511558,0.939084,0.0611661
204,314.286,1,9.56136,42.2415,11.2592,90.6073,0.258873,0.266248,0.5281,0.931984,0.060109
205,318.369,1,9.52653,41.984,11.3085,93.2183,0.25467,0.272107,0.552619,0.964711,0.0606417
206,319.265,1,9.53004,41.8793,11.0285,95.7566,0.25542,0.275101,0.558549,0.941209,0.0609263
207,314.965,1,9.54491,43.0742,11.1198,100.513,0.25428,0.278417,0.514837,0.94977,0.0601439
208,312.784,1,9.56498,42.5236,11.1157,95.1685,0.24984,0.25995,0.553312,0.940023,0.0596773
209,318.555,1,9.60966,43.2749,10.9964,92.5549,0.242902,0.286738,0.520959,0.987306,0.0609738
210,314.993,1,9.57619,43.2636,10.8112,93.3138,0.249497,0.291727,0.50525,0.988606,0.0597244
211,314.179,1,9.60441,43.1249,10.6886,88.9676,0.262019,0.265913,0.502641,0.976331,0.0600063
212,310.913,1,9.59557,42.8971,10.8318,87.4736,0.256564,0.271171,0.484195,0.951726,0.0595505
213,318.523,1,9.64537,43.135,11.115,85.2712,0.266346,0.286605,0.498468,0.94466,0.0609336
214,315.165,1,9.69736,43.6011,10.5251,83.6492,0.256118,0.282499,0.466756,0.889755,0.0614623
215,315.883,1,9.59421,42.7197,10.4055,82.7194,0.264677,0.279265,0.454029,0.959664,0.061072
216,322.322,1,9.55754,42.307,10.9372,84.4438,0.266494,0.279959,0.456157,0.923851,0.0633766
217,314.832,1,9.65782,42.6822,11.032,79.9031,0.268767,0.295779,0.503715,0.996923,0.0588661
218,318.119,1,9.65575,42.2423,11.2433,79.1423,0.263263,0.276661,0.493832,1.0174,0.0606469
219,313.742,1,9.64801,42.9682,10.9253,84.1297,0.259708,0.287277,0.493227,0.964857,0.0595416
220,314.354,1,9.63729,42.7553,11.2528,82.5549,0.26236,0.296682,0.503983,0.923369,0.0595577
221,315.994,1,9.66688,42.6226,11.0728,81.1608,0.258118,0.303864,0.516987,0.957693,0.0594621
222,310.395,1,9.70688,42.6716,11.2785,92.5652,0.253608,0.313903,0.529269,0.890036,0.0580479
223,318.942,1,9.78635,42.3015,11.4824,85.3816,0.258575,0.331526,0.572305,0.879923,0.0594572
224,318.949,1,9.75009,41.9353,11.5438,85.6077,0.258592,0.31345,0.582239,0.831435,0.0602931
225,312.393,1,9.75533,42.7117,11.2604,81.14,0.258438,0.315359,0.546838,0.847699,0.058592
226,312.765,1,9.78165,41.9428,11.0158,83.3072,0.272627,0.309833,0.548824,0.846107,0.0583852
227,317.426,1,9.74961,42.8888,10.7358,87.0766,0.271144,0.326761,0.554052,0.817576,0.0596204
228,309.233,1,9.78087,42.5427,11.0666,78.08,0.278076,0.292264,0.568439,0.880082,0.0572256
229,307.665,1,9.80133,43.0949,10.7407,73.6532,0.278001,0.301328,0.524919,0.885244,0.056918
230,318.551,1,9.82896,43.5365,10.3911,72.54,0.278084,0.29616,0.555737,0.875157,0.0599878
231,312.225,1,9.7939,43.2196,10.9885,73.6117,0.276718,0.285963,0.536159,0.860274,0.0588358
232,315.783,1,9.73486,43.0526,10.8621,70.7993,0.278487,0.258053,0.523321,0.902749,0.0605722
233,316.985,1,9.7581,42.5556,10.7907,68.1808,0.271397,0.240902,0.549908,0.878915,0.0615939
234,309.328,1,9.79609,42.255,11.0228,75.1438,0.266576,0.249396,0.574202,0.842316,0.0590355
235,317.814,1,9.76159,42.342,10.4898,73.809,0.264682,0.268809,0.558758,0.829651,0.0614753
236,317.401,1,9.76869,42.8957,10.6306,75.9804,0.27653,0.261433,0.558582,0.788168,0.0616627
237,300.52,1,9.77658,42.4796,10.9943,72.2909,0.278562,0.257138,0.551025,0.790789,0.0566338
238,306.58,1,9.85085,42.8336,10.8002,70.9977,0.278879,0.263361,0.560364,0.81544,0.0578346
239,302.488,1,9.81737,42.9102,11.1816,72.265,0.271307,0.267743,0.570713,0.87169,0.0560077
240,295.026,1,9.77059,43.3097,10.7404,76.093,0.277984,0.255981,0.551292,0.83906,0.0546113
241,299.541,1,9.84068,43.1843,10.758,74.79,0.268623,0.244616,0.554332,0.80843,0.0568261
242,300.759,1,9.8572,43.1258,10.4071,72.8875,0.26865,0.256554,0.541924,0.79707,0.0570965
243,303.005,1,9.85676,43.3158,10.4324,79.0643,0.261487,0.241934,0.558292,0.741946,0.0588535
244,313.456,1,9.92445,43.551,10.3769,76.4053,0.261292,0.249785,0.568956,0.701241,0.062203
245,305.109,1,9.8991,42.5176,10.7742,76.0512,0.263164,0.240045,0.561838,0.713436,0.0598003
246,302.994,1,9.89517,43.185,10.4224,76.1653,0.269174,0.225292,0.610886,0.670954,0.0593054
247,305.083,1,9.8606,43.1926,10.3964,74.0802,0.2652,0.233347,0.586608,0.679842,0.0600167
248,304.609,1,9.88787,42.7113,10.219,72.1593,0.265295,0.246392,0.596504,0.648,0.0596635
249,304.835,1,9.9554,43.3459,9.81211,72.2069,0.262831,0.26052,0.614134,0.680018,0.0586654
250,305.108,1,9.92122,43.3835,10.0339,71.6254,0.262352,0.265722,0.560776,0.719328,0.0588924
251,309.546,1,9.92986,43.2099,10.4486,76.1907,0.263264,0.270603,0.610499,0.735737,0.0591448
252,309.985,1,9.94236,43.2737,10.2253,75.6873,0.251311,0.26639,0.571114,0.691654,0.0609513
253,300.004,1,10.0056,43.05,10.2684,78.3201,0.250483,0.259383,0.524009,0.659732,0.059258
254,298.596,1,9.98899,43.1662,10.2291,71.8841,0.255977,0.269435,0.548161,0.656789,0.0579709
255,306.401,1,9.99793,44.0634,10.2602,69.3692,0.254689,0.271241,0.545902,0.757657,0.0591526
256,302.753,1,9.96758,43.8479,9.9059,71.2596,0.260275,0.289544,0.511425,0.692728,0.0586165
257,313.291,1,9.95052,42.5375,9.98903,67.9243,0.25312,0.309439,0.533615,0.740556,0.0606029
258,306.571,1,9.99092,42.2269,10.6426,68.2003,0.25924,0.32159,0.534406,0.67803,0.0587264
259,312.27,1,10.0402,43.0063,11.2884,63.2594,0.257602,0.287639,0.516354,0.722766,0.0613087
260,308.22,1,10.0805,42.878,10.9659,59.2637,0.266726,0.272724,0.51226,0.712842,0.0603545
261,307.409,1,10.0933,42.4404,11.1824,57.9555,0.263853,0.255772,0.540354,0.703788,0.0604021
