iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,beta_Cl_logtWTKG,beta_Cl_tCLCRMLMIN,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
27,1214.29,1,7.14835,11.5328,62.2933,52.4982,0.513342,0.513342,1.22946,0.405918,0.998761,0.770013,1.62098,0.770013,0.61601
28,1196.32,1,7.03332,10.1906,64.6677,53.6931,0.500344,0.500344,0.877412,0.421639,0.998761,0.750516,1.57994,0.750516,0.600413
29,1186.78,1,6.46483,8.90222,59.2836,49.6733,0.487675,0.487675,0.792581,0.499967,0.998761,0.731512,1.67529,0.731512,0.58521
30,1168.52,1,6.70731,9.53086,57.4009,48.2462,0.475327,0.475327,0.953814,0.483105,0.998761,0.71299,1.63287,0.71299,0.570392
31,1172.97,1,7.08607,9.85595,57.5341,48.1634,0.463291,0.463291,0.890478,0.415508,0.998761,0.694937,1.59153,0.694937,0.555949
32,1163.52,1,6.55878,8.138,54.0795,45.7698,0.45156,0.45156,0.932213,0.492854,0.998761,0.677341,1.55123,0.677341,0.541873
33,1152.72,1,6.20124,10.0882,50.323,43.1351,0.440127,0.440127,0.998639,0.530579,0.998761,0.66019,1.51195,0.66019,0.528152
34,1139.04,1,5.03625,11.1488,49.8954,42.8978,0.428982,0.428982,1.09041,0.721412,0.998761,0.643474,1.47367,0.643474,0.514779
35,1126.43,1,6.29591,10.8427,51.3997,43.9963,0.41812,0.41812,1.01969,0.516299,0.998761,0.627181,1.47938,0.627181,0.501744
36,1112.9,1,5.96944,14.1062,51.8045,44.3082,0.407533,0.407533,1.12887,0.580175,0.998761,0.6113,1.44192,0.6113,0.48904
37,1120.86,1,6.23327,13.8758,53.491,45.385,0.397214,0.397214,1.09771,0.537991,0.998761,0.595821,1.47929,0.595821,0.476657
38,1101.73,1,6.3892,10.9939,53.0392,45.1635,0.387157,0.387157,1.06503,0.515094,0.998761,0.580735,1.44184,0.580735,0.464588
39,1085.9,1,6.43336,11.6506,50.8819,43.7047,0.377354,0.377354,1.01915,0.507999,0.998761,0.56603,1.40533,0.56603,0.452824
40,1075.69,1,6.7487,11.4429,53.4962,45.3869,0.367799,0.367799,0.972038,0.48545,0.998761,0.551698,1.36975,0.551698,0.441359
41,1065,1,6.98062,13.9356,50.7351,43.5547,0.358486,0.358486,1.01185,0.45602,0.998761,0.537729,1.33506,0.537729,0.430183
42,1052.86,1,6.62793,12.8214,51.1677,43.8409,0.349409,0.349409,0.88711,0.479178,0.998761,0.524113,1.30126,0.524113,0.419291
43,1040.48,1,6.60772,15.9798,51.2223,43.8115,0.340562,0.340562,0.958954,0.48919,0.998761,0.510842,1.26831,0.510842,0.408674
44,1025.35,1,6.63065,15.0153,50.0459,43.192,0.331938,0.331938,0.976583,0.493674,0.998761,0.497908,1.2362,0.497908,0.398326
45,1018.21,1,7.1053,13.4352,48.8164,42.2684,0.323534,0.323534,0.944551,0.428886,0.998761,0.4853,1.20489,0.4853,0.38824
46,1010.78,1,6.50033,12.1171,47.6321,41.5488,0.315341,0.315341,0.874611,0.497796,0.998761,0.473012,1.17439,0.473012,0.37841
47,1008.06,1,6.29482,11.711,47.6576,41.6643,0.307357,0.307357,0.882914,0.525912,0.998761,0.461035,1.14465,0.461035,0.368828
48,1002.81,1,6.56029,11.4094,47.5352,41.5603,0.299574,0.299574,0.900036,0.495615,0.998761,0.449362,1.11567,0.449362,0.359489
49,989.273,1,6.48109,10.2275,49.3763,42.7589,0.291989,0.291989,0.928886,0.489098,0.998761,0.437984,1.08742,0.437984,0.350387
50,980.965,1,6.30644,10.628,48.3439,42.1564,0.284596,0.284596,0.893598,0.517734,0.998761,0.426894,1.05988,0.426894,0.341515
51,972.37,1,6.66579,9.16446,48.9658,42.4303,0.27739,0.27739,0.872497,0.462941,0.998761,0.416084,1.03305,0.416084,0.332867
52,956.85,1,6.75842,11.0255,48.4118,42.1082,0.270366,0.270366,0.732876,0.449126,0.998761,0.405549,1.00689,0.405549,0.324439
53,953.148,1,6.37582,11.4513,47.0722,41.2128,0.26352,0.26352,0.873431,0.507276,0.998761,0.39528,0.981394,0.39528,0.316224
54,940.413,1,6.54868,12.4969,46.0514,40.5174,0.256848,0.256848,0.941448,0.490226,0.998761,0.385271,0.956545,0.385271,0.308217
55,938.636,1,6.66727,12.1502,46.7304,41.1409,0.250344,0.250344,0.928086,0.469773,0.998761,0.375516,0.932324,0.375516,0.300413
56,930.849,1,7.03582,13.0842,47.1883,41.3626,0.244005,0.244005,0.954779,0.420848,0.998761,0.366008,0.908717,0.366008,0.292806
57,921.439,1,6.69032,12.1,48.0884,42.1732,0.237827,0.237827,0.925669,0.479702,0.998761,0.35674,0.885708,0.35674,0.285392
58,914.039,1,6.71263,11.0058,46.9772,41.4549,0.231805,0.231805,0.891881,0.467993,0.998761,0.347707,0.863281,0.347707,0.278166
59,918.833,1,6.84711,12.0395,46.5453,41.2181,0.225936,0.225936,0.90374,0.445886,0.998761,0.338903,0.841423,0.338903,0.271123
60,906.777,1,7.04482,13.8822,46.1223,40.9617,0.220215,0.220215,0.855337,0.427047,0.998761,0.330322,0.820117,0.330322,0.264258
