Cl_abscissa,Cl_pdf,Cl_cdf,Q_abscissa,Q_pdf,Q_cdf,V2_abscissa,V2_pdf,V2_cdf,split
10.2923,0.148214,0.514927,50.7212,0.00192121,0.955696,56.1684,2.22045e-16,2.22045e-16,All
10.5349,0.143746,0.55036,52.5947,0.00173616,0.959119,56.1688,2.22045e-16,2.22045e-16,All
10.7775,0.138443,0.584605,54.4681,0.00157238,0.962215,56.1692,2.22045e-16,2.22045e-16,All
11.0201,0.132472,0.617479,56.3416,0.00142703,0.965022,56.1696,2.22045e-16,2.22045e-16,All
11.2627,0.125992,0.648839,58.215,0.0012977,0.967572,56.17,2.22045e-16,2.22045e-16,All
11.5053,0.119154,0.678581,60.0884,0.00118234,0.969893,56.1704,2.22045e-16,2.22045e-16,All
11.7479,0.112094,0.706635,61.9619,0.0010792,0.972009,56.1708,2.22045e-16,2.22045e-16,All
11.9905,0.104933,0.732961,63.8353,0.000986775,0.973943,56.1712,2.22045e-16,2.22045e-16,All
12.2331,0.0977778,0.757549,65.7087,0.000903772,0.975713,56.1716,2.22045e-16,2.22045e-16,All
12.4757,0.090718,0.78041,67.5822,0.000829078,0.977335,56.172,2.22045e-16,2.22045e-16,All
12.7183,0.0838286,0.801579,69.4556,0.000761727,0.978824,56.1724,2.22045e-16,2.22045e-16,All
12.9609,0.0771696,0.821103,71.3291,0.000700882,0.980193,56.1728,2.22045e-16,2.22045e-16,All
13.2035,0.070788,0.839044,73.2025,0.000645813,0.981453,56.1732,2.22045e-16,2.22045e-16,All
13.4461,0.0647185,0.855474,75.0759,0.000595886,0.982616,56.1737,2.22045e-16,2.22045e-16,All
13.6887,0.058985,0.870472,76.9494,0.000550542,0.983689,56.1741,2.22045e-16,2.22045e-16,All
13.9313,0.0536022,0.884122,78.8228,0.000509295,0.984681,56.1745,2.22045e-16,2.22045e-16,All
14.1739,0.0485768,0.896509,80.6962,0.000471715,0.9856,56.1749,2.22045e-16,2.22045e-16,All
14.4165,0.043909,0.90772,82.5697,0.000437425,0.986451,56.1753,2.22045e-16,2.22045e-16,All
14.6591,0.0395936,0.917842,84.4431,0.000406091,0.98724,56.1757,2.22045e-16,2.22045e-16,All
14.9017,0.035621,0.926959,86.3166,0.000377417,0.987974,56.1761,2.22045e-16,2.22045e-16,All
15.1443,0.0319784,0.935152,88.19,0.000351143,0.988656,56.1765,2.22045e-16,2.22045e-16,All
15.3869,0.0286505,0.9425,90.0634,0.000327035,0.989291,56.1769,2.22045e-16,2.22045e-16,All
15.6295,0.0256205,0.949077,91.9369,0.000304887,0.989883,56.1773,2.22045e-16,2.22045e-16,All
15.8721,0.0228702,0.954954,93.8103,0.000284515,0.990434,56.1777,2.22045e-16,1,All
16.1147,0.020381,0.960195,95.6837,0.000265754,0.99095,56.1781,2.22045e-16,1,All
16.3573,0.0181342,0.964862,97.5572,0.000248456,0.991431,56.1785,2.22045e-16,1,All
16.5999,0.0161112,0.969012,99.4306,0.000232489,0.991881,56.1789,2.22045e-16,1,All
16.8425,0.0142941,0.972696,101.304,0.000217735,0.992303,56.1793,2.22045e-16,1,All
17.0851,0.0126654,0.975962,103.177,0.000204088,0.992698,56.1797,2.22045e-16,1,All
17.3277,0.0112085,0.978855,105.051,0.000191452,0.993068,56.1801,2.22045e-16,1,All
17.5703,0.00990776,0.981413,106.924,0.000179739,0.993416,56.1805,2.22045e-16,1,All
17.8129,0.00874853,0.983674,108.798,0.000168872,0.993742,56.1809,2.22045e-16,1,All
18.0555,0.0077171,0.985668,110.671,0.000158781,0.994049,56.1813,2.22045e-16,1,All
18.2981,0.0068008,0.987427,112.545,0.000149401,0.994338,56.1817,2.22045e-16,1,All
18.5407,0.00598795,0.988977,114.418,0.000140675,0.994609,56.1821,2.22045e-16,1,All
18.7833,0.00526785,0.99034,116.292,0.00013255,0.994865,56.1825,2.22045e-16,1,All
19.0259,0.00463072,0.991539,118.165,0.000124978,0.995106,56.1829,2.22045e-16,1,All
19.2685,0.00406767,0.992593,120.038,0.000117916,0.995334,56.1833,2.22045e-16,1,All
19.5111,0.00357064,0.993518,121.912,0.000111324,0.995548,56.1837,2.22045e-16,1,All
19.7537,0.00313234,0.99433,123.785,0.000105166,0.995751,56.1841,2.22045e-16,1,All
19.9963,0.0027462,0.995042,125.659,9.94088e-05,0.995943,56.1845,2.22045e-16,1,All
20.2389,0.00240632,0.995666,127.532,9.40229e-05,0.996124,56.1849,2.22045e-16,1,All
20.4815,0.00210742,0.996213,129.406,8.89804e-05,0.996295,56.1853,2.22045e-16,1,All
20.7241,0.00184476,0.996692,131.279,8.4256e-05,0.996457,56.1857,2.22045e-16,1,All
20.9667,0.00161412,0.997111,133.152,7.98267e-05,0.996611,56.1861,2.22045e-16,1,All
21.2093,0.00141173,0.997477,135.026,7.56713e-05,0.996757,56.1865,2.22045e-16,1,All
21.4519,0.00123425,0.997798,136.899,7.17701e-05,0.996895,56.1869,2.22045e-16,1,All
21.6945,0.0010787,0.998078,138.773,6.81053e-05,0.997026,56.1873,2.22045e-16,1,All
21.9371,0.000942449,0.998323,140.646,6.46604e-05,0.99715,56.1877,2.22045e-16,1,All
22.1797,0.000823166,0.998536,142.52,6.14202e-05,0.997268,56.1881,2.22045e-16,1,All
22.4223,0.000718786,0.998723,144.393,5.83706e-05,0.99738,56.1885,2.22045e-16,1,All
22.6649,0.000627487,0.998886,146.267,5.54989e-05,0.997487,56.1889,2.22045e-16,1,All
22.9075,0.000547663,0.999029,148.14,5.2793e-05,0.997588,56.1893,2.22045e-16,1,All
23.1501,0.000477898,0.999153,150.013,5.02419e-05,0.997685,56.1897,2.22045e-16,1,All
23.3927,0.000416946,0.999261,151.887,4.78355e-05,0.997777,56.1901,2.22045e-16,1,All
23.6353,0.00036371,0.999356,153.76,4.55643e-05,0.997864,56.1905,2.22045e-16,1,All
23.8779,0.000317226,0.999438,155.634,4.34195e-05,0.997948,56.1909,2.22045e-16,1,All
24.1205,0.00027665,0.99951,157.507,4.13931e-05,0.998027,56.1913,2.22045e-16,1,All
24.3631,0.000241239,0.999573,159.381,3.94776e-05,0.998103,56.1917,2.22045e-16,1,All
24.6057,0.000210342,0.999628,161.254,3.7666e-05,0.998175,56.1921,2.22045e-16,1,All
24.8483,0.000183389,0.999675,163.127,3.59518e-05,0.998244,56.1925,2.22045e-16,1,All
25.0909,0.00015988,0.999717,165.001,3.43289e-05,0.99831,56.1929,2.22045e-16,1,All
25.3335,0.00013938,0.999753,166.874,3.27919e-05,0.998373,56.1933,2.22045e-16,1,All
25.5761,0.000121504,0.999785,168.748,3.13354e-05,0.998433,56.1937,2.22045e-16,1,All
25.8187,0.00010592,0.999812,170.621,2.99547e-05,0.99849,56.1941,2.22045e-16,1,All
26.0613,9.23337e-05,0.999836,172.495,2.86452e-05,0.998545,56.1945,2.22045e-16,1,All
26.3039,8.04912e-05,0.999857,174.368,2.74027e-05,0.998597,56.1949,2.22045e-16,1,All
26.5465,7.01689e-05,0.999875,176.242,2.62232e-05,0.998648,56.1953,2.22045e-16,1,All
26.7891,6.11723e-05,0.999891,178.115,2.51032e-05,0.998696,56.1958,2.22045e-16,1,All
27.0317,5.33314e-05,0.999905,179.988,2.40391e-05,0.998742,56.1962,2.22045e-16,1,All
27.2743,4.6498e-05,0.999917,181.862,2.30277e-05,0.998786,56.1966,2.22045e-16,1,All
27.5169,4.05426e-05,0.999928,183.735,2.2066e-05,0.998828,56.197,2.22045e-16,1,All
27.7595,3.53524e-05,0.999937,185.609,2.11514e-05,0.998868,56.1974,2.22045e-16,1,All
