iteration,convergenceIndicator,phase,V_pop,Cl_pop,omega_V,omega_Cl,a
62,499.846,1,25.3232,5.16971,0.214485,0.265646,3.28181
63,501.457,1,24.86,5.17399,0.210478,0.273261,3.30493
64,506.245,1,24.9548,5.17691,0.210368,0.261328,3.41078
65,507.524,1,25.2535,5.19871,0.224184,0.250254,3.42342
66,497.71,1,24.9427,5.23671,0.200516,0.260056,3.29592
67,499.229,1,25.0158,5.21509,0.238715,0.244471,3.25987
68,498.621,1,24.3596,5.22347,0.226587,0.27207,3.22369
69,500.77,1,24.2607,5.2816,0.202665,0.268816,3.36065
70,490.663,1,24.7331,5.2608,0.202825,0.251493,3.17945
71,502.513,1,25.1642,5.27394,0.252135,0.259728,3.26085
72,503.999,1,24.8116,5.24896,0.274265,0.272011,3.22431
73,499.71,1,24.9024,5.24335,0.27381,0.254217,3.18512
74,492.838,1,24.7504,5.27926,0.256774,0.260173,3.09161
75,500.982,1,25.5428,5.29771,0.249046,0.26835,3.22537
76,500.381,1,25.8051,5.23634,0.232052,0.255606,3.27175
77,489.591,1,24.9389,5.19949,0.208479,0.263948,3.12696
78,493.929,1,24.8507,5.14456,0.219668,0.248087,3.20294
79,497.942,1,24.8237,5.22892,0.213127,0.247455,3.28626
80,502.226,1,24.4262,5.20377,0.252225,0.244941,3.28377
81,497.769,1,24.4353,5.27578,0.267437,0.259096,3.15517
82,499.629,1,26.0807,5.06993,0.298936,0.244515,3.16116
83,494.079,1,24.8886,5.19488,0.267376,0.250563,3.16352
84,497.114,1,25.0676,5.17878,0.248041,0.257619,3.18179
85,494.583,1,25.558,5.27402,0.238046,0.260859,3.15327
86,498.967,1,25.7722,5.11998,0.255102,0.248169,3.21702
87,501.278,1,24.9202,5.16359,0.247475,0.266708,3.23623
88,496.74,1,24.517,5.22926,0.24739,0.262811,3.16759
89,499.836,1,25.162,5.18426,0.24727,0.254701,3.23406
90,498.85,1,25.608,5.15401,0.235688,0.24332,3.26176
91,497.027,1,25.7658,5.18664,0.25502,0.240638,3.19917
92,495.843,1,25.2136,5.24024,0.247213,0.249953,3.17631
93,496.154,1,25.0437,5.18783,0.261439,0.238404,3.17745
94,494.749,1,25.1958,5.20408,0.234492,0.250766,3.18117
95,500.662,1,24.0798,5.30658,0.215321,0.253118,3.31721
96,498.375,1,24.201,5.2388,0.219615,0.256757,3.26172
97,497.843,1,24.1932,5.20026,0.24201,0.267248,3.18827
98,497.529,1,24.6131,5.20057,0.245976,0.256316,3.19494
99,501.711,1,24.5972,5.19328,0.229773,0.259995,3.29104
100,497.146,1,24.864,5.19059,0.222922,0.255484,3.23619
101,493.725,1,24.8068,5.12752,0.214153,0.257899,3.1933
102,489.085,1,24.7104,5.20287,0.222233,0.267049,3.08455
103,496.298,1,24.595,5.1795,0.247017,0.269896,3.14876
104,495.706,1,24.4906,5.07412,0.245109,0.241402,3.20094
105,494.619,1,25.7318,5.11043,0.253793,0.228399,3.18567
106,499.114,1,25.2585,5.2718,0.226999,0.272451,3.23299
107,496.299,1,24.8777,5.09877,0.233488,0.252465,3.20581
108,499.67,1,25.193,5.18045,0.246963,0.254691,3.23186
109,503.2,1,25.4035,5.182,0.265353,0.256067,3.25498
110,509.955,1,25.0849,5.26695,0.256103,0.257511,3.38625
111,505.289,1,25.2707,5.19745,0.270087,0.257614,3.27922
112,509.817,1,25.454,5.26889,0.255829,0.258358,3.38271
113,503.02,1,24.8249,5.15061,0.243576,0.280167,3.24989
114,504.063,1,24.9026,5.30663,0.234469,0.273466,3.29741
115,503.805,1,25.2024,5.17371,0.226328,0.261612,3.33147
116,501.075,1,25.3063,5.24977,0.226617,0.260498,3.28585
117,501.944,1,25.1622,5.31289,0.221147,0.248812,3.3348
118,505.02,1,24.5954,5.20827,0.246536,0.265417,3.3041
119,496.082,1,24.5294,5.21413,0.232632,0.265077,3.18121
120,501.719,1,24.7729,5.19297,0.241011,0.260265,3.26786
121,497.767,1,24.3622,5.23689,0.225878,0.266439,3.22067
122,495.645,1,24.2762,5.311,0.232696,0.267188,3.17019
123,493.529,1,24.8562,5.32516,0.233158,0.264392,3.13935
124,492.246,1,24.8551,5.30606,0.220965,0.273654,3.1272
125,492.775,1,24.9128,5.23658,0.21641,0.25868,3.1713
126,498.723,1,25.8233,5.20861,0.230638,0.263993,3.23124
127,502.537,1,25.1692,5.16496,0.214783,0.258994,3.3398
128,499.789,1,25.0339,5.17736,0.203856,0.257767,3.3198
129,500.176,1,24.5622,5.1979,0.208865,0.264906,3.30156
130,503.382,1,24.5752,5.21487,0.232359,0.265222,3.3048
131,498.421,1,24.5495,5.2051,0.24976,0.279225,3.16293
132,500.772,1,25.2808,5.27351,0.25556,0.271065,3.20504
133,491.718,1,25.5775,5.19164,0.246252,0.263499,3.0867
134,490.771,1,24.8081,5.17338,0.24901,0.257147,3.07746
135,495.209,1,24.6468,5.11998,0.24709,0.244255,3.17672
136,495.799,1,24.5769,5.19007,0.248079,0.265361,3.1464
137,498.154,1,23.8624,5.23525,0.23732,0.273277,3.19217
138,499.197,1,24.6453,5.12079,0.27881,0.259635,3.15852
139,501.248,1,25.7686,5.15604,0.275027,0.245404,3.22522
140,504.608,1,25.1397,5.2488,0.275986,0.258618,3.25549
141,489.305,1,24.5251,5.16727,0.249032,0.254311,3.05896
142,493.733,1,24.1926,5.20275,0.256892,0.248655,3.12641
143,500.292,1,25.1996,5.19138,0.250551,0.260309,3.22526
144,498.279,1,24.9599,5.25727,0.246639,0.258657,3.20192
145,501.895,1,24.7003,5.29107,0.222771,0.269233,3.29229
146,503.258,1,25.023,5.2467,0.231628,0.265906,3.30293
147,498.19,1,25.3745,5.11514,0.235299,0.258411,3.22293
148,503.309,1,25.7794,5.2814,0.267428,0.251763,3.26118
149,503.516,1,25.9768,5.19987,0.28232,0.251028,3.24039
150,493.514,1,25.1188,5.21003,0.252515,0.249772,3.13304
151,494.132,1,24.4919,5.16698,0.241658,0.256739,3.14627
152,494.851,1,25.0114,5.09618,0.239021,0.258088,3.1607
153,501.812,1,25.3952,5.1884,0.244925,0.259698,3.26279
154,497.93,1,25.2204,5.13534,0.251437,0.236301,3.22944
155,497.72,1,25.4886,5.23074,0.270782,0.257123,3.15216
156,496.918,1,25.4985,5.12606,0.268432,0.241063,3.17271
157,497.817,1,24.1803,5.26384,0.24917,0.246978,3.21105
158,495.984,1,24.3307,5.20161,0.241895,0.249077,3.19037
159,498.959,1,24.8977,5.21577,0.241326,0.247883,3.24357
160,497.23,1,24.9124,5.21999,0.226321,0.261511,3.21951
161,498.233,1,24.5609,5.13414,0.218285,0.262252,3.25213
162,504.394,1,24.9093,5.21901,0.257564,0.261326,3.2798
163,503.074,1,25.1417,5.253,0.26052,0.263085,3.24873
164,499.141,1,24.592,5.2841,0.238197,0.265139,3.22106
165,499.022,1,24.6026,5.186,0.235268,0.246577,3.2592
166,497.176,1,24.6008,5.23184,0.258746,0.25458,3.16875
167,493.707,1,25.0303,5.15172,0.282784,0.235629,3.1068
168,494.973,1,24.9385,5.11834,0.273568,0.244023,3.1265
169,500.094,1,23.6983,5.25671,0.275251,0.244399,3.20742
170,494.681,1,23.8775,5.20655,0.279947,0.250938,3.09862
171,499.083,1,24.5041,5.20128,0.292149,0.257841,3.13838
172,494.432,1,24.5908,5.25105,0.261306,0.260575,3.16633
173,501.404,1,24.7077,5.26474,0.254769,0.27524,3.2099
174,502.22,1,25.3644,5.21688,0.239036,0.266288,3.2694
175,494.726,1,25.3494,5.20091,0.220405,0.252514,3.20641
176,491.656,1,24.7497,5.15896,0.239693,0.243953,3.13291
177,497.097,1,24.7756,5.21953,0.239767,0.256388,3.19953
178,499.924,1,24.4357,5.18497,0.265831,0.259078,3.19362
179,497.571,1,25.547,5.17258,0.250902,0.25386,3.19088
180,495.035,1,25.2593,5.09118,0.253296,0.243622,3.16358
181,498.098,1,25.0644,5.03842,0.251232,0.243336,3.21885
182,499.649,1,25.9518,5.14905,0.225521,0.248176,3.287
183,500.971,1,25.3956,5.10088,0.236716,0.256199,3.2712
184,502.299,1,25.0878,5.20693,0.259584,0.265831,3.23246
185,500.426,1,25.0998,5.12295,0.250827,0.258564,3.23016
186,497.207,1,25.6559,5.28962,0.252555,0.259547,3.17153
187,495.685,1,25.9267,5.1756,0.267174,0.263382,3.1141
188,496.703,1,26.4091,5.2926,0.238968,0.271025,3.17601
189,498.824,1,25.4522,5.19493,0.255218,0.258628,3.19511
190,496.059,1,25.8347,5.17805,0.243948,0.251109,3.18391
191,493.195,1,25.0641,5.20137,0.24495,0.24097,3.15379
192,495.834,1,24.1927,5.20814,0.235383,0.255457,3.18881
193,493.667,1,24.239,5.28421,0.211404,0.256268,3.20133
194,500.068,1,24.4035,5.18601,0.219023,0.25163,3.30159
195,497.656,1,24.2755,5.18222,0.225444,0.251763,3.24642
196,499.922,1,25.5233,5.21693,0.251672,0.257074,3.22282
197,491.01,1,25.2329,5.11005,0.244071,0.265302,3.07629
198,490.869,1,25.0389,5.11901,0.249549,0.252763,3.08579
199,500.283,1,24.8788,5.13665,0.250986,0.266907,3.21254
200,497.234,1,24.5119,5.18226,0.229266,0.265922,3.20568
201,497.812,1,24.5658,5.16931,0.252884,0.25755,3.18451
202,504.885,1,24.448,5.18292,0.273913,0.261381,3.25872
203,498.859,1,25.3502,5.20456,0.258689,0.266573,3.17536
204,500.746,1,25.1911,5.19374,0.255115,0.260478,3.2241
205,502.605,1,24.7823,5.19571,0.240405,0.260649,3.28346
206,502.843,1,24.9182,5.15662,0.242503,0.267069,3.27173
207,500.992,1,24.916,5.07587,0.23046,0.25767,3.28162
208,505.017,1,24.8153,5.22821,0.220795,0.26758,3.35364
209,498.487,1,25.3683,5.24422,0.244578,0.264547,3.1988
210,493.028,1,24.6667,5.31623,0.241038,0.258844,3.12568
211,496.552,1,24.7117,5.28485,0.215591,0.254078,3.24625
212,501.353,1,24.3382,5.32718,0.227995,0.247323,3.31269
213,503.363,1,24.2878,5.16892,0.248863,0.257326,3.28601
214,508.705,1,24.4953,5.21686,0.262618,0.256253,3.35435
215,499.451,1,24.3879,5.16899,0.246689,0.255426,3.22735
216,492.057,1,24.7187,5.15413,0.240401,0.258282,3.11209
217,499.654,1,24.8789,5.11583,0.238304,0.246672,3.26365
218,500.488,1,24.9882,5.22504,0.228295,0.257984,3.27693
219,495.3,1,24.6306,5.2094,0.220524,0.268531,3.18706
220,498.976,1,24.4924,5.24276,0.222091,0.26391,3.25353
221,502.227,1,24.6928,5.15847,0.238682,0.257314,3.28662
222,503.684,1,24.554,5.3334,0.239972,0.278091,3.27178
223,497.934,1,24.4029,5.18277,0.229907,0.255359,3.23514
224,492.001,1,24.6842,5.18866,0.224284,0.248413,3.16074
225,491.658,1,24.5877,5.1757,0.233205,0.246857,3.14008
226,495.106,1,24.2465,5.26584,0.223989,0.266678,3.17981
227,497.819,1,23.9584,5.23963,0.231839,0.260914,3.21914
228,496.133,1,24.7758,5.27414,0.248813,0.262731,3.15509
229,491.328,1,24.9758,5.21628,0.244152,0.252261,3.10396
230,493.375,1,24.4261,5.13877,0.23985,0.253178,3.14372
231,500,1,24.2214,5.16845,0.234961,0.25698,3.25679
232,495.831,1,24.917,5.14027,0.229953,0.23942,3.23001
233,499.72,1,25.224,5.25707,0.237112,0.262645,3.23741
234,504.39,1,24.8023,5.12722,0.223613,0.257962,3.35437
235,504.453,1,25.4236,5.16634,0.241125,0.256711,3.32113
236,495.988,1,24.7711,5.16172,0.236935,0.264111,3.17285
237,498.226,1,24.4913,5.15776,0.244706,0.254444,3.2124
238,496.434,1,25.0551,5.2105,0.262024,0.274909,3.11563
239,494.137,1,24.6836,5.22971,0.246443,0.261432,3.12908
240,503.278,1,24.6874,5.3222,0.242307,0.282124,3.25344
241,503.275,1,24.3951,5.27628,0.24416,0.262722,3.2837
242,499.311,1,24.2502,5.22546,0.246694,0.254131,3.22738
243,497.225,1,24.0832,5.22562,0.22081,0.254912,3.24308
244,503.89,1,24.6153,5.14019,0.245363,0.251036,3.3138
245,498.131,1,25.2548,5.14804,0.252864,0.245255,3.21268
246,503.333,1,24.4377,5.17072,0.258438,0.260662,3.26133
247,502.742,1,24.7695,5.22165,0.279098,0.259789,3.21662
248,499.732,1,24.9242,5.14508,0.287898,0.2389,3.19105
249,501.835,1,25.3704,5.20227,0.267374,0.242794,3.2535
250,500.411,1,25.308,5.22842,0.268858,0.246433,3.21985
251,496.28,1,25.2587,5.14952,0.266759,0.246171,3.15542
252,501.653,1,25.3013,5.15564,0.249064,0.240654,3.28846
253,505.079,1,24.8766,5.28272,0.264899,0.25179,3.29589
254,502.651,1,24.7893,5.26902,0.242469,0.250308,3.29959
255,499.247,1,24.085,5.19149,0.259328,0.247373,3.2155
256,501.643,1,24.3133,5.1632,0.251501,0.249798,3.26582
257,498.913,1,24.7042,5.09625,0.231887,0.247738,3.26199
258,488.532,1,24.2312,5.20355,0.221233,0.256241,3.0963
259,496.026,1,24.5037,5.17198,0.230951,0.273324,3.16945
260,501.295,1,24.4753,5.26368,0.226009,0.265457,3.28187
261,494.213,1,24.7898,5.21953,0.235076,0.253196,3.1667
262,496.687,1,24.2761,5.20018,0.232905,0.250394,3.21732
263,497.676,1,24.9116,5.22618,0.231372,0.252713,3.23271
264,502.387,1,24.5929,5.28003,0.237036,0.261865,3.28426
265,498.89,1,24.7792,5.31395,0.236056,0.263336,3.2243
266,502.66,1,25.1615,5.25696,0.214165,0.255605,3.34976
267,493.367,1,24.5814,5.23045,0.227213,0.256392,3.16267
268,489.661,1,23.928,5.25548,0.232029,0.257092,3.0915
269,492.473,1,23.9454,5.21457,0.219289,0.259822,3.15818
270,493.855,1,24.04,5.22347,0.236268,0.266681,3.13465
271,497.674,1,24.8088,5.22647,0.241695,0.269475,3.18223
272,493.901,1,24.7579,5.21576,0.239814,0.265798,3.13013
273,497.161,1,24.6786,5.17888,0.230834,0.260705,3.21054
274,501.137,1,23.8475,5.30208,0.228376,0.261217,3.28189
275,492.831,1,23.9113,5.24,0.227052,0.255121,3.15647
276,493.077,1,25.1063,5.21613,0.24019,0.249032,3.14576
277,497.321,1,25.0623,5.17885,0.237966,0.25991,3.20042
278,500.663,1,24.2968,5.27587,0.236598,0.260914,3.25752
279,499.911,1,23.9892,5.24477,0.248907,0.258634,3.225
280,500.044,1,23.8884,5.19993,0.235819,0.255515,3.25851
281,503.132,1,23.8842,5.20254,0.234579,0.264569,3.2971
282,501.552,1,24.4609,5.23864,0.209814,0.254618,3.40834
283,502.83,1,25.0431,5.27476,0.223803,0.265179,3.31346
284,498.609,1,24.9965,5.21089,0.213634,0.266765,3.26063
285,502.129,1,24.7949,5.28166,0.19108,0.280278,3.35471
286,496.875,1,24.4043,5.23735,0.181078,0.257216,3.32782
287,501.896,1,24.9983,5.22641,0.211484,0.259704,3.33486
288,502.156,1,24.8635,5.22127,0.232142,0.262687,3.28881
289,500.377,1,24.5888,5.27317,0.237943,0.260629,3.2505
290,501.132,1,24.1918,5.2687,0.24881,0.255808,3.25096
291,498.91,1,24.3892,5.24242,0.27164,0.256257,3.17185
292,503.81,1,24.4967,5.29758,0.242987,0.27253,3.27762
293,497.629,1,24.2083,5.14689,0.21985,0.25629,3.24941
294,498.957,1,23.991,5.22483,0.236368,0.266126,3.21984
295,501.863,1,24.3945,5.22661,0.24959,0.265075,3.24498
296,498.502,1,24.6392,5.21178,0.252925,0.248337,3.21293
297,500.237,1,24.1524,5.18601,0.242585,0.261247,3.23786
298,494.537,1,25.1704,5.3269,0.246056,0.262012,3.13531
299,496.582,1,24.4658,5.16711,0.220079,0.246041,3.25784
300,498.97,1,24.6898,5.14588,0.227495,0.250942,3.26595
301,492.561,1,24.4113,5.17988,0.212234,0.256581,3.18055
302,490.581,1,24.6079,5.17261,0.193271,0.263105,3.17953
303,497.896,1,24.488,5.20021,0.199623,0.259637,3.29383
304,495.238,1,24.9939,5.15893,0.207454,0.245047,3.25772
305,497.448,1,24.4911,5.21837,0.217842,0.275561,3.21652
306,496.484,1,24.878,5.2466,0.238725,0.266325,3.17371
307,502.2,1,24.8827,5.12962,0.223084,0.267203,3.3005
308,501.151,1,25.5357,5.17458,0.22158,0.251984,3.31396
309,498.196,1,25.4238,5.13737,0.23316,0.245028,3.25246
310,497.725,1,25.8553,5.18966,0.217736,0.262768,3.2438
311,502.716,1,25.7941,5.28772,0.214079,0.272825,3.31923
312,500.346,1,25.982,5.21246,0.214702,0.266998,3.28746
313,499.094,1,25.8005,5.0975,0.239835,0.257017,3.23169
314,498.953,1,25.4488,5.14372,0.226118,0.26282,3.24659
315,503.39,1,25.374,5.20226,0.232153,0.257502,3.31963
316,504.336,1,25.7081,5.23145,0.235096,0.273767,3.30029
317,502.846,1,25.0904,5.28099,0.229145,0.264317,3.30393
318,504.48,1,24.5882,5.38589,0.253638,0.281353,3.2534
319,500.005,1,25.4518,5.20466,0.232773,0.254043,3.26679
320,502.901,1,24.6852,5.28588,0.223715,0.261477,3.32169
321,498.184,1,24.3311,5.32217,0.217687,0.270886,3.23728
322,499.803,1,24.4883,5.22026,0.226121,0.256563,3.27246
323,498.443,1,24.5374,5.22708,0.225152,0.257116,3.25038
324,498.404,1,25.4514,5.18288,0.228668,0.257707,3.2413
325,497.194,1,25.1603,5.27838,0.27553,0.262049,3.12692
326,502.894,1,25.1196,5.26668,0.282269,0.261727,3.21038
327,502.101,1,24.9462,5.08388,0.296761,0.245274,3.20409
328,500.592,1,25.5344,5.19875,0.265431,0.251126,3.24135
329,499.129,1,24.9987,5.23433,0.244691,0.268345,3.20264
330,495.75,1,25.0763,5.18377,0.226124,0.253215,3.21024
331,496.883,1,24.5,5.13004,0.249888,0.251029,3.18655
332,501.605,1,25.0866,5.2575,0.238696,0.249847,3.29005
333,502.984,1,25.5114,5.31969,0.259283,0.254955,3.26438
334,498.599,1,25.8024,5.22337,0.250076,0.251104,3.21466
335,494.704,1,25.158,5.07176,0.249099,0.258705,3.13822
336,494.186,1,24.7999,5.11373,0.249072,0.250009,3.14547
337,499.593,1,25.47,5.20557,0.259204,0.259729,3.19871
338,502.705,1,24.986,5.17757,0.242645,0.277886,3.25024
339,505.653,1,25.1505,5.10566,0.254773,0.255468,3.31758
340,507.021,1,25.6345,5.08226,0.253075,0.2781,3.30342
341,503.415,1,25.0041,5.27985,0.226357,0.275357,3.34769
342,500.477,1,25.6311,5.15287,0.243602,0.278942,3.20913
343,501.021,1,25.507,5.28835,0.220912,0.28925,3.24721
344,496.829,1,25.0081,5.17934,0.227836,0.258713,3.21833
345,497.062,1,24.4022,5.29536,0.241295,0.256156,3.19641
346,501,1,24.3694,5.21288,0.222631,0.262611,3.2892
347,498.656,1,24.9581,5.23445,0.21611,0.252212,3.28271
348,497.702,1,24.828,5.24146,0.204366,0.276262,3.24969
349,497.444,1,24.7652,5.18964,0.190038,0.261248,3.30676
350,502.995,1,25.2613,5.22907,0.208227,0.270399,3.34187
351,501.616,1,25.027,5.15369,0.220239,0.253419,3.32219
352,497.589,1,24.8893,5.18746,0.221337,0.262134,3.23489
353,499.923,1,24.6529,5.21932,0.220433,0.264311,3.27247
354,498.474,1,24.4775,5.13951,0.242577,0.257307,3.21541
355,490.513,1,24.523,5.02642,0.225363,0.23559,3.15845
356,497.866,1,24.5644,5.1136,0.24152,0.244518,3.23122
357,494.08,1,25.3806,5.1321,0.217909,0.268243,3.17288
358,497.238,1,25.4515,5.17286,0.242636,0.265702,3.17973
359,501.507,1,25.1576,5.21335,0.259931,0.260409,3.2282
360,497.958,1,25.1426,5.10653,0.265819,0.238887,3.19874
361,501.336,1,25.0398,5.19778,0.245276,0.262828,3.24836
362,498.298,1,24.6542,5.213,0.259045,0.257824,3.18091
363,498.304,1,24.4645,5.21474,0.290587,0.25446,3.13415
364,499.288,1,25.3682,5.2028,0.285248,0.249895,3.16713
365,500.128,1,25.5229,5.26623,0.258563,0.26429,3.20066
366,495.945,1,25.5135,5.21794,0.263929,0.257982,3.13333
367,505.241,1,24.5891,5.2101,0.246066,0.265689,3.30832
368,494.223,1,24.4135,5.22283,0.260346,0.275993,3.08107
369,499.478,1,24.8825,5.25367,0.266413,0.276836,3.15455
370,496.157,1,24.5739,5.22377,0.270712,0.260979,3.11994
371,494.09,1,25.3898,5.19287,0.286166,0.254818,3.07234
372,500.77,1,24.9989,5.18232,0.297946,0.265594,3.14341
373,500.821,1,25.1532,5.21214,0.272496,0.262785,3.1904
374,503.107,1,24.8062,5.22697,0.247283,0.264398,3.27172
375,503.961,1,24.5512,5.21101,0.232917,0.273355,3.29905
376,503.825,1,24.9427,5.15055,0.237123,0.256977,3.31787
377,499.171,1,25.3482,5.14313,0.239181,0.243234,3.26038
378,495.972,1,24.6279,5.21869,0.21393,0.25877,3.27268
379,504.393,1,24.2752,5.25705,0.223184,0.253678,3.36358
380,506.001,1,24.6173,5.32221,0.220427,0.27393,3.36017
381,500.789,1,24.9363,5.28836,0.222683,0.267751,3.27621
382,495.732,1,25.252,5.18409,0.233819,0.260385,3.18133
383,497.394,1,25.0541,5.19708,0.21756,0.25479,3.25319
384,499.032,1,24.9406,5.16638,0.236499,0.249881,3.25058
385,497.212,1,26.0178,5.08236,0.253555,0.246335,3.19403
386,496.516,1,24.8371,5.25706,0.248476,0.263804,3.16013
387,494.23,1,25.0391,5.24416,0.242275,0.260235,3.1405
388,492.994,1,24.5464,5.21581,0.253724,0.25742,3.10432
389,501.494,1,24.4655,5.26302,0.254983,0.253964,3.2489
390,500.705,1,24.6279,5.27002,0.297243,0.247387,3.17614
391,494.885,1,24.2122,5.1885,0.265862,0.256829,3.12037
392,494.039,1,24.1485,5.24437,0.23818,0.250543,3.16265
393,495.89,1,24.3825,5.33867,0.23977,0.251491,3.18843
394,496.633,1,24.5864,5.18239,0.240858,0.250689,3.20017
395,503.466,1,24.3152,5.21031,0.255314,0.238885,3.31124
396,499.064,1,24.5363,5.19513,0.257035,0.255248,3.20194
397,505.638,1,24.4608,5.08763,0.252667,0.247685,3.33637
398,498.296,1,24.3271,5.22259,0.286814,0.25268,3.14321
399,503.377,1,24.7198,5.31591,0.25922,0.257058,3.26726
400,495.626,1,24.5257,5.2753,0.238828,0.24683,3.19457
401,495.112,1,25.1036,5.23571,0.247836,0.260033,3.14489
402,500.175,1,25.4849,5.20995,0.248446,0.269163,3.21157
403,496.463,1,25.1499,5.22156,0.250191,0.261051,3.16092
404,495.65,1,25.3182,5.16388,0.265895,0.251629,3.13653
405,488.951,1,25.0501,5.20317,0.244716,0.258514,3.05382
406,504.989,1,24.9014,5.17504,0.27633,0.254387,3.26922
407,504.219,1,25.2609,5.23857,0.266292,0.264652,3.25493
408,502.783,1,25.6173,5.16975,0.267233,0.255381,3.24585
409,498.454,1,24.8239,5.22783,0.26341,0.248676,3.19251
410,499.265,1,25.0849,5.30498,0.309553,0.257725,3.11516
411,495.458,1,24.5152,5.2394,0.276873,0.253634,3.16331
412,496.964,1,24.7115,5.22662,0.270654,0.255451,3.14298
413,495.38,1,24.4889,5.26312,0.250664,0.263056,3.13879
414,490.615,1,23.8405,5.29721,0.247028,0.262659,3.06905
415,497.665,1,24.5226,5.24643,0.250845,0.266644,3.16976
416,499.086,1,25.3872,5.17075,0.25225,0.251006,3.21895
417,502.143,1,25.1908,5.19161,0.226731,0.256194,3.31198
418,500.404,1,24.9269,5.22796,0.248257,0.258878,3.23407
419,495.649,1,24.7794,5.23065,0.258995,0.246185,3.15861
420,495.642,1,24.4213,5.23401,0.238713,0.254337,3.18113
421,495.855,1,24.6545,5.25543,0.259998,0.263594,3.12889
422,495.93,1,25.1096,5.23001,0.25721,0.247185,3.16456
423,495.699,1,25.1962,5.27015,0.242452,0.271238,3.14523
