rep,ID,eta_fi_simulated,eta_Cl_simulated,eta_V1_simulated,eta_Q_simulated,eta_V2_simulated,split,color,filter
3,3,-0.118298,0.218957,-0.0660737,0.154486,0.280456,All,#4682B4,0
4,3,0.0283474,0.166094,-0.0458633,0.175466,-0.0456323,All,#4682B4,0
5,3,-0.0943976,0.139472,-0.0327553,-0.304964,0.140237,All,#4682B4,0
6,3,-0.0978475,0.184785,0.00333966,0.196534,-0.0629968,All,#4682B4,0
7,3,-0.119354,0.100531,-0.0750096,-0.536136,0.123426,All,#4682B4,0
8,3,-0.0220947,0.196435,0.0384244,0.200327,0.0259558,All,#4682B4,0
9,3,0.0828977,0.221189,0.00746114,0.113033,-0.000915408,All,#4682B4,0
0,4,0.30097,0.0119473,0.0535119,-0.45233,0.202627,All,#4682B4,0
1,4,0.223479,-0.0169882,-0.0479383,-0.991132,0.196769,All,#4682B4,0
2,4,0.26708,-0.0300851,-0.0220461,-0.713486,0.0420668,All,#4682B4,0
3,4,0.287667,0.00514224,0.0357986,-0.36932,-0.139142,All,#4682B4,0
4,4,0.202914,0.0115947,-0.00731092,-0.304112,0.132541,All,#4682B4,0
5,4,0.338535,-0.0482889,0.00952374,-1.45328,-0.0705886,All,#4682B4,0
6,4,0.391845,-0.00275804,-0.0786807,-0.503877,0.0117841,All,#4682B4,0
7,4,0.210144,0.0127809,-0.0569019,0.104393,-0.201812,All,#4682B4,0
8,4,0.262787,0.0603115,0.0342708,-0.348728,0.245841,All,#4682B4,0
9,4,0.306154,0.0240743,-0.00909024,-0.0505496,-0.487969,All,#4682B4,0
0,5,-0.192826,-0.157241,0.00990754,0.454045,-0.179712,All,#4682B4,0
1,5,-0.168311,-0.158121,0.00757315,0.530303,-0.00196776,All,#4682B4,0
2,5,-0.140074,-0.0754124,0.0437949,0.259166,-0.0968286,All,#4682B4,0
3,5,-0.0495724,-0.0944262,-0.0205194,0.117473,0.112542,All,#4682B4,0
4,5,-0.0116418,-0.0352976,-0.00623672,0.171091,0.0269651,All,#4682B4,0
5,5,-0.119305,-0.0880757,-0.0364056,0.314626,-0.112887,All,#4682B4,0
6,5,-0.184168,-0.111046,-0.0325327,0.00361796,0.0650115,All,#4682B4,0
7,5,-0.147713,-0.0884816,0.0112457,0.588625,-0.0618312,All,#4682B4,0
8,5,-0.207053,-0.118083,-0.0486311,0.496133,-0.144182,All,#4682B4,0
9,5,-0.107958,-0.144671,0.0127301,0.395709,0.0811436,All,#4682B4,0
0,6,-0.236307,0.0645205,-0.0452748,1.60555,0.0876152,All,#4682B4,0
1,6,-0.0310378,0.140825,-0.0165687,2.84587,0.0316263,All,#4682B4,0
2,6,-0.0768675,0.138248,-0.0542375,1.48065,0.0895639,All,#4682B4,0
3,6,-0.0968777,0.109825,0.0329678,1.84412,0.0218685,All,#4682B4,0
4,6,-0.0791681,0.162975,0.0275723,1.64923,0.226725,All,#4682B4,0
5,6,-0.0239325,0.111411,-0.0145294,1.95467,-0.0329613,All,#4682B4,0
6,6,-0.135871,0.130855,0.0207596,1.26839,0.216911,All,#4682B4,0
7,6,-0.13662,0.0907316,0.0669319,0.694465,-0.124606,All,#4682B4,0
8,6,-0.0767108,0.0902264,0.0709902,1.38549,0.203385,All,#4682B4,0
9,6,-0.031885,0.158904,0.0028419,1.9254,0.224659,All,#4682B4,0
0,7,-0.212137,0.0508607,0.0281131,-2.54126,-0.107443,All,#4682B4,0
1,7,-0.154383,0.0888597,0.0228366,-3.19183,-0.0189585,All,#4682B4,0
2,7,-0.207698,0.0290366,-0.039531,-2.36724,-0.00215775,All,#4682B4,0
3,7,-0.0692408,0.0678739,-0.0151849,-2.39233,-0.100304,All,#4682B4,0
4,7,-0.152949,0.0282626,-0.0191805,-2.38833,0.0463079,All,#4682B4,0
5,7,-0.0306775,0.0700716,-0.0326597,-2.38459,-0.243693,All,#4682B4,0
6,7,-0.314218,0.0494529,0.0207503,-2.67926,-0.0319166,All,#4682B4,0
7,7,-0.144019,0.0367658,0.0140057,-2.57736,0.279564,All,#4682B4,0
8,7,-0.0744713,0.0829044,-0.0164178,-1.79234,-0.133384,All,#4682B4,0
9,7,-0.215145,0.010883,-0.0467426,-3.62555,-0.43768,All,#4682B4,0
0,8,-0.0559064,0.276938,-0.0266974,0.0409262,-0.0358755,All,#4682B4,0
1,8,-0.295284,0.204544,0.00657967,-0.665376,-0.0443116,All,#4682B4,0
2,8,-0.214804,0.190364,-0.0191451,-0.521107,-0.311017,All,#4682B4,0
3,8,-0.289792,0.228653,-0.0511397,-0.320184,0.0909262,All,#4682B4,0
4,8,-0.289389,0.245432,-0.00914562,-0.421681,0.0509322,All,#4682B4,0
5,8,-0.17721,0.213999,-0.0115187,-0.674173,-0.277677,All,#4682B4,0
6,8,-0.222588,0.219614,-0.0383856,-0.501355,-0.0869821,All,#4682B4,0
7,8,-0.257693,0.171412,0.0201687,-0.815499,0.236257,All,#4682B4,0
8,8,-0.21504,0.190892,-0.00195564,-0.929184,-0.20553,All,#4682B4,0
9,8,-0.30698,0.248079,-0.0810545,-0.267898,0.0666163,All,#4682B4,0
0,9,-0.0268819,-0.0357577,-0.0672987,0.35649,0.0415833,All,#4682B4,0
1,9,0.039367,-0.0550111,-0.023053,0.0847578,-0.0249,All,#4682B4,0
2,9,0.0109674,-0.0636234,0.0420987,0.295797,0.282897,All,#4682B4,0
3,9,0.0985343,-0.0339997,-0.0304529,0.768237,-0.0411096,All,#4682B4,0
4,9,0.0786647,0.00968045,-0.0924886,0.780644,-0.0655091,All,#4682B4,0
5,9,-0.0735104,-0.0925849,-0.0570069,0.359642,0.0167748,All,#4682B4,0
6,9,0.13727,-0.0505507,-0.0199848,0.312198,0.143111,All,#4682B4,0
7,9,0.116263,-0.0482677,-0.016455,0.484132,-0.113665,All,#4682B4,0
8,9,0.0150087,-0.0544996,-0.0413467,0.0695294,0.0880301,All,#4682B4,0
9,9,0.223823,-0.0350598,0.0102646,0.290333,-0.187396,All,#4682B4,0
0,10,0.223087,-0.35893,-0.0198444,-0.471533,0.246757,All,#4682B4,0
1,10,0.232259,-0.379102,0.0427853,-0.420491,0.123345,All,#4682B4,0
2,10,0.161554,-0.352286,-0.0499287,-0.181767,-0.140869,All,#4682B4,0
3,10,0.279885,-0.38081,-0.0457737,-1.01294,-0.19257,All,#4682B4,0
4,10,-0.157184,-0.519648,-0.0760971,0.0704401,0.122596,All,#4682B4,0
5,10,0.0212234,-0.435633,-0.0743645,-0.183504,-0.00789689,All,#4682B4,0
6,10,0.205647,-0.427017,-0.0376476,-0.627335,0.209568,All,#4682B4,0
7,10,0.219882,-0.324819,0.00374598,-0.00944314,0.0187723,All,#4682B4,0
8,10,0.149626,-0.381578,0.00960437,-0.835679,0.106296,All,#4682B4,0
9,10,0.133938,-0.36989,-0.00854467,-0.229704,0.0301497,All,#4682B4,0
0,11,0.185559,0.189694,-0.0229784,0.792083,-0.283531,All,#4682B4,0
1,11,0.342048,0.201179,-0.0125312,0.440555,-0.00330014,All,#4682B4,0
2,11,0.388878,0.26397,-0.017434,1.01685,-0.14102,All,#4682B4,0
3,11,0.266125,0.218626,-0.0275635,0.770572,-0.0382642,All,#4682B4,0
4,11,0.361261,0.250158,-0.00566171,1.17406,0.0724725,All,#4682B4,0
5,11,0.358655,0.284778,-0.0273408,1.15081,0.0978884,All,#4682B4,0
6,11,0.505689,0.224819,-0.0178192,0.632803,-0.0409187,All,#4682B4,0
7,11,0.552338,0.292877,-0.00293425,1.26396,-0.159197,All,#4682B4,0
8,11,0.200407,0.202288,-0.0621599,0.64425,-0.0143225,All,#4682B4,0
9,11,0.309605,0.244072,0.00238471,0.634975,0.136295,All,#4682B4,0
0,12,0.120974,-0.0502011,-0.00723506,0.744666,-0.0208359,All,#4682B4,0
1,12,0.191306,-0.0192568,-0.043295,0.992546,-0.0948744,All,#4682B4,0
2,12,0.147523,-0.00712358,0.0194331,1.25031,-0.18068,All,#4682B4,0
3,12,0.130329,-0.0958768,0.0532203,0.238211,0.0229791,All,#4682B4,0
4,12,0.180036,-0.00512373,0.0012018,1.26393,-0.0261655,All,#4682B4,0
5,12,0.198887,-0.00463904,-0.00967635,0.65818,0.0869218,All,#4682B4,0
6,12,0.144466,-0.0416482,-0.067582,0.439297,-0.143988,All,#4682B4,0
7,12,0.176204,-0.0230751,-0.0548302,0.655142,-0.211272,All,#4682B4,0
8,12,0.14748,-0.0608114,-0.00125266,0.503608,0.130949,All,#4682B4,0
9,12,0.17926,-0.028336,0.0224563,0.775375,-0.215124,All,#4682B4,0
0,13,0.352451,0.108777,0.0063517,1.01122,0.0758509,All,#4682B4,0
1,13,0.337812,0.00528254,-0.0157278,0.101802,-0.139165,All,#4682B4,0
2,13,0.252752,0.0144075,-0.0469428,0.302431,-0.273386,All,#4682B4,0
3,13,0.343039,0.0743809,0.00102631,0.811606,-0.0292297,All,#4682B4,0
4,13,0.311641,0.0286859,-0.0121716,0.727352,0.403898,All,#4682B4,0
5,13,0.380203,0.0587537,0.0803142,1.39769,-0.0786868,All,#4682B4,0
6,13,0.306249,0.0254118,0.0143789,0.673869,-0.140843,All,#4682B4,0
7,13,0.261547,0.00384484,0.0361803,0.679151,-0.141093,All,#4682B4,0
8,13,0.242194,0.0240557,-0.0777515,0.597894,0.0916939,All,#4682B4,0
9,13,0.224954,0.0240236,-0.0535412,0.707676,0.340618,All,#4682B4,0
0,14,-0.102331,0.16705,0.00671863,-0.792069,-0.119167,All,#4682B4,0
1,14,-0.156846,0.122121,0.013123,-1.33113,-0.0795279,All,#4682B4,0
2,14,-0.126088,0.169722,0.036318,-0.645382,-0.227444,All,#4682B4,0
3,14,-0.0885177,0.0957732,0.00738381,-1.52634,-0.151693,All,#4682B4,0
4,14,-0.101363,0.152898,-0.0127763,-0.606811,-0.0473277,All,#4682B4,0
5,14,-0.140449,0.127938,0.042814,-1.3012,0.084666,All,#4682B4,0
6,14,-0.126179,0.0415554,-0.0440936,-1.60105,-0.289656,All,#4682B4,0
7,14,-0.0223015,0.207355,0.0328967,-1.18748,-0.168147,All,#4682B4,0
8,14,0.0305681,0.135348,0.026047,-1.16565,0.0924059,All,#4682B4,0
9,14,-0.0579762,0.112778,-0.0233278,-0.671541,-0.215255,All,#4682B4,0
