standEta_Cl_abscissa,standEta_Cl_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,split
-2.84582,0.021,-2.3473,0.0211429,-1.98058,0.021,All
-2.84486,0.0211429,-2.34724,0.0212857,-1.98058,0.0211429,All
-2.84456,0.0212857,-2.34505,0.0214286,-1.9782,0.0212857,All
-2.84319,0.0214286,-2.34505,0.0215714,-1.978,0.0214286,All
-2.84319,0.0215714,-2.34505,0.0217143,-1.97493,0.0215714,All
-2.84319,0.0217143,-2.34229,0.0218571,-1.97486,0.0217143,All
-2.84261,0.0218571,-2.34088,0.022,-1.97367,0.0218571,All
-2.84219,0.022,-2.33611,0.0221429,-1.96858,0.022,All
-2.84077,0.0221429,-2.33338,0.0222857,-1.96347,0.0221429,All
-2.83903,0.0222857,-2.3264,0.0224286,-1.95667,0.0222857,All
-2.83885,0.0224286,-2.32543,0.0225714,-1.9548,0.0224286,All
-2.83885,0.0225714,-2.32217,0.0227143,-1.9548,0.0225714,All
-2.83874,0.0227143,-2.31897,0.0228571,-1.95454,0.0227143,All
-2.83718,0.0228571,-2.315,0.023,-1.95283,0.0228571,All
-2.83716,0.023,-2.31484,0.0231429,-1.95282,0.023,All
-2.83697,0.0231429,-2.3145,0.0232857,-1.95085,0.0231429,All
-2.83229,0.0232857,-2.31203,0.0234286,-1.9341,0.0232857,All
-2.83131,0.0234286,-2.31203,0.0235714,-1.93303,0.0234286,All
-2.82976,0.0235714,-2.31203,0.0237143,-1.93303,0.0235714,All
-2.82859,0.0237143,-2.31194,0.0238571,-1.93303,0.0237143,All
-2.82846,0.0238571,-2.30845,0.024,-1.93122,0.0238571,All
-2.82733,0.024,-2.30558,0.0241429,-1.92874,0.024,All
-2.8267,0.0241429,-2.30558,0.0242857,-1.92629,0.0241429,All
-2.82549,0.0242857,-2.30292,0.0244286,-1.92629,0.0242857,All
-2.82539,0.0244286,-2.29626,0.0245714,-1.9234,0.0244286,All
-2.82297,0.0245714,-2.29626,0.0247143,-1.92281,0.0245714,All
-2.82239,0.0247143,-2.29042,0.0248571,-1.91923,0.0247143,All
-2.82096,0.0248571,-2.287,0.025,-1.91588,0.0248571,All
-2.8209,0.025,-2.28445,0.0251429,-1.90527,0.025,All
-2.82075,0.0251429,-2.2766,0.0252857,-1.9025,0.0251429,All
-2.82012,0.0252857,-2.27564,0.0254286,-1.89815,0.0252857,All
-2.8198,0.0254286,-2.26486,0.0255714,-1.89386,0.0254286,All
-2.81829,0.0255714,-2.26198,0.0257143,-1.89359,0.0255714,All
-2.81712,0.0257143,-2.26198,0.0258571,-1.89311,0.0257143,All
-2.81593,0.0258571,-2.26106,0.026,-1.89311,0.0258571,All
-2.81511,0.026,-2.25824,0.0261429,-1.89244,0.026,All
-2.81301,0.0261429,-2.25428,0.0262857,-1.89066,0.0261429,All
-2.81189,0.0262857,-2.25394,0.0264286,-1.88564,0.0262857,All
-2.81176,0.0264286,-2.25146,0.0265714,-1.88342,0.0264286,All
-2.81041,0.0265714,-2.25054,0.0267143,-1.8833,0.0265714,All
-2.81019,0.0267143,-2.25054,0.0268571,-1.87203,0.0267143,All
-2.80712,0.0268571,-2.24669,0.027,-1.87005,0.0268571,All
-2.80638,0.027,-2.2344,0.0271429,-1.86689,0.027,All
-2.80482,0.0271429,-2.23384,0.0272857,-1.86605,0.0271429,All
-2.80315,0.0272857,-2.23335,0.0274286,-1.86305,0.0272857,All
-2.80083,0.0274286,-2.23237,0.0275714,-1.86301,0.0274286,All
-2.80055,0.0275714,-2.23103,0.0277143,-1.86247,0.0275714,All
-2.79678,0.0277143,-2.23078,0.0278571,-1.861,0.0277143,All
-2.79344,0.0278571,-2.23077,0.028,-1.85919,0.0278571,All
-2.79077,0.028,-2.22538,0.0281429,-1.85716,0.028,All
-2.78537,0.0281429,-2.22462,0.0282857,-1.85601,0.0281429,All
-2.78357,0.0282857,-2.22313,0.0284286,-1.8556,0.0282857,All
-2.78254,0.0284286,-2.22258,0.0285714,-1.85273,0.0284286,All
-2.78127,0.0285714,-2.22204,0.0287143,-1.85177,0.0285714,All
-2.78045,0.0287143,-2.2126,0.0288571,-1.84708,0.0287143,All
-2.77987,0.0288571,-2.21195,0.029,-1.8463,0.0288571,All
-2.77987,0.029,-2.21155,0.0291429,-1.84588,0.029,All
-2.77981,0.0291429,-2.21013,0.0292857,-1.84318,0.0291429,All
-2.77941,0.0292857,-2.21006,0.0294286,-1.84318,0.0292857,All
-2.77912,0.0294286,-2.20636,0.0295714,-1.84062,0.0294286,All
-2.77736,0.0295714,-2.20497,0.0297143,-1.83691,0.0295714,All
-2.77688,0.0297143,-2.20131,0.0298571,-1.83621,0.0297143,All
-2.77646,0.0298571,-2.19977,0.03,-1.83509,0.0298571,All
-2.7763,0.03,-2.19444,0.0301429,-1.83352,0.03,All
-2.77563,0.0301429,-2.19398,0.0302857,-1.83351,0.0301429,All
-2.77519,0.0302857,-2.19129,0.0304286,-1.83316,0.0302857,All
-2.77462,0.0304286,-2.19018,0.0305714,-1.83261,0.0304286,All
-2.77456,0.0305714,-2.18498,0.0307143,-1.83261,0.0305714,All
-2.77414,0.0307143,-2.18391,0.0308571,-1.82885,0.0307143,All
-2.77373,0.0308571,-2.18201,0.031,-1.82885,0.0308571,All
-2.77339,0.031,-2.18035,0.0311429,-1.82752,0.031,All
-2.77249,0.0311429,-2.17967,0.0312857,-1.82752,0.0311429,All
-2.77144,0.0312857,-2.17928,0.0314286,-1.82729,0.0312857,All
-2.7714,0.0314286,-2.17413,0.0315714,-1.82239,0.0314286,All
-2.77124,0.0315714,-2.17253,0.0317143,-1.81904,0.0315714,All
-2.77006,0.0317143,-2.17253,0.0318571,-1.81672,0.0317143,All
-2.76967,0.0318571,-2.17252,0.032,-1.81672,0.0318571,All
-2.76917,0.032,-2.17126,0.0321429,-1.80758,0.032,All
-2.76813,0.0321429,-2.16987,0.0322857,-1.80531,0.0321429,All
-2.76771,0.0322857,-2.16987,0.0324286,-1.80492,0.0322857,All
-2.76674,0.0324286,-2.16987,0.0325714,-1.80404,0.0324286,All
-2.76487,0.0325714,-2.16987,0.0327143,-1.80263,0.0325714,All
-2.76487,0.0327143,-2.16847,0.0328571,-1.80188,0.0327143,All
-2.76487,0.0328571,-2.16847,0.033,-1.80172,0.0328571,All
