iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,a,b
59,328.237,1,9.74092,39.3402,13.4498,71.4678,0.338903,0.338903,0.725035,0.840734,2.22045e-16,0.0600205
60,325.925,1,9.80201,39.7656,12.9092,66.2115,0.330322,0.330322,0.711492,0.839301,2.22045e-16,0.0600169
61,325.94,1,9.84588,39.4457,13.5215,66.4723,0.321958,0.321958,0.718488,0.828781,2.22045e-16,0.0602758
62,321.794,1,9.86535,40.0599,12.8419,68.0327,0.313806,0.313806,0.700295,0.825722,2.22045e-16,0.0597121
63,329.504,1,9.86428,40.6745,12.0829,65.4181,0.30586,0.30586,0.682563,0.810527,2.22045e-16,0.0631576
64,320.574,1,9.90696,41.3743,11.932,65.9526,0.298116,0.298116,0.665281,0.823683,2.22045e-16,0.0605118
65,322.678,1,9.91602,41.0062,11.9766,65.0124,0.290567,0.290567,0.648435,0.829557,2.22045e-16,0.0616023
66,325.604,1,9.88913,41.158,12.0603,62.381,0.28321,0.305597,0.632017,0.808552,0.0219495,0.0608849
67,323.686,1,9.93793,41.7463,12.1884,61.1988,0.276039,0.314379,0.616014,0.853268,2.22045e-16,0.0612073
68,323.885,1,9.98607,41.907,12.2334,60.3556,0.269817,0.306419,0.600416,0.846998,2.22045e-16,0.0624814
69,320.942,1,9.86166,40.4858,13.2408,62.3641,0.286249,0.29866,0.599508,0.825551,0.0057052,0.0601039
70,314.63,1,9.86387,40.8677,12.8189,60.8886,0.280905,0.291098,0.584328,0.828035,2.22045e-16,0.0590861
71,317.108,1,9.8512,40.8979,12.7031,64.682,0.285986,0.285842,0.569533,0.827198,2.22045e-16,0.0598784
72,302.931,1,9.93373,41.6343,11.9982,61.605,0.28332,0.296283,0.555112,0.812507,2.10942e-16,0.0568845
73,308.93,1,9.93542,41.0853,12.3038,56.9687,0.276147,0.288781,0.544347,0.811752,2.22045e-16,0.0589561
74,307.786,1,9.9296,41.1606,12.6421,55.5629,0.271498,0.281469,0.530564,0.805242,2.22045e-16,0.0590845
75,307.808,1,9.98725,40.9666,12.5543,58.6758,0.27853,0.274342,0.525068,0.852974,2.22045e-16,0.0583708
76,302.628,1,10.0379,41.5648,12.6502,57.6618,0.272778,0.267395,0.526177,0.831377,2.22045e-16,0.0572841
77,304.936,1,9.96147,41.8665,11.9474,61.2042,0.278004,0.267902,0.556039,0.825812,2.22045e-16,0.0572356
78,306.048,1,9.96416,41.9793,11.9656,59.9353,0.275618,0.27318,0.541959,0.859536,2.22045e-16,0.0576427
79,303.019,1,9.984,41.2028,12.2722,63.093,0.274284,0.280433,0.528237,0.837772,2.22045e-16,0.0571336
80,305.608,1,9.94449,41.2558,12.3282,63.2397,0.277566,0.273332,0.514861,0.824451,2.22045e-16,0.0583616
81,306.815,1,9.99426,40.5223,12.622,59.0003,0.276843,0.278002,0.501825,0.827262,0.0235471,0.0571294
82,297.138,1,10.0221,41.0405,12.7227,59.4306,0.269833,0.270962,0.512932,0.806315,0.0315329,0.0538734
83,298.844,1,10.0434,41.2788,12.727,61.1503,0.263627,0.265589,0.499945,0.785899,2.22045e-16,0.0574983
84,301.52,1,10.0302,41.3234,12.2707,59.1533,0.264245,0.268815,0.55999,0.766,0.027091,0.0551123
85,306.139,1,10.0694,41.361,12.4184,59.95,0.269708,0.277015,0.54581,0.746604,0.0145381,0.0574585
86,306.823,1,10.067,40.9414,12.0821,56.0747,0.270717,0.273954,0.547949,0.7277,0.0226505,0.0573085
87,303.253,1,10.0163,41.7053,11.6827,57.4632,0.265192,0.267605,0.536146,0.715209,2.22045e-16,0.0584311
88,300.727,1,10.1001,41.3769,11.5607,58.754,0.260018,0.282029,0.529513,0.697099,2.22045e-16,0.0583893
89,301.829,1,10.0625,41.7727,11.7908,62.2401,0.257602,0.274888,0.518466,0.696559,2.22045e-16,0.0588402
90,301.374,1,10.0501,41.3097,11.5583,55.8794,0.259484,0.280186,0.511612,0.678922,2.22045e-16,0.0584449
91,295.164,1,10.1058,41.1635,11.7008,55.3359,0.259573,0.297215,0.516261,0.684435,0.00353687,0.055824
92,298.094,1,10.0975,41.3828,11.6726,55.2052,0.258605,0.28969,0.539795,0.68083,2.22045e-16,0.0568384
93,309.249,1,10.1037,41.469,11.7728,54.5895,0.257933,0.303009,0.537119,0.663591,2.22045e-16,0.0603234
94,309.808,1,10.1283,41.6092,11.6797,52.1065,0.262744,0.295336,0.540202,0.67138,0.00284729,0.0604536
95,306.396,1,10.0884,42.1875,11.4229,54.1311,0.26554,0.287858,0.526524,0.66225,2.22045e-16,0.0597657
96,308.061,1,10.1244,42.0515,11.4864,53.2923,0.265342,0.286727,0.518985,0.669429,0.0246634,0.05832
97,295.726,1,10.0569,41.8664,11.6131,57.8144,0.26253,0.279467,0.505844,0.693312,0.0234302,0.055404
98,302.093,1,10.1118,41.953,11.7538,55.5953,0.261759,0.272391,0.514979,0.753169,2.22045e-16,0.0583663
99,294.217,1,10.1152,41.8338,12.5659,56.1306,0.261448,0.291409,0.501939,0.759643,2.22045e-16,0.0556407
100,298.735,1,10.1196,41.5624,12.2615,53.5672,0.25867,0.309801,0.494687,0.740408,0.00359244,0.0565507
101,301.001,1,10.0724,40.584,12.2329,54.5731,0.258385,0.301957,0.52671,0.728097,0.0103743,0.0563464
102,306.084,1,10.055,40.8439,12.613,54.6183,0.2643,0.308919,0.513374,0.773742,0.000770705,0.0578721
103,301.299,1,10.0444,40.3547,11.9193,58.3132,0.257608,0.312052,0.505634,0.754151,2.22045e-16,0.0572228
104,305.863,1,10.0445,40.4945,12.1003,58.0161,0.256628,0.308724,0.51059,0.735055,0.00831359,0.0581231
105,308.581,1,10.0417,40.9967,12.387,59.8291,0.253261,0.300907,0.533468,0.734443,2.22045e-16,0.05952
106,312.166,1,10.0246,40.0576,13.0246,60.6507,0.269592,0.293288,0.523256,0.78779,2.22045e-16,0.0604495
107,305.871,1,10.0406,40.3071,11.9777,58.4456,0.267242,0.285861,0.510007,0.767843,2.22045e-16,0.0593558
108,304.951,1,10.0145,41.308,11.6825,57.6004,0.265735,0.278623,0.519333,0.766478,2.22045e-16,0.0583621
109,301.698,1,10.0293,41.2003,11.7732,52.8052,0.262178,0.275056,0.561399,0.761417,2.22045e-16,0.0568002
110,300.932,1,10.0696,41.023,11.018,51.3204,0.260145,0.268092,0.547539,0.742137,2.22045e-16,0.058521
111,303.426,1,10.0996,41.198,11.0912,54.5639,0.261576,0.278611,0.58041,0.723346,2.22045e-16,0.0583322
112,302.15,1,10.1219,41.2084,11.0728,55.3496,0.262174,0.274411,0.565714,0.70503,2.22045e-16,0.0588132
113,298.065,1,10.1255,41.6445,10.9451,53.876,0.259145,0.275942,0.555014,0.687179,2.22045e-16,0.0581744
114,300.93,1,10.1225,41.2667,11.5153,54.1668,0.258984,0.288518,0.585926,0.669779,2.22045e-16,0.0583717
115,303.349,1,10.1931,41.2076,11.5407,55.135,0.262194,0.286029,0.6029,0.65282,0.00755982,0.0589256
116,302.093,1,10.1459,41.1973,11.2995,55.7717,0.263299,0.278787,0.621502,0.63629,2.22045e-16,0.0593154
117,306.859,1,10.1695,41.7786,11.3272,54.5143,0.261451,0.274602,0.605765,0.620179,2.22045e-16,0.0612115
118,311.745,1,10.2103,41.4202,11.5927,55.4643,0.259639,0.291891,0.605684,0.604475,2.22045e-16,0.0615722
119,309.384,1,10.1963,41.448,11.7488,55.2484,0.25919,0.2845,0.618188,0.58917,2.22045e-16,0.0613921
120,297.866,1,10.2072,40.672,12.1958,51.8671,0.258748,0.291959,0.630537,0.574252,2.10942e-16,0.0583225
121,301.935,1,10.2464,39.0746,12.7661,51.6924,0.258641,0.284567,0.626305,0.559711,2.22045e-16,0.0608769
122,301.521,1,10.2175,40.0234,12.8487,49.8139,0.266434,0.277361,0.610446,0.545539,0.00668503,0.0597645
123,306.884,1,10.2752,40.1792,12.8366,52.957,0.265444,0.270338,0.637906,0.531726,2.22045e-16,0.0617286
124,299.228,1,10.2787,40.2935,12.7809,50.0481,0.258722,0.263493,0.695704,0.518262,2.22045e-16,0.0595973
125,293.109,1,10.306,39.6809,12.9944,49.6782,0.252171,0.266653,0.68598,0.505139,2.22045e-16,0.0578415
126,293.69,1,10.2819,39.6418,13.0597,48.576,0.264732,0.259901,0.729119,0.492349,2.22045e-16,0.0581191
127,297.109,1,10.2912,39.4864,13.1202,49.0614,0.263814,0.263321,0.710657,0.479883,2.22045e-16,0.0595549
128,291.85,1,10.2847,39.3315,12.836,52.6765,0.260363,0.256654,0.744966,0.467732,2.22045e-16,0.0581504
129,290.721,1,10.2996,39.9459,12.9497,52.1119,0.265928,0.252947,0.782901,0.455888,2.22045e-16,0.0571227
130,297.49,1,10.2826,39.6736,13.0038,51.6606,0.262096,0.246542,0.789836,0.444345,0.0172893,0.0582814
131,290.179,1,10.2632,39.5778,12.751,54.4294,0.259941,0.244264,0.792728,0.433094,2.22045e-16,0.057525
132,289.485,1,10.2339,39.4903,12.2214,54.0499,0.26466,0.25782,0.780905,0.422128,2.22045e-16,0.0567051
133,287.819,1,10.227,40.3616,11.8436,53.4665,0.269528,0.261495,0.761132,0.411439,2.22045e-16,0.0568648
134,293.984,1,10.2502,40.3123,11.6502,55.7377,0.266715,0.26008,0.761738,0.401021,2.22045e-16,0.0590789
135,291.793,1,10.2702,40.6891,11.7446,57.2369,0.268593,0.253495,0.758669,0.390867,2.22045e-16,0.0581721
136,298.058,1,10.1706,39.3626,12.3162,53.8807,0.263955,0.247076,0.780061,0.435577,2.22045e-16,0.0586013
137,286.214,1,10.2165,38.9617,12.6356,51.2604,0.264986,0.24082,0.787881,0.44303,2.10942e-16,0.0556712
138,286.204,1,10.2328,39.155,12.6352,49.3288,0.264505,0.234722,0.815303,0.431812,2.22045e-16,0.0562277
139,283.404,1,10.2272,39.4495,12.3672,49.873,0.26816,0.242992,0.794659,0.420879,0.0128961,0.0548156
140,285.365,1,10.296,39.3291,12.6468,50.4706,0.263617,0.249851,0.785176,0.410222,0.00373491,0.0561833
141,288.455,1,10.2728,39.3811,12.4728,46.9055,0.265256,0.24928,0.765295,0.399835,0.0252924,0.0548344
142,289.901,1,10.2431,39.2472,12.6129,47.5655,0.263396,0.251227,0.745917,0.398831,2.22045e-16,0.0571631
143,285.756,1,10.2848,40.409,12.6098,51.186,0.267799,0.249875,0.72703,0.391401,0.00612006,0.0561177
144,282.547,1,10.2697,39.4249,12.4551,48.3439,0.262742,0.243548,0.759819,0.381491,0.0249634,0.0550044
145,288.784,1,10.3138,38.4528,13.6277,47.6426,0.264041,0.23803,0.771808,0.371831,0.042714,0.0548959
146,291.299,1,10.2645,37.9926,13.6831,46.7821,0.262788,0.253342,0.767236,0.38871,0.0501617,0.0535317
147,288.953,1,10.2972,39.006,13.4301,47.6157,0.261265,0.257603,0.749134,0.378868,0.00311207,0.0579291
148,281.284,1,10.2774,38.9951,13.2746,47.8995,0.267775,0.25108,0.772583,0.369275,2.22045e-16,0.0564614
149,278.165,1,10.2789,39.0928,13.0887,49.7105,0.26284,0.253518,0.75302,0.359925,0.00759973,0.0549202
150,286.385,1,10.2147,38.7862,13.5865,50.9232,0.268834,0.250555,0.748313,0.350811,2.22045e-16,0.0574909
151,280.734,1,10.3076,39.1173,13.1079,52.6474,0.264648,0.250499,0.729365,0.341928,2.22045e-16,0.0568204
152,288.173,1,10.2513,40.0249,13.0235,51.9363,0.26496,0.254474,0.710897,0.385979,2.22045e-16,0.0574818
153,289.881,1,10.2763,39.6098,12.9433,48.5067,0.264213,0.2631,0.727223,0.407668,2.22045e-16,0.0568827
154,292.086,1,10.2508,38.6143,12.5346,52.731,0.26488,0.267346,0.760015,0.397345,2.22045e-16,0.0580953
155,290.582,1,10.2009,39.4078,12.4133,52.5126,0.266159,0.266925,0.764106,0.387284,2.22045e-16,0.0571792
156,289.45,1,10.2273,39.0613,12.8022,49.3266,0.267174,0.292268,0.801597,0.377478,0.0478923,0.0521008
157,294.527,1,10.2347,38.9609,12.6297,53.4783,0.267053,0.284867,0.795474,0.381187,0.0298166,0.0552741
158,294.536,1,10.1661,39.134,12.7438,52.7473,0.275471,0.277654,0.802071,0.371535,0.0163795,0.0569725
159,296.642,1,10.1683,39.3641,12.7737,52.7804,0.276311,0.270624,0.781763,0.367548,0.0346671,0.0556259
160,287.254,1,10.2132,38.8372,13.0625,53.1968,0.269315,0.263771,0.761968,0.358241,0.0118055,0.0561248
161,290.912,1,10.1941,39.1153,12.8268,53.1006,0.269951,0.257093,0.745431,0.382032,2.22045e-16,0.0576869
162,290.573,1,10.2301,38.9108,12.8626,53.2412,0.265925,0.254558,0.726556,0.372359,2.22045e-16,0.058509
163,295.714,1,10.2229,39.9686,11.9001,53.8154,0.266821,0.253444,0.722627,0.36293,2.22045e-16,0.0599426
164,298.949,1,10.2053,40.3891,11.7077,53.242,0.261514,0.255666,0.73699,0.365554,2.22045e-16,0.0606669
165,299,1,10.2465,40.9452,11.5597,51.7909,0.265109,0.265337,0.750786,0.368257,2.22045e-16,0.0601621
166,290.788,1,10.2486,40.951,11.8459,49.2327,0.269773,0.258619,0.731775,0.358932,0.031519,0.0567675
167,291.33,1,10.2403,40.9413,12.1312,50.4085,0.27953,0.25207,0.713246,0.371292,0.0817627,0.0522329
168,284.947,1,10.244,40.664,12.0309,53.151,0.272452,0.246219,0.695186,0.361891,2.22045e-16,0.057491
169,285.628,1,10.1869,40.5603,12.0571,53.9938,0.270373,0.239985,0.677584,0.352728,2.22045e-16,0.0581823
170,283.926,1,10.2779,40.2935,12.1543,53.7599,0.267356,0.237261,0.703711,0.343796,2.22045e-16,0.0577052
171,286.816,1,10.2922,40.5582,12.1675,52.0771,0.269821,0.252666,0.695305,0.360826,2.22045e-16,0.0576349
172,281.641,1,10.2188,40.6094,11.5183,50.3761,0.268308,0.275411,0.695134,0.35169,2.10942e-16,0.0547532
173,284.696,1,10.1937,41.2086,11.3776,50.8347,0.262154,0.268437,0.686913,0.345675,2.22045e-16,0.056698
174,278.951,1,10.238,41.0113,11.5303,52.8101,0.272332,0.264312,0.674709,0.376444,2.22045e-16,0.0548431
175,284.868,1,10.2326,41.0845,11.4121,53.2233,0.271468,0.283575,0.657625,0.369245,0.00893767,0.0556152
176,278.446,1,10.2438,41.1171,11.6187,50.3926,0.273241,0.282963,0.661456,0.413739,2.22045e-16,0.0535061
177,286.673,1,10.2225,41.1371,11.6977,50.8424,0.266322,0.285657,0.647397,0.422545,2.22045e-16,0.0556634
178,284.83,1,10.2499,40.0983,11.5136,48.5021,0.260431,0.278424,0.652808,0.411846,0.0183211,0.0560188
179,282.414,1,10.221,40.1307,11.9816,48.7941,0.269408,0.274968,0.660515,0.401418,2.22045e-16,0.0550303
180,287.186,1,10.2191,39.7847,11.7184,48.23,0.265466,0.282096,0.682732,0.391253,2.22045e-16,0.0562659
181,292.334,1,10.2245,40.85,11.4287,46.688,0.258745,0.293856,0.665445,0.381347,2.22045e-16,0.0586849
182,294.484,1,10.2078,40.3926,11.7406,48.0291,0.261241,0.286416,0.655625,0.371691,2.22045e-16,0.0597813
183,287.816,1,10.2652,40.4551,11.9027,48.5955,0.259872,0.297329,0.67142,0.362279,0.0111698,0.056664
184,287.19,1,10.2689,40.4887,11.6024,46.1477,0.265225,0.289801,0.654419,0.353106,2.22045e-16,0.0582537
185,291.253,1,10.2654,41.0807,11.7619,46.9973,0.271157,0.282463,0.683803,0.344165,0.0344654,0.056807
186,286.71,1,10.2961,41.6335,11.6171,49.6305,0.269262,0.275311,0.721042,0.357094,2.22045e-16,0.0570034
187,284.619,1,10.2616,41.6768,11.3438,50.15,0.26678,0.27475,0.7054,0.348052,0.0128612,0.0555919
188,284.808,1,10.254,41.305,11.4212,50.9174,0.262051,0.275648,0.68935,0.339239,0.0399904,0.0540948
189,279.46,1,10.2896,41.1072,11.7108,50.6486,0.26526,0.268668,0.671895,0.330649,0.0184714,0.0555037
190,276.862,1,10.3019,40.1721,12.5134,49.1482,0.262985,0.261865,0.707155,0.322277,0.047528,0.0517234
191,276.018,1,10.3037,39.7448,12.7661,47.6244,0.260393,0.255235,0.715265,0.323457,0.0125198,0.0544104
192,282.822,1,10.2395,39.8337,12.2265,48.932,0.260541,0.25261,0.752748,0.33429,0.00135343,0.0562695
193,293.05,1,10.2944,39.8157,12.3708,48.3286,0.261291,0.248797,0.761253,0.369752,2.22045e-16,0.0590135
194,293.263,1,10.224,39.0907,12.5817,47.3166,0.263144,0.256221,0.763935,0.360389,0.0361464,0.0562583
195,296.013,1,10.176,39.1996,12.9522,49.3531,0.258261,0.249734,0.7703,0.380834,2.22045e-16,0.0590586
196,290.986,1,10.2871,39.9803,12.7926,52.328,0.26078,0.24341,0.750796,0.371191,0.0021624,0.0590768
197,288.873,1,10.2945,40.0653,12.3562,52.0873,0.262932,0.242372,0.731785,0.361793,2.22045e-16,0.0589487
198,291.523,1,10.2612,39.6211,12.6662,50.1532,0.261622,0.236235,0.731034,0.352632,2.22045e-16,0.0595377
199,286.037,1,10.2703,40.2365,12.7676,48.1995,0.264939,0.25133,0.712524,0.361123,2.22045e-16,0.057397
200,288.783,1,10.3177,39.5223,13.0491,46.9654,0.269895,0.244966,0.749134,0.383789,2.22045e-16,0.0574917
201,295.973,1,10.3327,38.705,14.1636,47.6377,0.263061,0.261771,0.730166,0.374071,2.22045e-16,0.0599619
202,298.737,1,10.296,38.8514,13.9078,43.5505,0.263922,0.260163,0.711677,0.412661,2.22045e-16,0.0597622
203,293.936,1,10.2914,38.8743,13.7129,47.0627,0.260049,0.264274,0.769569,0.402212,2.22045e-16,0.0583524
204,298.967,1,10.2389,38.8508,13.2699,46.4152,0.257412,0.264454,0.768717,0.392028,2.22045e-16,0.0597991
205,290.284,1,10.2416,39.4769,12.6477,49.764,0.250895,0.257758,0.776094,0.391675,2.22045e-16,0.0572889
206,291.36,1,10.2239,39.2148,12.5454,49.6108,0.2557,0.27027,0.756443,0.391397,2.22045e-16,0.0572592
207,292.351,1,10.256,38.5889,13.6094,50.4497,0.263154,0.263427,0.766502,0.423549,0.00681198,0.0562146
208,284.967,1,10.299,38.8743,13.9149,49.3,0.260072,0.258698,0.776346,0.412824,0.0417508,0.0522955
209,290.707,1,10.3272,39.1511,13.8243,49.9769,0.259401,0.254196,0.756688,0.402372,2.22045e-16,0.0579432
210,292.493,1,10.261,39.2944,13.5449,49.4349,0.26178,0.281749,0.742676,0.410065,2.22045e-16,0.0568275
211,292.297,1,10.2283,39.4954,12.9885,50.2576,0.275988,0.274615,0.723871,0.424328,0.0551568,0.0527105
212,288.948,1,10.2058,39.7552,13.1359,50.2235,0.278262,0.287943,0.705542,0.417191,2.22045e-16,0.0554587
213,302.831,1,10.2208,40.0735,13.0223,51.8215,0.283489,0.297182,0.716023,0.48309,2.22045e-16,0.058101
214,300.308,1,10.2062,40.7418,12.1711,51.8565,0.276311,0.289657,0.697893,0.471949,2.22045e-16,0.0591475
215,304.047,1,10.1592,40.1751,12.5303,49.6934,0.273019,0.282323,0.680222,0.459999,2.22045e-16,0.0604196
216,299.741,1,10.2062,39.711,12.835,47.1217,0.272897,0.278331,0.662999,0.448352,2.22045e-16,0.059613
217,295.686,1,10.2476,40.1021,12.5222,44.8444,0.272739,0.281471,0.647228,0.443026,2.22045e-16,0.0580619
218,294.803,1,10.2827,39.7893,12.6452,47.6967,0.265833,0.285723,0.635909,0.459369,0.0190074,0.0564997
219,301.308,1,10.2737,40.5676,12.1668,48.1744,0.26079,0.294733,0.619807,0.447738,2.22045e-16,0.061006
220,301.384,1,10.2205,41.1805,11.9632,48.8274,0.263302,0.28727,0.606139,0.464497,0.0201231,0.0583878
221,302.216,1,10.2468,41.1491,12.1609,49.8655,0.259817,0.292306,0.590791,0.464406,2.22045e-16,0.0605947
222,296.222,1,10.25,40.0634,12.62,53.218,0.26062,0.305219,0.654852,0.452647,2.22045e-16,0.0580223
223,302.379,1,10.2797,40.2343,12.7446,50.1921,0.256572,0.321128,0.674309,0.441185,2.22045e-16,0.0594548
224,299.894,1,10.264,39.0223,13.0155,50.4462,0.257958,0.312997,0.717892,0.430014,2.22045e-16,0.059196
225,292.954,1,10.3128,39.8667,13.5948,48.8372,0.258719,0.305072,0.699714,0.419126,2.22045e-16,0.0578955
226,290.809,1,10.345,39.4635,13.7023,51.5168,0.271987,0.299705,0.683892,0.408514,0.00497904,0.0567694
227,287.676,1,10.3,39.7888,13.1109,50.3866,0.274976,0.303157,0.69611,0.39817,0.0137582,0.0560226
228,283.034,1,10.2845,39.8311,13.0223,47.0841,0.269618,0.295481,0.717068,0.388088,0.0116322,0.05522
229,278.948,1,10.2733,39.9473,12.3012,45.4079,0.262843,0.287999,0.698911,0.378261,2.22045e-16,0.0557152
230,290.284,1,10.3364,40.6228,12.1981,46.2411,0.263284,0.296323,0.681215,0.368684,2.22045e-16,0.058314
