iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCR,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,corr_V1_Cl,a,b
133,342.583,1,0.963088,2.7671,23.5995,6.49041,577.93,0.929946,0.225309,0.309778,0.0653048,0.00458499,0.0280253
134,349.223,1,1.03719,2.58866,23.29,6.39128,570.311,0.906399,0.233,0.301934,0.0458034,0.0128427,0.0260512
135,337.276,1,1.05184,2.6215,23.068,6.37831,571.48,0.883449,0.227678,0.302434,0.0809883,0.00862955,0.0261432
136,341.825,1,1.03544,2.96525,23.6168,6.30372,573.043,0.873877,0.228629,0.294776,0.114523,0.00156969,0.0295437
137,350.9,1,1.02012,3.00876,24.0577,6.36589,568.622,0.894771,0.242287,0.322646,0.107456,0.0048125,0.0289045
138,351.578,1,1.0526,2.86669,23.9472,6.34276,570.177,0.880061,0.248045,0.314476,0.172688,0.00864347,0.027682
139,343.558,1,1.03427,3.03049,24.0598,6.2958,572.627,0.87866,0.247223,0.306514,0.170228,0.00142001,0.0294145
140,345.839,1,1.00992,3.21113,23.8043,6.30953,570.166,0.88187,0.240963,0.30366,0.108767,2.22045e-16,0.0304333
141,343.119,1,0.995485,3.0911,23.8722,6.27381,575.734,0.90422,0.248586,0.316756,0.0559086,2.22045e-16,0.0294439
142,343.649,1,0.982091,3.18489,23.792,6.31789,575.734,0.929631,0.242292,0.308735,0.134559,0.0106524,0.0257063
143,334.902,1,0.990946,3.02471,23.762,6.20672,579.782,0.930565,0.236157,0.305719,0.122301,2.22045e-16,0.0284851
144,335.901,1,0.997449,3.00611,23.6792,6.22166,578.31,0.907002,0.230177,0.32245,-0.0243045,2.22045e-16,0.0287669
145,334.271,1,1.00405,2.80018,23.5727,6.27527,576.447,0.887966,0.240069,0.322058,0.0411901,2.22045e-16,0.0282533
146,339.012,1,1.03628,2.47,23.4314,6.44954,575.321,0.865482,0.247549,0.32892,0.0941343,0.00378614,0.0275779
147,337.366,1,1.02737,2.48886,23.6121,6.36193,579.366,0.843567,0.241281,0.336774,0.016469,0.00159357,0.0281846
148,335.29,1,0.998949,2.84847,23.5602,6.43214,573.765,0.861427,0.235171,0.328247,0.0519648,0.000536035,0.02881
149,335.848,1,1.05271,2.57165,23.234,6.26657,579.424,0.839615,0.229217,0.319936,0.151717,2.22045e-16,0.0293431
150,344.021,1,1.09417,2.45506,23.3632,6.32859,575.746,0.818356,0.230095,0.313426,0.113854,2.22045e-16,0.0306027
151,338.571,1,1.03297,2.73641,23.1661,6.26813,580.019,0.834349,0.235493,0.307399,0.136148,2.22045e-16,0.0294663
152,349.101,1,0.983836,2.97928,23.21,6.17939,583.644,0.858719,0.251274,0.323051,0.23497,2.22045e-16,0.0305286
153,351.045,1,1.00613,2.87611,23.7432,6.2303,582.39,0.857798,0.259963,0.322627,0.268392,2.22045e-16,0.0307844
154,343.686,1,1.1156,2.51741,23.5234,6.15949,580.115,0.836078,0.25338,0.314458,0.230834,2.22045e-16,0.0308122
155,336.782,1,1.08156,2.59796,23.74,6.25327,579.095,0.814908,0.246965,0.30689,0.19211,2.10942e-16,0.0292715
156,337.809,1,1.06951,2.47381,23.73,6.32087,578.191,0.812637,0.251599,0.321013,0.16462,2.22045e-16,0.0290527
157,338.196,1,1.05619,2.48729,23.5249,6.28727,576.61,0.83061,0.252498,0.329855,0.177627,2.22045e-16,0.0288765
158,340.515,1,1.05321,2.61713,23.331,6.22811,575.146,0.836537,0.246105,0.323787,0.208915,2.22045e-16,0.0294367
159,335.665,1,1.04425,2.67718,23.4923,6.24399,571.102,0.859745,0.239873,0.324447,0.185536,0.00360706,0.0273592
160,344.733,1,1.03839,2.85837,23.7861,6.14866,569.763,0.889411,0.247555,0.317385,0.154588,0.0095113,0.0260722
161,346.971,1,0.985478,3.1087,23.6629,6.19888,569.874,0.912568,0.241287,0.31493,0.210799,0.00409734,0.0287982
162,351.703,1,0.995641,2.95267,23.3431,6.18348,574.549,0.907872,0.235177,0.314655,0.18343,0.00384587,0.0295966
163,347.839,1,1.01547,2.91161,23.511,6.29086,572.193,0.884884,0.248348,0.338534,0.188567,0.0144261,0.0244452
164,346.329,1,1.00844,2.75932,23.792,6.318,575.21,0.927418,0.25417,0.329962,0.164033,0.013432,0.024526
165,348.513,1,0.961841,3.01468,23.7991,6.19131,578.412,0.990646,0.257026,0.339441,0.190791,0.00122452,0.0290089
166,343.937,1,1.01004,2.90652,23.7688,6.17991,577.226,0.965562,0.250518,0.330846,0.17168,2.22045e-16,0.0300329
167,340.272,1,1.02223,2.80207,23.4202,6.13533,575.873,0.941113,0.244175,0.328124,0.213892,2.22045e-16,0.0294558
168,340.118,1,1.07595,2.41619,23.5304,6.25927,573.848,0.917284,0.237992,0.338923,0.110644,0.000763676,0.0294305
169,342.805,1,1.05205,2.69075,23.4503,6.17283,573.512,0.894058,0.231966,0.330342,0.157036,2.22045e-16,0.0303255
170,342.489,1,1.07363,2.67045,23.7521,6.08947,576.2,0.87142,0.231584,0.346782,0.164044,2.22045e-16,0.0296282
171,343.548,1,1.05821,2.66658,23.7065,6.16015,572.824,0.874964,0.22572,0.338001,0.209574,2.22045e-16,0.0300883
172,341.396,1,1.06502,2.65158,23.6972,6.08768,578.81,0.904607,0.223791,0.333289,0.29058,2.22045e-16,0.0296036
173,345.68,1,1.01923,2.72639,23.4863,6.02277,583.275,0.908453,0.239256,0.341188,0.198037,2.22045e-16,0.0297239
174,350.649,1,0.984386,2.89166,23.3364,6.1165,582.933,0.903973,0.244308,0.342272,0.20697,2.22045e-16,0.0304248
175,349.208,1,0.930975,3.29608,23.6021,6.18428,582.421,0.940945,0.238122,0.34658,0.250631,0.00149522,0.0295909
176,344.586,1,0.892416,3.29189,24.4158,6.50407,591.976,0.940635,0.238951,0.337804,0.174568,2.22045e-16,0.0297718
177,345.514,1,0.919821,2.8313,24.4054,6.47828,593.364,0.942932,0.241343,0.329251,0.159087,2.22045e-16,0.0297971
178,338.861,1,0.973461,2.68603,23.7648,6.28948,588.96,0.926744,0.235232,0.329707,0.145527,2.22045e-16,0.02889
179,342.35,1,0.993198,2.65105,24.0236,6.22467,591.606,0.918465,0.233159,0.347936,0.228078,2.22045e-16,0.0292328
180,344.167,1,1.04175,2.50489,24.0561,6.20592,589.757,0.895209,0.243118,0.367189,0.129601,0.00146085,0.0286548
181,350.009,1,1.14514,2.13509,24.6069,6.1755,584.689,0.872542,0.247655,0.357891,0.0926397,2.22045e-16,0.0305388
182,349.886,1,1.17596,1.78221,24.45,6.14393,591.084,0.850449,0.248757,0.348829,0.132868,2.22045e-16,0.0307471
183,340.97,1,1.20337,1.68676,23.8513,6.05703,593.162,0.828915,0.242459,0.339997,0.279403,2.22045e-16,0.030031
184,340.959,1,1.15569,1.94924,23.7853,6.14332,593.393,0.807926,0.23632,0.331388,0.225244,2.22045e-16,0.0302814
185,342.218,1,1.151,1.92584,23.6396,6.18967,588.584,0.788977,0.234578,0.322997,0.18392,0.00227882,0.0293678
186,341.094,1,1.10413,2.03425,23.6596,6.17398,592.032,0.83088,0.228638,0.315709,0.146535,2.22045e-16,0.0299595
187,337.072,1,1.07451,2.12357,23.556,6.23227,595.212,0.814251,0.224878,0.307715,0.075424,2.22045e-16,0.0296074
188,333.554,1,1.09052,2.29925,23.6501,6.2109,589.748,0.799677,0.219184,0.299923,0.144789,0.00543171,0.027233
189,336.182,1,1.0909,2.33094,23.7504,6.2132,587.445,0.801342,0.237762,0.292329,0.15347,2.22045e-16,0.0296411
190,350.779,1,1.1109,2.22616,23.9096,6.12871,585.781,0.860819,0.249145,0.302539,0.213681,2.22045e-16,0.0311596
191,346.437,1,1.14704,2.38779,23.7203,6.1372,574.054,0.839022,0.242837,0.309009,0.225672,2.22045e-16,0.0309402
192,345.539,1,1.05636,2.84307,23.9389,6.14098,575.848,0.850709,0.236688,0.301185,0.204519,2.22045e-16,0.0310342
193,340.014,1,1.07149,2.77957,23.9151,6.196,575.398,0.829169,0.236225,0.293559,0.234057,2.22045e-16,0.0301827
194,353.255,1,1.04154,2.90899,23.7539,6.13204,577.87,0.833678,0.245954,0.298596,0.227545,2.22045e-16,0.0318424
195,343.856,1,1.03265,2.79752,23.7318,6.15338,579.394,0.886533,0.239726,0.301109,0.292504,2.22045e-16,0.0303176
196,347.222,1,1.04755,2.80706,23.7249,6.05981,587.542,0.864174,0.233656,0.312216,0.194455,2.22045e-16,0.0307195
197,341.722,1,1.02827,2.72145,23.3433,6.09507,585.304,0.901257,0.22774,0.320861,0.132273,2.22045e-16,0.0296327
198,342.281,1,1.06447,2.51237,23.479,6.17552,582.218,0.878437,0.235316,0.326927,0.156303,2.22045e-16,0.0297969
199,352.82,1,1.05937,2.55486,23.5795,6.12036,582.729,0.856194,0.235154,0.318649,0.155622,2.22045e-16,0.0315398
200,343.942,1,1.05533,2.81015,23.9725,6.18659,578.063,0.834515,0.2292,0.310581,0.131437,0.00122568,0.0303098
201,341.121,1,1.13564,2.31532,23.7568,6.19484,575.692,0.813384,0.225662,0.302717,0.159024,2.22045e-16,0.0306264
202,344.835,1,1.04504,2.49081,23.7571,6.38714,578.053,0.838595,0.236789,0.333624,0.126651,0.00547432,0.0279172
203,340.764,1,1.02935,2.57738,23.4578,6.37136,581.666,0.817361,0.230793,0.325177,0.185199,0.00846892,0.0266255
204,343.908,1,1.00831,2.60517,23.449,6.42645,582.575,0.827291,0.228451,0.319945,0.140448,0.00568227,0.0281019
205,340.139,1,1.0826,2.18289,23.6783,6.34272,581.665,0.806343,0.235026,0.311844,0.0594417,0.00151855,0.029341
206,339.602,1,1.07234,2.23394,23.4086,6.26727,578.029,0.835497,0.229075,0.303948,0.129512,2.22045e-16,0.0300934
207,338.482,1,1.0277,2.53029,23.9099,6.32634,581.642,0.870278,0.234751,0.321389,0.11107,2.22045e-16,0.0291153
208,341.771,1,1.07187,2.5614,23.6422,6.26124,578.859,0.848242,0.228829,0.326434,0.0914068,0.00131882,0.0293576
209,343.781,1,1.08163,2.41626,23.884,6.38203,578.972,0.826764,0.224585,0.328853,0.106462,0.00350152,0.029025
210,341.266,1,1.12925,2.47893,23.5292,6.22151,572.187,0.80583,0.230297,0.320865,0.146514,0.00315953,0.0290081
211,338.396,1,1.11391,2.66447,24.0238,6.14506,580.233,0.785426,0.224466,0.317954,0.105084,2.22045e-16,0.0299413
212,332.152,1,1.07811,2.75911,23.8573,6.20488,572.867,0.840154,0.218783,0.309903,0.170161,2.22045e-16,0.0289583
213,330.594,1,1.05416,2.7938,24.0098,6.25288,574.21,0.879054,0.226584,0.320447,0.130794,2.22045e-16,0.0280803
214,331.132,1,1.02942,2.82727,23.6613,6.29863,572.135,0.874207,0.223569,0.327104,0.167857,0.00263341,0.0271294
215,331.5,1,1.06957,2.89178,23.9013,6.22669,572.694,0.852072,0.236087,0.318821,0.217802,0.000925725,0.0280525
216,330.242,1,1.08031,2.80452,23.3817,6.10981,568.163,0.830497,0.242198,0.323381,0.104687,0.00431497,0.0262608
217,337.79,1,1.04942,2.67483,23.0496,6.23139,567.442,0.851326,0.237834,0.349925,0.134648,2.22045e-16,0.0286505
218,338.266,1,1.03689,2.79265,23.3836,6.27206,570.435,0.870805,0.248049,0.344672,0.12635,0.00575948,0.0262657
