rep,ID,eta_Cl_simulated,eta_V1_simulated,eta_Q_simulated,split,color,filter
10,5,-0.0998611,-0.152608,1.61825,All,#4682B4,0
1,6,0.112777,0.0579564,1.39317,All,#4682B4,0
2,6,0.157947,0.576216,0.71858,All,#4682B4,0
3,6,0.134554,0.368428,1.04745,All,#4682B4,0
4,6,0.133897,0.401518,0.566384,All,#4682B4,0
5,6,0.106187,0.216675,1.51488,All,#4682B4,0
6,6,0.110636,0.230993,0.873071,All,#4682B4,0
7,6,0.117195,0.286735,0.758869,All,#4682B4,0
8,6,0.116725,0.675563,0.235967,All,#4682B4,0
9,6,0.145374,0.243078,1.27573,All,#4682B4,0
10,6,0.120934,0.584398,0.238591,All,#4682B4,0
1,7,0.170019,-0.377486,-0.646139,All,#4682B4,0
2,7,0.0926947,-0.544577,-0.821836,All,#4682B4,0
3,7,0.117613,-0.44664,-0.797673,All,#4682B4,0
4,7,0.0979789,-0.368979,-0.905019,All,#4682B4,0
5,7,0.113668,-0.377563,-0.886901,All,#4682B4,0
6,7,0.213302,-0.374104,-0.394998,All,#4682B4,0
7,7,0.160885,-0.515932,-0.55378,All,#4682B4,0
8,7,0.162475,-0.378374,-0.642666,All,#4682B4,0
9,7,0.15787,-0.460414,-0.578023,All,#4682B4,0
10,7,0.147312,-0.411917,-0.763762,All,#4682B4,0
1,8,0.190618,0.030733,-0.217826,All,#4682B4,0
2,8,0.264884,0.134153,0.0406246,All,#4682B4,0
3,8,0.246081,0.0256378,-0.00346487,All,#4682B4,0
4,8,0.237349,-0.0598088,-0.0684824,All,#4682B4,0
5,8,0.295028,0.071282,0.106827,All,#4682B4,0
6,8,0.23343,-0.0625491,0.125411,All,#4682B4,0
7,8,0.233348,-0.00322833,-0.160704,All,#4682B4,0
8,8,0.26049,0.147769,-0.243627,All,#4682B4,0
9,8,0.241621,-0.100821,0.00433757,All,#4682B4,0
10,8,0.285082,0.0466084,0.152897,All,#4682B4,0
1,9,-0.0238659,-0.00436361,0.475139,All,#4682B4,0
2,9,-0.0602931,-0.0631905,0.273663,All,#4682B4,0
3,9,-0.0417518,0.0692497,0.502682,All,#4682B4,0
4,9,0.00624874,-0.163715,0.638651,All,#4682B4,0
5,9,-0.0118776,-0.0695019,0.830089,All,#4682B4,0
6,9,-0.022587,-0.245878,0.870972,All,#4682B4,0
7,9,-0.0349442,-0.154949,0.516072,All,#4682B4,0
8,9,-0.0600528,-0.0201215,0.0611733,All,#4682B4,0
9,9,-0.00422904,0.224306,0.300765,All,#4682B4,0
10,9,-0.110131,-0.0239916,0.030002,All,#4682B4,0
1,10,-0.398481,-0.202517,-0.368668,All,#4682B4,0
2,10,-0.384513,-0.195486,-0.691342,All,#4682B4,0
3,10,-0.382545,-0.106661,-0.481737,All,#4682B4,0
4,10,-0.365546,0.0716389,-0.136262,All,#4682B4,0
5,10,-0.316493,-0.0669738,-0.675154,All,#4682B4,0
6,10,-0.416207,-0.201658,-0.97475,All,#4682B4,0
7,10,-0.452562,-0.261043,-0.769322,All,#4682B4,0
8,10,-0.413145,-0.157929,-0.652893,All,#4682B4,0
9,10,-0.441004,-0.355641,-0.761859,All,#4682B4,0
10,10,-0.379874,0.0719328,-0.753884,All,#4682B4,0
1,11,0.186669,0.140814,-0.126528,All,#4682B4,0
2,11,0.208348,0.158168,-0.0656135,All,#4682B4,0
3,11,0.157148,0.0408419,-0.18976,All,#4682B4,0
4,11,0.259889,0.11196,0.246553,All,#4682B4,0
5,11,0.188095,0.189879,-0.300507,All,#4682B4,0
6,11,0.220086,0.19419,-0.139576,All,#4682B4,0
7,11,0.182508,0.025123,-0.0284736,All,#4682B4,0
8,11,0.243883,0.106431,0.102203,All,#4682B4,0
9,11,0.157366,0.0263355,-0.127896,All,#4682B4,0
10,11,0.173109,0.0686355,-0.106977,All,#4682B4,0
1,12,0.0155054,0.201733,0.485715,All,#4682B4,0
2,12,-0.0496134,0.0429926,0.422445,All,#4682B4,0
3,12,-0.0237693,0.141869,0.294246,All,#4682B4,0
4,12,-0.0444864,0.0769896,0.849655,All,#4682B4,0
5,12,0.00645514,0.148948,0.851181,All,#4682B4,0
6,12,-0.0064712,0.0894334,0.808481,All,#4682B4,0
7,12,-0.0017792,-0.0402854,1.06469,All,#4682B4,0
8,12,-0.0139969,0.304229,0.596212,All,#4682B4,0
9,12,-0.0683821,0.1914,0.0854915,All,#4682B4,0
10,12,-0.00604091,0.115819,0.340286,All,#4682B4,0
1,13,0.0522806,0.198836,-0.0682121,All,#4682B4,0
2,13,0.0676975,-0.0167201,0.304296,All,#4682B4,0
3,13,0.0529477,0.0870052,0.297724,All,#4682B4,0
4,13,-0.014755,-0.0252489,0.0250904,All,#4682B4,0
5,13,0.0575446,0.18544,0.0232161,All,#4682B4,0
6,13,0.0237949,0.173205,-0.276906,All,#4682B4,0
7,13,-0.0225052,-0.0441566,-0.0546709,All,#4682B4,0
8,13,0.0295737,0.0532652,0.252461,All,#4682B4,0
9,13,0.0576015,0.161483,0.123443,All,#4682B4,0
10,13,0.0165192,0.173108,-0.382948,All,#4682B4,0
1,14,0.191164,0.0911587,-0.704325,All,#4682B4,0
2,14,0.130698,0.011104,-0.988947,All,#4682B4,0
3,14,0.195943,0.137394,-0.770868,All,#4682B4,0
4,14,0.137068,-0.0219422,-0.98264,All,#4682B4,0
5,14,0.199434,0.139099,-0.622358,All,#4682B4,0
6,14,0.14562,0.00835909,-0.677553,All,#4682B4,0
7,14,0.228514,0.1619,-0.894055,All,#4682B4,0
8,14,0.183965,0.116871,-0.908739,All,#4682B4,0
9,14,0.139444,0.000351099,-0.757509,All,#4682B4,0
10,14,0.204173,0.165365,-0.658362,All,#4682B4,0
