DD,II,Tinf,CLCR,MIC
2000,6,2,130,-2.1818181818181834
1500,8,4,110,-2.8888888888888915
3000,8,4,90,-2.7878787878787845
2500,12,2,100,-1.0707070707070694
1500,12,4,90,-2.0808080808080804
2000,12,4,100,2.2626262626262625
2500,24,24,90,3.272727272727273
3500,24,24,90,0.7474747474747476
2000,8,4,90,-3.797979797979797
3500,8,2,130,-3.898989898989899
1000,12,4,110,1.454545454545456
1000,8,2,120,-2.3838383838383805
3500,6,4,100,-3.797979797979797
1000,8,2,90,-2.3838383838383805
3500,12,4,130,5.090909090909091
1500,6,2,110,-3.0909090909090944
2000,6,4,100,3.1717171717171713
4000,24,24,110,4.888888888888889
2000,24,24,150,-1.0707070707070694
1000,6,4,120,5.19191919191919
1000,6,4,130,5.19191919191919
3000,6,4,130,-1.272727272727274
2500,24,24,150,0.24242424242424673
2000,6,4,150,-0.5656565656565646
