standEta_fi_abscissa,standEta_fi_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q2_abscissa,standEta_Q2_cdf,standEta_V2_abscissa,standEta_V2_cdf,standEta_Q3_abscissa,standEta_Q3_cdf,standEta_V3_abscissa,standEta_V3_cdf,split
-0.367446,0.257143,-0.1809,0.257143,-0.694996,0.257143,-0.722265,0.257143,-0.389576,0.257143,-0.52445,0.257143,-0.636495,0.257143,All
-0.366379,0.264286,-0.180216,0.264286,-0.627104,0.264286,-0.700597,0.264286,-0.356717,0.264286,-0.490502,0.264286,-0.62866,0.264286,All
-0.356751,0.271429,-0.172477,0.271429,-0.615891,0.271429,-0.697822,0.271429,-0.346281,0.271429,-0.476679,0.271429,-0.622981,0.271429,All
-0.333489,0.278571,-0.167439,0.278571,-0.603493,0.278571,-0.669338,0.278571,-0.338049,0.278571,-0.474372,0.278571,-0.61759,0.278571,All
-0.329411,0.285714,-0.161045,0.285714,-0.574402,0.285714,-0.667674,0.285714,-0.310322,0.285714,-0.470084,0.285714,-0.616149,0.285714,All
-0.322364,0.292857,-0.130894,0.292857,-0.534341,0.292857,-0.645428,0.292857,-0.284643,0.292857,-0.41757,0.292857,-0.588789,0.292857,All
-0.310723,0.3,-0.129041,0.3,-0.517156,0.3,-0.635203,0.3,-0.277349,0.3,-0.368595,0.3,-0.568632,0.3,All
-0.30138,0.307143,-0.125379,0.307143,-0.513002,0.307143,-0.615692,0.307143,-0.25002,0.307143,-0.332564,0.307143,-0.530863,0.307143,All
-0.288555,0.314286,-0.115202,0.314286,-0.49103,0.314286,-0.602228,0.314286,-0.22001,0.314286,-0.33157,0.314286,-0.529657,0.314286,All
-0.284461,0.321429,-0.114303,0.321429,-0.485005,0.321429,-0.592342,0.321429,-0.213115,0.321429,-0.331467,0.321429,-0.513494,0.321429,All
-0.279628,0.328571,-0.106966,0.328571,-0.478754,0.328571,-0.586471,0.328571,-0.189927,0.328571,-0.318342,0.328571,-0.497397,0.328571,All
-0.260804,0.335714,-0.0965276,0.335714,-0.478512,0.335714,-0.554912,0.335714,-0.168348,0.335714,-0.269003,0.335714,-0.480478,0.335714,All
-0.242891,0.342857,-0.0945704,0.342857,-0.427954,0.342857,-0.540107,0.342857,-0.151231,0.342857,-0.267364,0.342857,-0.479175,0.342857,All
-0.224871,0.35,-0.0933931,0.35,-0.398617,0.35,-0.517925,0.35,-0.136993,0.35,-0.260006,0.35,-0.445976,0.35,All
-0.202906,0.357143,-0.0921818,0.357143,-0.362026,0.357143,-0.492973,0.357143,-0.133461,0.357143,-0.258089,0.357143,-0.429927,0.357143,All
-0.19951,0.364286,-0.0870915,0.364286,-0.34884,0.364286,-0.460809,0.364286,-0.121591,0.364286,-0.240099,0.364286,-0.418253,0.364286,All
-0.183867,0.371429,-0.0741294,0.371429,-0.346087,0.371429,-0.394343,0.371429,-0.118416,0.371429,-0.234455,0.371429,-0.391332,0.371429,All
-0.183226,0.378571,-0.0506567,0.378571,-0.343911,0.378571,-0.385476,0.378571,-0.106614,0.378571,-0.215861,0.378571,-0.381243,0.378571,All
-0.160137,0.385714,-0.0446875,0.385714,-0.343195,0.385714,-0.375816,0.385714,-0.0749905,0.385714,-0.208448,0.385714,-0.371105,0.385714,All
-0.142924,0.392857,0.010132,0.392857,-0.325531,0.392857,-0.36715,0.392857,-0.0677515,0.392857,-0.204271,0.392857,-0.367353,0.392857,All
-0.140265,0.4,0.0113732,0.4,-0.323252,0.4,-0.36355,0.4,-0.0527151,0.4,-0.191927,0.4,-0.348473,0.4,All
-0.136348,0.407143,0.0189062,0.407143,-0.306801,0.407143,-0.330959,0.407143,-0.0395604,0.407143,-0.176083,0.407143,-0.329949,0.407143,All
-0.127476,0.414286,0.0308195,0.414286,-0.288348,0.414286,-0.297931,0.414286,-0.035942,0.414286,-0.171952,0.414286,-0.30194,0.414286,All
-0.126852,0.421429,0.0405707,0.421429,-0.27895,0.421429,-0.291502,0.421429,0.00244598,0.421429,-0.170799,0.421429,-0.295156,0.421429,All
-0.116001,0.428571,0.0610169,0.428571,-0.246816,0.428571,-0.288528,0.428571,0.00246165,0.428571,-0.154149,0.428571,-0.213969,0.428571,All
-0.110877,0.435714,0.076734,0.435714,-0.230449,0.435714,-0.245896,0.435714,0.00450935,0.435714,-0.143587,0.435714,-0.198865,0.435714,All
-0.11013,0.442857,0.0802837,0.442857,-0.204661,0.442857,-0.245826,0.442857,0.00501214,0.442857,-0.138481,0.442857,-0.195949,0.442857,All
-0.0406608,0.45,0.0872387,0.45,-0.181807,0.45,-0.217171,0.45,0.0125764,0.45,-0.135156,0.45,-0.134077,0.45,All
-0.0197379,0.457143,0.106221,0.457143,-0.155717,0.457143,-0.210424,0.457143,0.013051,0.457143,-0.0766317,0.457143,-0.109199,0.457143,All
