rep,ID,standEta_fi_simulated,standEta_Cl_simulated,standEta_V1_simulated,standEta_Q2_simulated,standEta_V2_simulated,standEta_Q3_simulated,standEta_V3_simulated,filter
5,3,-0.126852,0.906784,-0.0885645,0.0646017,0.408076,0.754479,-0.195949,0
6,3,0.350487,1.10806,-0.155717,2.28723,0.19826,-0.819664,0.108534,0
7,3,-0.116001,0.842849,-0.103483,-1.66838,0.00246165,-1.79236,0.280943,0
8,3,0.0369296,0.209181,0.164937,-0.586471,2.50532,-0.41757,-0.530863,0
9,3,0.164679,1.17258,0.0956332,0.300119,-0.106614,-0.732751,-1.1545,0
0,4,1.72297,0.138999,-0.49103,0.184326,0.46106,-1.53785,-0.966538,0
1,4,0.815214,0.111124,-0.915682,-1.24514,-0.121591,-2.75551,2.33018,0
2,4,0.757275,-0.0933931,-0.325531,1.07508,-0.22001,2.37014,-1.16096,0
3,4,1.4561,-0.0741294,-0.306801,2.00879,1.15072,-0.470084,-2.02767,0
4,4,0.415518,-0.203255,-1.25704,1.75739,0.516312,0.123912,-0.972062,0
5,4,0.988297,-0.0921818,-0.931157,1.30133,0.45266,-0.578327,-0.622981,0
6,4,1.18707,0.0872387,-0.0504694,0.599371,0.678253,-0.331467,0.910664,0
7,4,0.82378,-0.172477,-0.981258,-0.0146816,-0.310322,1.3521,-0.887555,0
8,4,1.06483,0.0802837,0.112171,-1.18164,0.413823,-0.258089,0.283592,0
9,4,0.837334,-0.180216,-0.904073,-1.96659,0.493892,-0.208448,0.552523,0
0,5,-0.863161,-0.634246,-0.615891,-1.95829,-0.529695,-0.234455,0.865518,0
1,5,-0.523072,-0.479443,0.189892,0.718793,1.0575,1.04445,0.222157,0
2,5,0.0946671,-0.1809,0.158028,0.542713,0.735101,0.589274,0.691778,0
3,5,-0.183226,-0.334542,-0.343911,-0.635203,-0.409552,-0.143587,1.81936,0
4,5,-0.333489,-0.55414,0.402818,0.0837717,0.245357,-0.749192,0.383604,0
5,5,-0.49109,-0.670012,0.204106,1.82957,1.18419,0.401741,1.11174,0
6,5,-0.0406608,-0.0870915,-0.288348,0.910423,0.180374,-0.267364,1.34308,0
7,5,-0.437125,-0.210348,-0.0670582,-0.116191,0.409662,-0.474372,0.545888,0
8,5,0.255094,-0.129041,0.303763,-0.245826,0.831334,0.0535968,0.304468,0
9,5,0.377918,-0.324624,1.17384,-0.540107,-0.277349,1.62218,1.35623,0
0,6,-0.403684,0.979824,2.00651,-2.46076,0.687383,0.62396,-1.08019,0
1,6,0.188962,0.85539,2.0112,-1.32916,-0.133461,0.700098,-0.295156,0
2,6,0.053295,0.639604,2.2695,0.0228382,0.930811,-0.170799,0.36461,0
3,6,-0.284461,0.567079,1.89527,0.00539941,0.111358,1.26572,0.199312,0
4,6,-0.366379,0.344955,2.22753,-0.866711,0.247682,0.955922,0.0863206,0
5,6,0.0158128,0.379293,1.93378,-0.697822,0.618419,0.195289,1.85297,0
6,6,-0.279628,0.558268,1.90158,1.18287,0.365439,-0.138481,-0.497397,0
7,6,-0.136348,0.655218,1.81679,-0.615692,0.0125764,-1.32096,-0.213969,0
8,6,-0.288555,0.34889,1.62785,0.44698,-0.0749905,-1.0485,-1.31454,0
9,6,-0.140265,0.766129,2.03014,1.46164,-0.602365,0.0062898,-0.513494,0
0,7,-0.260804,0.37765,1.23487,-0.36355,-2.58809,2.30658,1.67744,0
1,7,-0.638785,0.178161,0.789471,-0.460809,-3.0096,-0.215861,-0.863794,0
2,7,-0.867877,0.0610169,0.529183,-0.554912,-2.19074,-1.19832,1.16768,0
3,7,-0.202906,0.232601,0.798869,0.0704802,-2.29291,-0.490502,-2.40138,0
4,7,-0.11013,0.218901,0.97298,-0.789486,-1.31433,-0.52445,-1.58514,0
5,7,-0.427428,0.50704,0.961393,-0.291502,-3.05448,1.47129,0.745309,0
6,7,-0.592518,0.337964,0.988872,-0.814779,-3.5573,1.2966,-0.654886,0
7,7,-0.753864,0.076734,0.430992,-0.297931,-2.04094,-1.20811,0.500371,0
8,7,-0.582261,0.0189062,0.654002,0.356275,-1.86704,2.10977,-0.0796963,0
9,7,-0.518486,0.32637,0.762907,-0.36715,-2.79977,-0.368595,-0.381243,0
0,8,-0.759614,0.756149,-0.80464,-1.50425,0.541393,-0.837394,1.17433,0
1,8,-1.13174,0.838954,-0.957795,-0.602228,-0.151231,-2.05668,0.0184404,0
2,8,-0.660849,0.524926,-0.694996,-0.394343,0.217787,0.688581,-0.480478,0
3,8,-0.562051,1.34962,-0.716744,1.17997,0.00450935,1.10754,2.06865,0
4,8,-0.310723,1.22378,-0.627104,-0.983796,0.00501214,1.78014,0.0627603,0
5,8,-1.26601,0.63672,0.0578212,0.500814,1.20439,-0.269003,-2.45504,0
6,8,-0.581048,1.39112,-0.939055,2.76535,-0.989257,-0.585567,0.116198,0
7,8,-0.30138,1.02877,-0.362026,-0.217171,-0.79905,0.559924,-2.42979,0
8,8,-0.398764,1.08163,-0.603493,0.183651,-0.168348,0.0781418,-0.529657,0
9,8,-0.611015,0.764886,-0.478754,-0.517925,1.85176,0.723872,1.44295,0
0,9,0.751063,-0.0506567,-0.534341,-1.44791,1.12389,-0.0541233,0.419544,0
1,9,0.104403,-0.428325,0.0812813,-1.49308,1.18864,-1.52947,-0.348473,0
2,9,0.126988,-0.0945704,-0.106909,-1.97138,1.29518,0.144813,1.24781,0
3,9,0.164857,-0.21501,-0.517156,0.0528134,0.347433,0.792493,-0.730291,0
4,9,-0.160137,-0.0446875,-0.427954,2.18871,0.511536,0.011308,0.12001,0
5,9,0.207473,-0.234455,0.258818,0.433071,0.274189,1.27434,1.20539,0
6,9,0.340897,-0.125379,0.722035,1.0438,1.05482,0.838306,1.1356,0
7,9,0.131462,-0.114303,-1.08733,0.363144,0.832406,-0.176083,-0.109199,0
8,9,0.566656,-0.106966,0.491263,-0.375816,0.586444,-0.332564,-0.0748347,0
9,9,0.54198,0.010132,-0.34884,-1.10012,0.945975,1.19512,-0.445976,0
0,10,-0.00460306,-1.50482,-1.41453,-0.592342,-0.893265,-1.70396,0.132586,0
1,10,-0.322364,-1.83021,-1.53654,-0.77073,-0.284643,0.344129,-1.10975,0
2,10,-0.142924,-1.52664,-1.40422,0.145179,-0.356717,0.482313,-1.21394,0
3,10,0.0172737,-1.64158,-0.745945,0.842174,-0.772623,-0.735881,0.473913,0
4,10,0.139775,-1.68443,-1.45335,-2.02397,-0.213115,-2.38113,1.72683,0
5,10,-0.00462197,-1.55857,-0.994297,-0.183807,-0.582917,-1.02695,-0.198865,0
6,10,0.140278,-1.62075,-1.37553,1.51684,-0.61306,0.0972064,1.5062,0
7,10,0.1263,-1.50485,-1.16057,0.641436,-0.416033,-0.742208,-1.09992,0
8,10,0.134258,-1.57674,-1.24994,0.884876,0.28201,-1.3818,0.895168,0
9,10,-0.127476,-1.78579,-1.15256,0.512419,1.09015,-0.0766317,0.336864,0
0,11,1.26239,0.642523,0.727917,-0.103363,-0.838074,0.788694,-1.28703,0
1,11,0.953436,0.734016,0.675047,0.384165,0.0158919,-0.171952,0.970019,0
2,11,0.977081,0.521813,0.250758,-1.31807,0.505661,-1.07408,-0.479175,0
3,11,0.661668,0.486603,0.290741,-0.765483,0.0941141,0.00883477,0.026353,0
4,11,0.487489,0.692674,-0.343195,-0.20428,-0.535853,1.06096,0.494631,0
5,11,1.00411,0.87638,1.01044,-0.492973,-0.440137,-0.599039,0.553047,0
6,11,0.508621,0.31586,0.569857,0.676988,-0.725772,2.96274,0.660724,0
7,11,1.16952,0.919251,0.388206,-1.59537,-0.346281,0.305216,-0.937071,0
8,11,0.863861,0.713314,0.732586,-0.107136,-0.118416,-0.0685747,2.04964,0
9,11,0.559543,0.787346,0.0928827,0.519963,-0.528683,0.300291,-1.46652,0
0,12,1.20565,-0.130894,1.00708,0.295658,1.47358,-0.692873,-0.568632,0
1,12,1.13661,-0.225456,0.574695,1.41378,1.22099,-1.12963,0.471773,0
2,12,0.976662,-0.198295,0.664359,-1.427,0.241297,-0.824142,-0.101327,0
3,12,1.02078,0.0308195,1.04925,-1.43436,0.555494,1.41413,0.558917,0
4,12,0.728026,-0.115202,0.774681,-0.385476,0.00244598,-0.787469,0.811885,0
5,12,1.2661,0.124439,0.783655,0.702485,0.335018,-0.154149,-1.05627,0
6,12,0.951957,0.0113732,0.394578,1.08438,-0.0527151,1.77717,-0.965847,0
7,12,0.803899,-0.366423,1.0366,0.54587,0.935933,0.762067,0.578425,0
8,12,0.846875,-0.215204,0.582635,0.547406,0.82696,2.48393,-0.367353,0
9,12,1.27069,0.214005,-0.27895,-1.00017,0.508854,0.417099,-1.31966,0
0,13,1.35126,-0.167439,0.589463,0.963412,1.49948,0.2741,-1.33566,0
1,13,1.09547,0.165319,0.103831,-0.330959,0.588747,2.30255,-0.391332,0
2,13,0.911484,-0.0965276,0.661096,-0.167462,-0.0395604,-0.33157,-0.62866,0
3,13,1.60442,0.172519,0.139375,-0.700597,1.19764,-0.604718,-0.636495,0
4,13,1.21673,-0.161045,0.487178,-1.67052,1.07802,-0.558209,-0.687119,0
5,13,1.10672,0.106221,0.744171,-0.645428,0.351831,-0.191927,-1.67335,0
6,13,1.37762,0.107075,-0.0261992,-1.12016,0.105168,0.73668,0.250333,0
7,13,1.37166,0.363705,-0.323252,-0.210424,0.754208,1.92646,0.381354,0
8,13,0.818868,0.16726,-0.701308,-0.245896,-0.25002,1.74482,-0.860225,0
9,13,0.797473,0.0405707,-0.398617,0.261985,0.666011,-0.664586,0.397941,0
0,14,-0.668827,0.706307,-0.786983,1.0358,-1.72151,1.99613,1.31578,0
1,14,-0.110877,0.5823,-0.246816,-0.161641,-1.07261,-0.907628,1.36355,0
2,14,-0.454194,0.872186,-0.478512,2.16843,-1.42192,-1.20117,1.16552,0
3,14,-0.538554,0.72597,-1.27387,-0.667674,-0.54183,0.00311613,-0.588789,0
4,14,-0.0197379,0.67152,0.312851,-0.669338,-2.18777,0.957668,0.886971,0
5,14,-0.224871,0.872713,0.115787,0.466598,-1.87302,0.0806685,-1.46958,0
6,14,-0.657457,0.76368,-0.230449,-1.63239,-1.79141,-0.476679,-0.86582,0
7,14,-0.649,0.359697,-0.107412,0.0617191,-3.06752,0.385104,-0.371105,0
8,14,-0.183867,0.549437,-0.513002,-1.86517,-0.727553,-0.204271,-0.329949,0
9,14,-0.242891,0.604819,0.213556,-1.36533,-3.64601,0.12716,1.25332,0
